category,user,tweet,time
agile,agile_resources,Slack and the agile managers role: https://t.co/gyl8svtUyR #agile,Sat Apr 22 14:27:07 +0000 2017
agile,Symphantic,RT @danielgullo: How an Agile Mindset Enlightens the Subconscious Mind  https://t.co/q57J85Etg0 #Agile #Coa,Sat Apr 22 14:26:40 +0000 2017
agile,markmcardle,RT @nyike: Weekend reading &gt; Defining Your Agile Release Management Strategy https://t.co/eKajqqIOiP #CIO #Agile,Sat Apr 22 14:25:52 +0000 2017
agile,TJobsEng,Delivery Manager - Agile - Digital - GDS - SC Cleared - City Of London - People Source Consulting Limited https://t.co/u8z95nsW6A,Sat Apr 22 14:25:38 +0000 2017
agile,zGrej,RT @zGrej: CHEAPEST PLUG YOU'LL FIND! DM FOR ANY PROOF! @DNR_CREW @NightRTs @Relay_RTs @Agile_RTs @HyperRTs @ShoutGamers @MNSTRRT @Quickest…,Sat Apr 22 14:25:02 +0000 2017
agile,zGrej,RT @zGrej: CHEAPEST PLUG YOU'LL FIND! DM FOR ANY PROOF! @DNR_CREW @NightRTs @Relay_RTs @Agile_RTs @HyperRTs @ShoutGamers @MNSTRRT @Quickest…,Sat Apr 22 14:24:56 +0000 2017
agile,techfugen,Planned the next community event for next month.  Topics are building Bot using. Net and Agile with Scrum.  Registration link will follow,Sat Apr 22 14:24:56 +0000 2017
agile,zGrej,RT @zGrej: CHEAPEST PLUG YOU'LL FIND! DM FOR ANY PROOF! @DNR_CREW @NightRTs @Relay_RTs @Agile_RTs @HyperRTs @ShoutGamers @MNSTRRT @Quickest…,Sat Apr 22 14:24:53 +0000 2017
agile,zGrej,RT @zGrej: CHEAPEST PLUG YOU'LL FIND! DM FOR ANY PROOF! @DNR_CREW @NightRTs @Relay_RTs @Agile_RTs @HyperRTs @ShoutGamers @MNSTRRT @Quickest…,Sat Apr 22 14:24:51 +0000 2017
agile,StrategyFintech,"RT @ipfconline1: #Agile in a Nutshell – With a Spice of #Lean #UX [Infographic]
https://t.co/mrr03C6nf9 Nice illustration from @crisp_ via…",Sat Apr 22 14:24:49 +0000 2017
agile,zGrej,RT @zGrej: CHEAPEST PLUG YOU'LL FIND! DM FOR ANY PROOF! @DNR_CREW @NightRTs @Relay_RTs @Agile_RTs @HyperRTs @ShoutGamers @MNSTRRT @Quickest…,Sat Apr 22 14:24:47 +0000 2017
agile,zGrej,RT @zGrej: CHEAPEST PLUG YOU'LL FIND! DM FOR ANY PROOF! @DNR_CREW @NightRTs @Relay_RTs @Agile_RTs @HyperRTs @ShoutGamers @MNSTRRT @Quickest…,Sat Apr 22 14:24:41 +0000 2017
agile,zGrej,RT @zGrej: CHEAPEST PLUG YOU'LL FIND! DM FOR ANY PROOF! @DNR_CREW @NightRTs @Relay_RTs @Agile_RTs @HyperRTs @ShoutGamers @MNSTRRT @Quickest…,Sat Apr 22 14:24:39 +0000 2017
agile,zGrej,RT @zGrej: CHEAPEST PLUG YOU'LL FIND! DM FOR ANY PROOF! @DNR_CREW @NightRTs @Relay_RTs @Agile_RTs @HyperRTs @ShoutGamers @MNSTRRT @Quickest…,Sat Apr 22 14:24:35 +0000 2017
agile,bdsharmas,"RT @ipfconline1: #Agile in a Nutshell – With a Spice of #Lean #UX [Infographic]
https://t.co/mrr03C6nf9 Nice illustration from @crisp_ via…",Sat Apr 22 14:24:00 +0000 2017
agile,dustcloud_io,RT @yarivt: Is the the #database too vulnerable to adopt agile methodologies?https://t.co/6bI0WQFRMi #Oracle #DevOps #SQLServer #Linux http…,Sat Apr 22 14:23:34 +0000 2017
agile,RTFAMDNR,RT @zGrej: CHEAPEST PLUG YOU'LL FIND! DM FOR ANY PROOF! @DNR_CREW @NightRTs @Relay_RTs @Agile_RTs @HyperRTs @ShoutGamers @MNSTRRT @Quickest…,Sat Apr 22 14:23:32 +0000 2017
agile,DeadlyNoRespect,RT @zGrej: CHEAPEST PLUG YOU'LL FIND! DM FOR ANY PROOF! @DNR_CREW @NightRTs @Relay_RTs @Agile_RTs @HyperRTs @ShoutGamers @MNSTRRT @Quickest…,Sat Apr 22 14:23:19 +0000 2017
agile,Symphantic,RT @AtBhov: Sometimes we all need a little coaching https://t.co/JkutTxRzr1 @compuware #IBMz #Mainframe #Agile https://t.co/v2W390SV3j,Sat Apr 22 14:23:17 +0000 2017
agile,ThisIsBalint,"RT @MirkoKleiner: 5 hours #leadtime #footscan2delivery - @adidas new speedfactory was fired up #customrobotics #agile
https://t.co/Qd4R7CTa…",Sat Apr 22 14:23:13 +0000 2017
agile,HyperRTs,RT @zGrej: CHEAPEST PLUG YOU'LL FIND! DM FOR ANY PROOF! @DNR_CREW @NightRTs @Relay_RTs @Agile_RTs @HyperRTs @ShoutGamers @MNSTRRT @Quickest…,Sat Apr 22 14:23:07 +0000 2017
agile,zGrej,CHEAPEST PLUG YOU'LL FIND! DM FOR ANY PROOF! @DNR_CREW @NightRTs @Relay_RTs @Agile_RTs @HyperRTs @ShoutGamers… https://t.co/BwMVhXBMu0,Sat Apr 22 14:22:55 +0000 2017
