category,user,tweet,time
athlete,BaseballWhitney,"Senior Salutes!  Proud of this student athlete and his commitment to WHS baseball. Congratulations, Auston Popp,  g… https://t.co/0narkCMQOw",Sun Apr 23 20:06:50 +0000 2017
athlete,YungSavGod,RT @Ronnie2K: I know he's disappointed but congratulations to #NBA2K17 cover athlete Paul George on an amazing season.,Sun Apr 23 20:06:49 +0000 2017
athlete,s_baum319,"@JoyAnnReid think people on thread missed he's not ""just"" an athlete but also civil rights attorney.  (And Texas lo… https://t.co/XCvLJQ5hIe",Sun Apr 23 20:06:38 +0000 2017
athlete,TaraGreen5577,RT @SkyNews: A #LondonMarathon runner has been praised for helping to guide a fellow athlete across the finish line https://t.co/tQte6aPH5p,Sun Apr 23 20:06:33 +0000 2017
athlete,coleclaire1,RT @SkyNews: A #LondonMarathon runner has been praised for helping to guide a fellow athlete across the finish line https://t.co/tQte6aPH5p,Sun Apr 23 20:06:33 +0000 2017
athlete,IUMS_MightyMacs,Congrats to Pat Friend and Gabe Dwyer! Both were selected as the Most Outstanding Male Senior Scholar-Athlete… https://t.co/v6TbT74zAw,Sun Apr 23 20:06:33 +0000 2017
athlete,rohara55,"RT @preprecruiters: Jonathan Siles  @jsiles3 
W.T. Woodson High School Fairfax, VA C/O 19 
5’11” 165 lbs
WR/DB
https://t.co/TyXoJj2AK6 #pre…",Sun Apr 23 20:06:32 +0000 2017
athlete,OC4liife,@HitPullDubFull I've never seen an ankle brace with an LJ athlete I assume they put it under the sock and knee braces go over the socks.,Sun Apr 23 20:06:29 +0000 2017
athlete,lincsmasonic,RT @MrNickKnowles: Massive heartfelt thanks and congrats to athlete 1547 who gave up his own time to carry a stranger across the line Londo…,Sun Apr 23 20:06:28 +0000 2017
athlete,iZoom002,RT @nbear_23: Four Year Letterman Athlete #3️⃣3️⃣.....🏀🔥 https://t.co/reLWgmoTTs,Sun Apr 23 20:06:28 +0000 2017
athlete,Earnhogg,"RT @clevelanddotcom: This is heartwarming. A London Marathon runner helps exhausted athlete finish race. (via The Guardian)
https://t.co/rj…",Sun Apr 23 20:06:15 +0000 2017
