category,user,tweet,time
big data,that_is_julia,"RT @Sisense: #AI, Big Data Analytics&amp; Connectivity Will Be Key To The Success Of #FinTech via @the_marketmogul https://t.co/PiA8MEvRpX",Sat Apr 22 14:58:27 +0000 2017
big data,TeETeEB0OMB,RT @Socialfave: Unlocking #Value Of The Industrial #InternetOfThings And #BigData In #Manufacturing! https://t.co/vKhy3BH14v #Data #IoT #AI…,Sat Apr 22 14:58:27 +0000 2017
big data,JJUusmaa,RT @Disinfo_Digest: #WorthReading How Russia obscures the truth - via @techreview https://t.co/juHg1UiOPO,Sat Apr 22 14:58:26 +0000 2017
big data,TheHippoShoe,RT @evankirstel: How open source helps startups get a big data boost - TechRepublic #bigdata #opensource https://t.co/ib7P0tLnc8,Sat Apr 22 14:58:25 +0000 2017
big data,Rosekhan120,RT @Intellipaat: More than 20 #Hadoop #interview Questions which would help you to a Dream Career in Big Data domain. https://t.co/mZopnzPQ…,Sat Apr 22 14:58:19 +0000 2017
big data,pybiandstuff,"RT @BigDataBlogs: Alibaba Big Data Brings Down Makers, Sellers of Fake Cosmetics https://t.co/RTQ72xRD4c 🗣#Opines on #BigData",Sat Apr 22 14:58:15 +0000 2017
big data,chidambara09,"RT @whatsthebigdata: 5 THINGS YOU NEED TO KNOW ABOUT #BIGDATA FOR #2017
#5 Your Dollars at Work
https://t.co/1jLzyFkNJm",Sat Apr 22 14:58:05 +0000 2017
big data,BigDataBlogs,"Alibaba Big Data Brings Down Makers, Sellers of Fake Cosmetics https://t.co/RTQ72xRD4c 🗣#Opines on #BigData",Sat Apr 22 14:57:26 +0000 2017
big data,kaur_Arashdeep1,"RT @BigData_Newz: Alibaba Big Data Brings Down Makers, Sellers of Fake Cosmetics - Alizila https://t.co/kY6FW8TLMV https://t.co/pYMwsSmZyO",Sat Apr 22 14:57:25 +0000 2017
big data,YvesMulkers,"Connected Car #Data Is the New Oil
https://t.co/jcRUHkj8dE https://t.co/2rlErhGM4F",Sat Apr 22 14:57:14 +0000 2017
