category,user,tweet,time
business,McAfee,A5: It's important to proactively reach out and become a partner to the lines of business: https://t.co/j4iC0wBpSK… https://t.co/Htd4rRWtdn,Thu Apr 20 20:35:17 +0000 2017
business,startupnewsUK,Brand New Technology Is a Double-Edged Sword - Entrepreneur https://t.co/FWRKG1yuax,Thu Apr 20 20:35:17 +0000 2017
business,wlspokescans,"[Stoneybrook Business &amp; Office] 36% Dratini ♀ (4/0/12, Iron Tail/Wrap) 'til 05:04:09pm (28m 45s). https://t.co/MB9dVhIUHu",Thu Apr 20 20:35:17 +0000 2017
business,CdnChamberofCom,RT @PGChamber1: We're looking for a proven business leader to take the helm. Posting online: https://t.co/jKxnsZtjrW @CdnChamberofCom #cdnb…,Thu Apr 20 20:35:17 +0000 2017
business,julietdbs,RT @BigDaddyZeee: Bc taking a selfie is wrong? You're a fucking weirdo for taking pics of strangers minding their own business https://t.co…,Thu Apr 20 20:35:17 +0000 2017
business,rashnasarwar,"RT @Mikel_Jollett: Trump is not a king and she is not a princess and this is not how a democracy works.

Seriously. 

What. The. Fuck. http…",Thu Apr 20 20:35:16 +0000 2017
business,trans_tho,RT @ILLCapitano94: You find ya son's twitter and see he looks up pictures of folks minding their business and uses that to make posts like…,Thu Apr 20 20:35:16 +0000 2017
business,Iovejunkie,RT @BigDaddyZeee: Bc taking a selfie is wrong? You're a fucking weirdo for taking pics of strangers minding their own business https://t.co…,Thu Apr 20 20:35:16 +0000 2017
business,LynnOlson_CX,"What's the Difference Between CEM and CRM, and How Can They Work Together For My Business? - PTP: https://t.co/18FOslBvVl",Thu Apr 20 20:35:16 +0000 2017
business,thefocusgroupuk,2017 a great emphasis will be on pro-active customer service #CX https://t.co/KilR3twQMt #londoncx,Thu Apr 20 20:35:16 +0000 2017
business,MaijaRothenberg,"RT @Mikel_Jollett: Trump is not a king and she is not a princess and this is not how a democracy works.

Seriously. 

What. The. Fuck. http…",Thu Apr 20 20:35:16 +0000 2017
business,BoardingArea,Just 5 Months for United to Start Cutbacks in Polaris Business Class: Fewer Pillows and ... -… https://t.co/LkqR3kFNFs,Thu Apr 20 20:35:16 +0000 2017
business,astonjlara2000,RT @Drebae_: Just because I'm on twitter doesn't mean I read your message. I'll get back to you when I'm ready. Mind your business https://…,Thu Apr 20 20:35:15 +0000 2017
business,labbyetty,RT @Natachyy: @Natachyy business and life are full of ups and downs. The only way to strive is to keep things in perspective,Thu Apr 20 20:35:15 +0000 2017
business,cinemawhore,RT @Drebae_: Just because I'm on twitter doesn't mean I read your message. I'll get back to you when I'm ready. Mind your business https://…,Thu Apr 20 20:35:15 +0000 2017
