category,user,tweet,time
cloud computing,JonMLevine,"RT @intermedia_net: Overestimating employee cybersecurity awareness can be detrimental. Any common knowledge gaps you've found, @davidu? ht…",Fri Apr 21 16:32:04 +0000 2017
cloud computing,SAAS360,3 Top Cloud-Computing Stocks to Buy in 2017 - Motley Fool https://t.co/NvwKbiGnqn,Fri Apr 21 16:31:38 +0000 2017
cloud computing,osamahmirza,#CloudComputing News and Views from DockerCon 2017 - Docker hosted its annual container conference this week in... https://t.co/QmcPPXxnTs,Fri Apr 21 16:31:07 +0000 2017
cloud computing,KeithRoan,"3 Top Cloud-Computing Stocks to Buy in 2017 - Cloud computing is already a huge, vibrant market -- and it's onl... https://t.co/5jeITwmEvK",Fri Apr 21 16:30:52 +0000 2017
cloud computing,KjellLiem,@eclecticlip Did I just hear your name on @TheEnergyGang podcast? Three Times?!!  https://t.co/nMDORikIGK … via @greentechmedia,Fri Apr 21 16:30:07 +0000 2017
cloud computing,metaldc4life,"FreedomWonInc. 3 Top Cloud-Computing Stocks to Buy in 2017: Amazon, OpenText, and Red Hat… https://t.co/28phWfLWwx",Fri Apr 21 16:30:03 +0000 2017
cloud computing,sergiorggama,IBM Cloud revenue jumps by 33 percent - Cloud computing news - https://t.co/1uBE0JTZli,Fri Apr 21 16:29:01 +0000 2017
cloud computing,jeffhds,Can #cloudcomputing work for mining? Article by @Wencomine mentioning @HDScorp. Highlighting #security in #cloud.… https://t.co/BAqbXt9xCV,Fri Apr 21 16:28:48 +0000 2017
cloud computing,jeffhds,Is #CloudNative the future of #AppDevelopment? @B2Community https://t.co/0FI81l4Q2m https://t.co/8DNlQGsS8X,Fri Apr 21 16:28:44 +0000 2017
cloud computing,nitzrulzx412,3 Top Cloud-Computing Stocks to Buy in 2017 - Motley Fool https://t.co/Pu4xmmNN21,Fri Apr 21 16:28:19 +0000 2017
cloud computing,Sarvesh_Kumar26,RT @awscloud: Follow us for the lastest cloud computing news &amp; updates!,Fri Apr 21 16:27:12 +0000 2017
cloud computing,kha6119,RT @awscloud: Follow us for the lastest cloud computing news &amp; updates!,Fri Apr 21 16:26:18 +0000 2017
cloud computing,jeff_medaugh,"Note to self: start working on ""Dew"" -  https://t.co/D5LEiJ2CFK",Fri Apr 21 16:26:09 +0000 2017
cloud computing,carolineann72,"RT @Ronald_vanLoon: Cloud computing has cut the cost of analytics, say experts | #Analytics #BigData #RT https://t.co/HFBiien2Bo https://t.…",Fri Apr 21 16:25:33 +0000 2017
cloud computing,efeatherston,RT @efeatherston: Good read &amp; points by @DavidLinthicum Don’t let #cloud providers kick you off like #United https://t.co/gLvQWvZYV1 via ht…,Fri Apr 21 16:23:50 +0000 2017
cloud computing,glhuet,"Why banks should stay well clear of blockchain

Network World https://t.co/8Io7VC2uvM",Fri Apr 21 16:23:43 +0000 2017
cloud computing,dustcloud_io,RT @Millennia_Tech: What the Rise of Hybrid Cloud Computing Means for Business https://t.co/LP95Y9uVzl by @Millennia_Tech #Cloud #HybridClo…,Fri Apr 21 16:23:21 +0000 2017
cloud computing,DirectionsTrain,The Value of Building Cloud Computing Skills https://t.co/a5KBBIb6To,Fri Apr 21 16:22:58 +0000 2017
cloud computing,cloudtrends,Dell EMC Sells SaaS Backup Firm Spanning to Private Equity https://t.co/tYr5W8WyYj #Cloud_Computing,Fri Apr 21 16:22:04 +0000 2017
cloud computing,ACIKT2012,"RT @evankirstel: Fog is coming, and that's good news for the cloud https://t.co/Sgs7O6BtqE",Fri Apr 21 16:21:55 +0000 2017
cloud computing,LennieJarratt,"Microsoft, AWS and Google may have just started the next cloud computing price war https://t.co/qaOB4OnbFt",Fri Apr 21 16:21:29 +0000 2017
cloud computing,ljarratt,"Microsoft, AWS and Google may have just started the next cloud computing price war - https://t.co/gin0IPl2no",Fri Apr 21 16:21:29 +0000 2017
cloud computing,TennesseeHeadli,Fog Computing Market Is On Boom Owing To Increased Penetration Of Cloud Computing And IoT In End-Use Application…… https://t.co/rJZt7vlZjQ,Fri Apr 21 16:21:16 +0000 2017
cloud computing,HotAirNetwork,3 Top Cloud-Computing Stocks to Buy in 2017 https://t.co/f1X0UrrBfe #cloudcomputing,Fri Apr 21 16:21:12 +0000 2017
cloud computing,vCloud_Storage,RT @bacula4hosts: Don't forget your #Cloud #Brain by @DavidLinthicum via @infoworld https://t.co/pmrI27XoWM,Fri Apr 21 16:19:53 +0000 2017
cloud computing,ussharemarkets,Fog Computing Market Is On Boom Owing To Increased Penetration Of Cloud Computing And IoT In End-Use Application…… https://t.co/HP9MSUbuNw,Fri Apr 21 16:19:36 +0000 2017
cloud computing,racherika,"RT @Cornell_ILJ: #CloudComputing Across #International Borders—Challenges to Traditional Jurisdiction by Bradley Cho

https://t.co/t2UJfUt4…",Fri Apr 21 16:18:54 +0000 2017
cloud computing,utollwi,"Microsoft, AWS and Google may have just started the next cloud computing price war https://t.co/XlPhD8MEiJ via @ZDNet &amp; @steveranger",Fri Apr 21 16:17:51 +0000 2017
cloud computing,MRCET_online,@CSE: Two day Faculty Development Programme on “CLOUD COMPUTING” is organized on 6th &amp; 7th August 2016 https://t.co/bRreEwkdy4,Fri Apr 21 16:17:40 +0000 2017
cloud computing,PietroTansini,What happens when you combine AI and Cloud Computing? I talk about it in this article published by @The_MarketMogul! https://t.co/KcqOIqTUiM,Fri Apr 21 16:16:37 +0000 2017
cloud computing,vCloud_Storage,RT @KimbleApps: Don’t let #cloud providers kick you off like United on @infoworld https://t.co/krxaRLAJKv https://t.co/OJFR6IJweS,Fri Apr 21 16:16:28 +0000 2017
cloud computing,CloudClay,"Fog is coming, and that's good news for the #cloud https://t.co/3yUtXuUaiE",Fri Apr 21 16:16:08 +0000 2017
