category,user,tweet,time
company,viastrategic,"@Roberts_London In my case, that's 20 years worth of skills. However, my company gas not yet taken any money from… https://t.co/t5XvE068Lb",Sun Apr 23 03:45:01 +0000 2017
company,courtney1348,RT @CheyenneEliza16: i prefer loneliness over fake company,Sun Apr 23 03:45:01 +0000 2017
company,acatullo3,@marketo Helloo Marketo!  I'm a copywriter/blogger.I would love to provide content for you and your company.I'll work for testimonial.👍🏻🙏❤️,Sun Apr 23 03:44:59 +0000 2017
company,SherriKuczeryk,RT @realdrumpfdon: @jl_who @christinawilkie Interesting. Trump's lawyer Michael Cohen co-owns a taxi company with Simon Garber in NYC,Sun Apr 23 03:44:58 +0000 2017
company,meganbrown84,Nope - Drinking a Midnight Vice by One Barrel Brewing Company @ One Barrel Brewing Company  — https://t.co/9pwbHhuw98,Sun Apr 23 03:44:56 +0000 2017
company,krazyfan64,"RT @lorenzoFB: Hackers deface Facebook page of stalkerware company FlexiSpy, start releasing stolen documents, and tell customers: ""We're t…",Sun Apr 23 03:44:55 +0000 2017
company,Lil_Ms_Nerdvana,RT @jfreeromeo: in the company of the strangers I love,Sun Apr 23 03:44:55 +0000 2017
company,VampireGuardia,@Bobbi_Galactica I think every company should have a masturbation room. 10 mins of masturbation clears the mind &amp; body. jaja,Sun Apr 23 03:44:49 +0000 2017
company,DaddysLilChild,RT @colesprouse: There's no quicker way to make me hate your company than forcing me to watch your advertisements over my popping videos. #…,Sun Apr 23 03:44:46 +0000 2017
company,IOnwunbiko,Holy Spirit's Desire For Your Company &amp; Purity vs. Sex  in Prayer https://t.co/1HZE0wzlMv via @YouTube,Sun Apr 23 03:44:45 +0000 2017
company,ebarley1,@ShamelessAlvi @BabyAnimalPics i would not pay a company that neglects horses. my mom used to work with larges anim… https://t.co/XyRfoQJe99,Sun Apr 23 03:44:45 +0000 2017
company,LearnDreams,The Fixed Race https://t.co/CnWmgflYNr Company President was Ethically Challenged 196 https://t.co/fe4vf1AtH6,Sun Apr 23 03:44:44 +0000 2017
company,StrumBrad,"RT @FastCoIdeas: ""We need to value a company’s community involvement and sense of purpose."" https://t.co/C3UphqeIfJ",Sun Apr 23 03:44:42 +0000 2017
company,maxmusicmixrad1,Now Playing #Bad Company Movin' On on MaxMusicMix!,Sun Apr 23 03:44:40 +0000 2017
company,Aw3someJessicA,"I entered a giveaway for a chance to win ""Organic Gunpowder Green Tea - Loose Leaf..."" by The Tea Company. https://t.co/0V9TjalWQ4 #giveaway",Sun Apr 23 03:44:40 +0000 2017
company,Deborahtaxi,"RT @funder: Report:Carter Page’s Dad Does Business In Russia—In The Energy Sector

#trumpleaks #trumprussia #resist #trumprussia https://t.…",Sun Apr 23 03:44:40 +0000 2017
company,lancesquire,"@heldilox I'll alert the people at Guiness. 

The beer company, of course.",Sun Apr 23 03:44:40 +0000 2017
company,getervolcano,@Caspar_Lee this courtship is sponsored by the famous date app company we all know you advertise for,Sun Apr 23 03:44:38 +0000 2017
company,fatihkismir,"RT @trtworld: This Czech company thinks the Miswak is a ""revolutionary"" new product https://t.co/W14gmvsn2y",Sun Apr 23 03:44:34 +0000 2017
company,Slim_Carey,"RT @Tell_Rell: *15 seconds after submitting job application

""Thank you for taking your time in considering our company, however..."" https:…",Sun Apr 23 03:44:33 +0000 2017
company,AshGhebranious,"RT @Phil__Gr3: @AshGhebranious More importantly, buying a bunch of nuclear plants has nearly bankrupted the multinational company Toshiba.",Sun Apr 23 03:44:33 +0000 2017
company,DRadosa,@Kelsciferr My plan is to get a full time job within the next six months at the bank company I started working at i… https://t.co/LzdLvWVAbm,Sun Apr 23 03:44:31 +0000 2017
company,runa5a7,"RT @funder: Report:Carter Page’s Dad Does Business In Russia—In The Energy Sector

#trumpleaks #trumprussia #resist #trumprussia https://t.…",Sun Apr 23 03:44:29 +0000 2017
company,sxracharid,"fake calling your mum and leaving an overcrowded, uncomfortable and anxiety-filled motive to go home and enjoy your… https://t.co/9u7btLb22s",Sun Apr 23 03:44:29 +0000 2017
company,MohantaTw,"RT @weareshapr: ""I was just looking to meet people, but the talent pool was crazy."" How a user met co-founders on Shapr #networking https:/…",Sun Apr 23 03:44:27 +0000 2017
company,dahliamirabella,"RT @350: 50,000 barrels of drilling fluid leak into Ohio wetlands from an Energy Transfer pipeline. Same company behind #DAPL https://t.co/…",Sun Apr 23 03:44:24 +0000 2017
company,acatullo3,@HubSpot Hellloooooo.  I'm a copywriter/blogger.  I would love to provide content for you and your company.  I'll work for testimonial.👍🏻🙏❤️,Sun Apr 23 03:44:21 +0000 2017
company,jiminelculon,"RT @mamajhsk: BlackPink
- not famous just bc of their company
- multilingual queens
- deserve better than yg imo
- their dancing is A1
- lo…",Sun Apr 23 03:44:20 +0000 2017
