category,user,tweet,time
economy,Lewisno1fan,"RT @JonAshworth: This election is about the future of our NHS, about the best education for every child &amp; investing in an economy that work…",Fri Apr 21 07:50:54 +0000 2017
economy,slouise_louise,#BBCBizLive What on earth is that bloke @IMF talking about - our economy's fastest growing &amp; lowest ever unemployment!,Fri Apr 21 07:50:53 +0000 2017
economy,BSICBocconi,Growth in German business activity eases but remains ‘strong’: Activity in the Germany economy slipped back…… https://t.co/vFbdIIRVuI,Fri Apr 21 07:50:51 +0000 2017
economy,TwoGuns4387,"RT @jeremycorbyn: Labour will end the rigged economy and build a new economy, worthy of the 21st century and we will build a country for th…",Fri Apr 21 07:50:50 +0000 2017
economy,EMViews,"RT @ChadBown: Protectionism would result in higher consumer prices, as well as productivity &amp; income losses | By @AnaSwanson https://t.co/e…",Fri Apr 21 07:50:49 +0000 2017
economy,AnaMilosevic7,Industrial bulk-buy could open path for more wind and solar projects : Renew Economy https://t.co/BySIQfIwQV,Fri Apr 21 07:50:49 +0000 2017
economy,golda_abbe,"As the economy bites, #SouthSudan SSP lose more value, as inflation rockets. $1=180ssp. Small bottle of water 30ssp, 50kg flour bag 5000ssp.",Fri Apr 21 07:50:47 +0000 2017
economy,abdurrahmanmus5,Build economy by english and so do i,Fri Apr 21 07:50:46 +0000 2017
economy,gf1987,"RT @jeremycorbyn: Labour will end the rigged economy and build a new economy, worthy of the 21st century and we will build a country for th…",Fri Apr 21 07:50:45 +0000 2017
economy,RodPops,"RT @faisalislam: Corbyn says it was the Conservatives ""wealthy friends in the City"" who crashed the economy.
(NB this was under a decade ol…",Fri Apr 21 07:50:41 +0000 2017
economy,annetteashley61,"Brexit bouncing &amp; kicking UK economy
Didn't see this on the side of a bus or in ballot box
Project fear list is now… https://t.co/RNtmx4as34",Fri Apr 21 07:50:40 +0000 2017
economy,wprainbird,RT @EcoInternet3: US Wind Power Added Jobs More Than 9 Times Faster Than Overall US Economy: CleanTechnica https://t.co/mFTMn3dgNo #environ…,Fri Apr 21 07:50:39 +0000 2017
economy,HertsAutoTek,"Another Mercedes in for remap, we applied a blend to this one to give more power and better fuel economy. https://t.co/L2gKq8Up3Q",Fri Apr 21 07:50:37 +0000 2017
economy,LivingCircular,Creating better products for a better economy #CircularEconomy https://t.co/BG0TDHpKOx,Fri Apr 21 07:50:37 +0000 2017
economy,coded_crude,"RT @JackObinyan: ""What we're doing is a complete reset of our economy; fundamental changes that will take time but will surely happen"" @HMK…",Fri Apr 21 07:50:34 +0000 2017
economy,UHYFayCo,Markets Send a Worrying Message About the Economy. https://t.co/5pDQBb7vLw,Fri Apr 21 07:50:33 +0000 2017
