category,user,tweet,time
energy,bognettle,RT @Ed_Miliband: Where were these people for last 4 years since I proposed cap?Defending a broken energy market that ripped people off.Let'…,Sun Apr 23 11:21:57 +0000 2017
energy,JilaniGM1,"RT @KhawajaMAsif: Outage of following generation
Quetta=25MW
Guddu =785MW
Fatima Energy=108MW
HUBCO= 300MW
Kotri =38MW
Bikki= 360MW on COD…",Sun Apr 23 11:21:57 +0000 2017
energy,RagingSoul1992,"Your energy doesn't express directly today, making others unsu... More for Cancer https://t.co/dHJo3Hx4Zj",Sun Apr 23 11:21:56 +0000 2017
energy,dibigabu,"Your energy doesn't express directly today, making others unsu... More for Cancer https://t.co/4boy0uolVq",Sun Apr 23 11:21:56 +0000 2017
energy,hottopiclwt,"Your energy doesn't express directly today, making others unsu... More for Cancer https://t.co/Rlo65yO4J3",Sun Apr 23 11:21:55 +0000 2017
energy,SusanKelly18,RT @DavePrentis: Looks like the Tories are proposing an energy bills cut. But when Labour had they same plan they attacked it. Can't trust…,Sun Apr 23 11:21:54 +0000 2017
energy,onegravette,"Your energy doesn't express directly today, making others unsu... More for Cancer https://t.co/WC6jTH27U6",Sun Apr 23 11:21:53 +0000 2017
energy,rechols08,"Your energy doesn't express directly today, making others unsu... More for Cancer https://t.co/1uPqZTzIgI",Sun Apr 23 11:21:53 +0000 2017
energy,catch_EMM_all,"Your energy doesn't express directly today, making others unsu... More for Cancer https://t.co/8yuykzTGK1",Sun Apr 23 11:21:53 +0000 2017
energy,AdamRogers2030,"RT @Mogaza: #EarthDay is here! Wanna learn about @UNDPArabic efforts to contribute to positive environmental change, eh? https://t.co/5xiwG…",Sun Apr 23 11:21:53 +0000 2017
energy,helenyg,RT @Ed_Miliband: Where were these people for last 4 years since I proposed cap?Defending a broken energy market that ripped people off.Let'…,Sun Apr 23 11:21:52 +0000 2017
energy,_JHoff,So much energy in London today for the #LondonMarathon ☀️🏅🏃🏼‍♀️🏃🏼,Sun Apr 23 11:21:51 +0000 2017
energy,derinistatistik,RT @wef: Costa Rica ran entirely on renewable #energy for more than 250 days last year https://t.co/fzh5vYbEE4 https://t.co/YmlH4q894v,Sun Apr 23 11:21:50 +0000 2017
energy,really_jello,"Your energy doesn't express directly today, making others unsu... More for Cancer https://t.co/XcViq38r8v",Sun Apr 23 11:21:50 +0000 2017
energy,leigh_jeffrey,"Your energy doesn't express directly today, making others unsu... More for Cancer https://t.co/kuuGVrmXKu",Sun Apr 23 11:21:50 +0000 2017
energy,Moladehy_o,"Your energy doesn't express directly today, making others unsu... More for Cancer https://t.co/AZcReh2F0X",Sun Apr 23 11:21:49 +0000 2017
energy,aqfarooqi2013,"RT @KhawajaMAsif: Outage of following generation
Quetta=25MW
Guddu =785MW
Fatima Energy=108MW
HUBCO= 300MW
Kotri =38MW
Bikki= 360MW on COD…",Sun Apr 23 11:21:49 +0000 2017
energy,TaylorDardinski,"Your energy doesn't express directly today, making others unsu... More for Cancer https://t.co/BPU987NlqS",Sun Apr 23 11:21:48 +0000 2017
energy,sfutado,"And add some energy @xsnation to the mix and we'll be 16-0. Believe it, then achieve it. #Ravens https://t.co/grcvN3UbzB",Sun Apr 23 11:21:48 +0000 2017
energy,JaakkoTheRipper,"Your energy doesn't express directly today, making others unsu... More for Cancer https://t.co/SXgwIEDe1m",Sun Apr 23 11:21:47 +0000 2017
energy,mmarquisee_,"Your energy doesn't express directly today, making others unsu... More for Cancer https://t.co/n1IEaynpvh",Sun Apr 23 11:21:47 +0000 2017
energy,musicformendes,"Your energy doesn't express directly today, making others unsu... More for Cancer https://t.co/XrFUXyqUkg",Sun Apr 23 11:21:47 +0000 2017
energy,popthattwussy,"Your energy doesn't express directly today, making others unsu... More for Cancer https://t.co/b9OzHVkVKT",Sun Apr 23 11:21:46 +0000 2017
energy,reirgseyah,"Your energy doesn't express directly today, making others unsu... More for Cancer https://t.co/hiRLKDYsni",Sun Apr 23 11:21:46 +0000 2017
energy,CrystalIsded,"@TangerineNight ""Really? I haven't had coffee in two days, so it's not that. And no, didn't have any energy drinks either.""",Sun Apr 23 11:21:46 +0000 2017
energy,ASHLIEJORDANxo,"Your energy doesn't express directly today, making others unsu... More for Cancer https://t.co/0QNngJI8od",Sun Apr 23 11:21:44 +0000 2017
energy,Energy__Being,"RT @coralus_SF: She's beauty,
she's grace,
she's s a v a g e https://t.co/6PXSaDRtC4",Sun Apr 23 11:21:44 +0000 2017
energy,KEMARxJETS,"Your energy doesn't express directly today, making others unsu... More for Cancer https://t.co/Gm4z7cKtCH",Sun Apr 23 11:21:43 +0000 2017
energy,Polymorph_ph,RT @Ed_Miliband: Where were these people for last 4 years since I proposed cap?Defending a broken energy market that ripped people off.Let'…,Sun Apr 23 11:21:43 +0000 2017
energy,helenhighwater5,RT @Ed_Miliband: Where were these people for last 4 years since I proposed cap?Defending a broken energy market that ripped people off.Let'…,Sun Apr 23 11:21:42 +0000 2017
energy,lr_javier,RT @wef: Costa Rica ran entirely on renewable #energy for more than 250 days last year https://t.co/fzh5vYbEE4 https://t.co/YmlH4q894v,Sun Apr 23 11:21:42 +0000 2017
energy,_Carolle__,RT @Neo_url: Cause we save all our energy for riding dick. https://t.co/SbTQcCF5xU,Sun Apr 23 11:21:41 +0000 2017
energy,JaneyHowe,This boat shows the way to a #cleanenergy future. https://t.co/ijDZMuOOP4,Sun Apr 23 11:21:40 +0000 2017
energy,dawningsolace,@fizapeace Kannn. The energy is unbelievable. Can't imagine hw it's like to be there. Eun Leader's ad libs are the best👍👍👍,Sun Apr 23 11:21:39 +0000 2017
energy,tirendezvous,"Your energy doesn't express directly today, making others unsu... More for Cancer https://t.co/FODkfMY6V2",Sun Apr 23 11:21:39 +0000 2017
energy,McLaughlin_Nick,RT @coachjfranklin: The energy in State College on a FB weekend is something that is difficult to explain!  I am so appreciative to be a pa…,Sun Apr 23 11:21:39 +0000 2017
energy,asvpmac,"Your energy doesn't express directly today, making others unsu... More for Cancer https://t.co/ZmGR6fKC7P",Sun Apr 23 11:21:38 +0000 2017
energy,LIMITED_ZONE,General election 2017: Tories to pledge energy bill cap A cabinet minister says   https://t.co/2m3TET1d2R,Sun Apr 23 11:21:38 +0000 2017
energy,amorgandssJeehu,@kenetic_energy @VibesWithBabe i feel you hahaha,Sun Apr 23 11:21:38 +0000 2017
energy,CrazyEarthLover,RT @CrazyEarthLover: @ed_hawkins #anthropogenic activity is causing #preboreal warming of the Oceans @ 2 Hiroshima bobs /s  the energy of c…,Sun Apr 23 11:21:38 +0000 2017
energy,dalefan8826,"Your energy doesn't express directly today, making others unsu... More for Cancer https://t.co/WKMeg4WybT",Sun Apr 23 11:21:37 +0000 2017
energy,AugleKatie,"Your energy doesn't express directly today, making others unsu... More for Cancer https://t.co/EqNxQr1qEt",Sun Apr 23 11:21:37 +0000 2017
energy,IANismomo,"Your energy doesn't express directly today, making others unsu... More for Cancer https://t.co/PVBogee8hY",Sun Apr 23 11:21:37 +0000 2017
energy,RianHoskins,Conte sought to shock everyone with the line-up to reserve Hazard's energy and show Costa he is not always a starter. #bbcfootball @BBCMOTD,Sun Apr 23 11:21:36 +0000 2017
energy,eatlikeagirl,Farewell Leipzig! It has been a lovely if all too brief an explore. Love the street art of Michael Fischer. So full… https://t.co/wO81tE8QEr,Sun Apr 23 11:21:34 +0000 2017
energy,ningarag_,"Your energy doesn't express directly today, making others unsu... More for Cancer https://t.co/VInA1mtFo1",Sun Apr 23 11:21:34 +0000 2017
energy,KennedeNichole,"Your energy doesn't express directly today, making others unsu... More for Cancer https://t.co/RmD5nePkAm",Sun Apr 23 11:21:34 +0000 2017
energy,llamass161,"Your energy doesn't express directly today, making others unsu... More for Cancer https://t.co/XTGZjHhsLW",Sun Apr 23 11:21:33 +0000 2017
energy,COlnsurancegal,RT @18dMedia: Backstone Buys Into Permian For $2 Billion https://t.co/IoFO9CYXKc #OilPrice https://t.co/zVtrrbntTG,Sun Apr 23 11:21:33 +0000 2017
energy,Comp1ete_CHAOS,"Your energy doesn't express directly today, making others unsu... More for Cancer https://t.co/YicZN2WAuU",Sun Apr 23 11:21:33 +0000 2017
energy,KhawajaMAsif,"Outage of following generation
Quetta=25MW
Guddu =785MW
Fatima Energy=108MW
HUBCO= 300MW
Kotri =38MW
Bikki= 360MW on COD for 3 days",Sun Apr 23 11:21:33 +0000 2017
energy,SiboldJamie,"Your energy doesn't express directly today, making others unsu... More for Cancer https://t.co/fZTkqxhPmW",Sun Apr 23 11:21:32 +0000 2017
energy,xtinebacalla,"RT @drrenezweig: Visualize your inherent strength, energy, &amp; passions to face your fears, accomplish great things. #ThinkBIGSundayWithMarsh…",Sun Apr 23 11:21:32 +0000 2017
energy,DruidNectan,RT @TheAdvocateMag: Is attacking #gay students a new responsibility for the secretary of Energy? https://t.co/TjuYpX9yVr,Sun Apr 23 11:21:32 +0000 2017
energy,thebrowngurl,"Your energy doesn't express directly today, making others unsu... More for Cancer https://t.co/ME4cHXIw9c",Sun Apr 23 11:21:32 +0000 2017
energy,Lynquest,"RT @CleanEnergyShow: In 200 B.C., people in China and the Middle East used #windmills to pump water and grind grain. #renewableenergy #ener…",Sun Apr 23 11:21:30 +0000 2017
energy,mutter_ash,"Your energy doesn't express directly today, making others unsu... More for Cancer https://t.co/eAAjaw2PfO",Sun Apr 23 11:21:29 +0000 2017
energy,adora_caringal,"RT @ALDUBNATIONNCR: Flop hour turn OFF your TV set @ 8:00pm-8:54pm Monday- Friday. Lets UNITE &amp; save Energy
Support DTBY 
TUNE in your TV @…",Sun Apr 23 11:21:29 +0000 2017
energy,Dreammer2016,"RT @LotOfLuv_01: 🦋
Instead of worrying about what you cannot control, shift your energy to what you can create.

📚Roy T. Bennett, The Light…",Sun Apr 23 11:21:29 +0000 2017
energy,johnweale,RT @Ed_Miliband: Where were these people for last 4 years since I proposed cap?Defending a broken energy market that ripped people off.Let'…,Sun Apr 23 11:21:29 +0000 2017
energy,Hearthstoker,RT @Ed_Miliband: Where were these people for last 4 years since I proposed cap?Defending a broken energy market that ripped people off.Let'…,Sun Apr 23 11:21:28 +0000 2017
energy,chloeeeenormanx,"Your energy doesn't express directly today, making others unsu... More for Cancer https://t.co/dxqOTscIRP",Sun Apr 23 11:21:28 +0000 2017
energy,Annajo_96,"Your energy doesn't express directly today, making others unsu... More for Cancer https://t.co/W0ahfrEKKi",Sun Apr 23 11:21:28 +0000 2017
energy,TheMendozaWoman,RT @DavePrentis: Looks like the Tories are proposing an energy bills cut. But when Labour had they same plan they attacked it. Can't trust…,Sun Apr 23 11:21:28 +0000 2017
energy,MaryaamYusuf_,"Your energy doesn't express directly today, making others unsu... More for Cancer https://t.co/Iz3C5rgjjY",Sun Apr 23 11:21:27 +0000 2017
energy,samhunt79,RT @Ed_Miliband: Where were these people for last 4 years since I proposed cap?Defending a broken energy market that ripped people off.Let'…,Sun Apr 23 11:21:27 +0000 2017
energy,iOooze_forShoes,"Your energy doesn't express directly today, making others unsu... More for Cancer https://t.co/bYftarW0nF",Sun Apr 23 11:21:27 +0000 2017
energy,livedim2010,"Your energy doesn't express directly today, making others unsu... More for Cancer https://t.co/D3UsZ7GDmq",Sun Apr 23 11:21:26 +0000 2017
energy,wmjohn,RT @Ed_Miliband: Where were these people for last 4 years since I proposed cap?Defending a broken energy market that ripped people off.Let'…,Sun Apr 23 11:21:25 +0000 2017
energy,kobeloyd,Ricoh sets 100% clean energy target as part of RE100 initiative - Good going! https://t.co/9BiqDEnsVf,Sun Apr 23 11:21:25 +0000 2017
energy,76hillary,"Your energy doesn't express directly today, making others unsu... More for Cancer https://t.co/xIh8OSKBtm",Sun Apr 23 11:21:25 +0000 2017
energy,Stephyqtpie_16,"Your energy doesn't express directly today, making others unsu... More for Cancer https://t.co/YVSfXToWzj",Sun Apr 23 11:21:25 +0000 2017
energy,ludger_blier,"@marianaatencio What to do is known (transition to green energy, recycling etc.). Problem is winning propaganda war… https://t.co/htIZLf2FeT",Sun Apr 23 11:21:25 +0000 2017
energy,techpriest,RT @Ed_Miliband: Where were these people for last 4 years since I proposed cap?Defending a broken energy market that ripped people off.Let'…,Sun Apr 23 11:21:24 +0000 2017
energy,metsjersey,"Your energy doesn't express directly today, making others unsu... More for Cancer https://t.co/eegl8CdhPS",Sun Apr 23 11:21:23 +0000 2017
energy,kirstenmarie73,"Your energy doesn't express directly today, making others unsu... More for Cancer https://t.co/ZqwZhTHQ1d",Sun Apr 23 11:21:22 +0000 2017
energy,xoxompr,"Your energy doesn't express directly today, making others unsu... More for Cancer https://t.co/ssMYh2ELTo",Sun Apr 23 11:21:22 +0000 2017
energy,Rosslangbmx,"Your energy doesn't express directly today, making others unsu... More for Cancer https://t.co/nZ6KXwhQWr",Sun Apr 23 11:21:22 +0000 2017
energy,laila_abdin,"Your energy doesn't express directly today, making others unsu... More for Cancer https://t.co/BghYNqAQTP",Sun Apr 23 11:21:22 +0000 2017
energy,chipman121,RT @Ed_Miliband: Where were these people for last 4 years since I proposed cap?Defending a broken energy market that ripped people off.Let'…,Sun Apr 23 11:21:21 +0000 2017
energy,TheeSnapBack,"Your energy doesn't express directly today, making others unsu... More for Cancer https://t.co/0kC6S2cFLJ",Sun Apr 23 11:21:21 +0000 2017
energy,DatBoy_Zay,"Your energy doesn't express directly today, making others unsu... More for Cancer https://t.co/GpDTBWnGLt",Sun Apr 23 11:21:21 +0000 2017
energy,alternatenergy,East Meadow NY USA - Community Outreach Intern - New York State #Solar is a local organizatio... https://t.co/AtlhfSfqVJ #ENERGY #WORK #JOB,Sun Apr 23 11:21:20 +0000 2017
energy,rabariekman,"Your energy doesn't express directly today, making others unsu... More for Cancer https://t.co/34k4P4KUsw",Sun Apr 23 11:21:20 +0000 2017
energy,sometimes_angry,RT @Ed_Miliband: Where were these people for last 4 years since I proposed cap?Defending a broken energy market that ripped people off.Let'…,Sun Apr 23 11:21:19 +0000 2017
energy,Escxpist,So my hell is gonna start in less than a day now. Another year of crazy assignments and people that sucks my energy away everyday.,Sun Apr 23 11:21:19 +0000 2017
energy,pambafc,"RT @TheCitizenTZ: Solar power now reigns supreme in rural areas

The Energy Access Situation Report 2016 released earlier this week... http…",Sun Apr 23 11:21:19 +0000 2017
energy,_gisellemarina,"Your energy doesn't express directly today, making others unsu... More for Cancer https://t.co/EdNasmIocV",Sun Apr 23 11:21:18 +0000 2017
energy,MrsLLewis,"Your energy doesn't express directly today, making others unsu... More for Cancer https://t.co/a5jjACfxH3",Sun Apr 23 11:21:18 +0000 2017
energy,Renay_____,"Your energy doesn't express directly today, making others unsu... More for Cancer https://t.co/BNFlPiJb0X",Sun Apr 23 11:21:18 +0000 2017
energy,Oge_anyikwa,"Your energy doesn't express directly today, making others unsu... More for Cancer https://t.co/oZlh2jWXyX",Sun Apr 23 11:21:18 +0000 2017
energy,Diam_baby,"Your energy doesn't express directly today, making others unsu... More for Cancer https://t.co/iX3T8JPd2k",Sun Apr 23 11:21:18 +0000 2017
energy,tomddumba,RT @Ed_Miliband: Where were these people for last 4 years since I proposed cap?Defending a broken energy market that ripped people off.Let'…,Sun Apr 23 11:21:18 +0000 2017
energy,AdrianJMills,"RT @AndyVesey_AGL: Here's our new TV ad which goes to air tonight explaining why we're getting out of coal, starting 2022, ending 2050 http…",Sun Apr 23 11:21:18 +0000 2017
energy,PANGOLIN_2,RT @Ed_Miliband: Where were these people for last 4 years since I proposed cap?Defending a broken energy market that ripped people off.Let'…,Sun Apr 23 11:21:17 +0000 2017
energy,riskinfo,BBC News Home - General election 2017: Tories to pledge energy bill cap https://t.co/aGYC6Bjevy,Sun Apr 23 11:21:17 +0000 2017
energy,shari630,"Your energy doesn't express directly today, making others unsu... More for Cancer https://t.co/JMaeqYiA6N",Sun Apr 23 11:21:17 +0000 2017
energy,TruKingzPower,"Your energy doesn't express directly today, making others unsu... More for Cancer https://t.co/uOxXrw2Nof",Sun Apr 23 11:21:17 +0000 2017
energy,dee_benton,"Your energy doesn't express directly today, making others unsu... More for Cancer https://t.co/NI8anfs57p",Sun Apr 23 11:21:17 +0000 2017
energy,Sethsssssss,"Your energy doesn't express directly today, making others unsu... More for Cancer https://t.co/sTgVIoutl6",Sun Apr 23 11:21:16 +0000 2017
energy,laveda13,"Your energy doesn't express directly today, making others unsu... More for Cancer https://t.co/dUqfDeIaIo",Sun Apr 23 11:21:16 +0000 2017
energy,CatchmeeifUcann,"Your energy doesn't express directly today, making others unsu... More for Cancer https://t.co/vWkFyOA0VN",Sun Apr 23 11:21:16 +0000 2017
energy,gemmagraham_,"Your energy doesn't express directly today, making others unsu... More for Cancer https://t.co/fa2Ouk0qyg",Sun Apr 23 11:21:16 +0000 2017
