category,user,tweet,time
football,hausdelriure,RT @MessiWorId: I FUCKING LOVE FOOTBALL  https://t.co/lJ1cb07ION,Sun Apr 23 20:37:06 +0000 2017
football,ly05fdk,What a game of football. Absolutely brilliant.,Sun Apr 23 20:37:05 +0000 2017
football,Blacksford1,"RT @MailSport: GOAL! Real Madrid 2-3 Barcelona

Lionel Messi wins it at the death for Barcelona. Scenes!

https://t.co/k8hmi3l364 https://t…",Sun Apr 23 20:37:05 +0000 2017
football,CP30___,Football.,Sun Apr 23 20:37:05 +0000 2017
football,homeofpolar,This is the best football day I've had for years.,Sun Apr 23 20:37:05 +0000 2017
football,Kamilgiwa,BBC Sport - Arsene Wenger: Arsenal answered their critics in FA Cup win over Manchester City https://t.co/ZB22N5QQhQ,Sun Apr 23 20:37:05 +0000 2017
football,RossTweeting,RT @RossTweeting: Tweets something about Lionel Messi being good at football. #ElClasico,Sun Apr 23 20:37:05 +0000 2017
football,sawgee,Reckless play. Two footed challenge with studs up. Football 101. https://t.co/4EpjIxqOey,Sun Apr 23 20:37:05 +0000 2017
football,mau8g,RT @MessiWorId: I FUCKING LOVE FOOTBALL  https://t.co/lJ1cb07ION,Sun Apr 23 20:37:05 +0000 2017
football,Deep_Oh,Football... Bloody hell #ElClasico,Sun Apr 23 20:37:04 +0000 2017
football,Colmscottbyrne,Football is just the greatest #ElClasico,Sun Apr 23 20:37:04 +0000 2017
football,Stillkjay,"RT @MailSport: GOAL! Real Madrid 2-3 Barcelona

Lionel Messi wins it at the death for Barcelona. Scenes!

https://t.co/k8hmi3l364 https://t…",Sun Apr 23 20:37:04 +0000 2017
football,royonthajoint,Messi is the John Cena of football!!!!!!!!!!!!,Sun Apr 23 20:37:04 +0000 2017
football,joshdennyy_,I love football,Sun Apr 23 20:37:04 +0000 2017
football,kyamaladdintt1v,"RT @Chiefs: Since the schedule is out, how about a #RedFriday giveaway?

 Simply RT for a chance to win this mini-football signed by Eric B…",Sun Apr 23 20:37:04 +0000 2017
football,girlish_j,I don't like football and I hate men  when watching football they really annoying 😣😭💔,Sun Apr 23 20:37:04 +0000 2017
football,James_Taylor_83,A win for football,Sun Apr 23 20:37:04 +0000 2017
football,Jamie_McEwan,What a game of football.,Sun Apr 23 20:37:04 +0000 2017
football,alecdoran1,FOOTBALL #ElClasico,Sun Apr 23 20:37:04 +0000 2017
football,HosmerAFC,Best player to ever play football.,Sun Apr 23 20:37:04 +0000 2017
football,Bruskk_,THIS IS FOOTBALL THIS IS MESSI,Sun Apr 23 20:37:04 +0000 2017
football,BenPlacito,WHAT AN UNBELIEVANLE GAME OF FOOTBALL!! Messi wins it with the last kick of the game,Sun Apr 23 20:37:04 +0000 2017
football,DLeck23,What a game of football!,Sun Apr 23 20:37:04 +0000 2017
football,ankeum,Goddammit! Football bloody hell... #RMAFCB,Sun Apr 23 20:37:04 +0000 2017
football,dongeo80sbaby,"RT @AnfieldHQ: Klopp: ""We have a month to go, one wonderful football month, we will not give up. 100% not."" https://t.co/dlqg5ooFBE",Sun Apr 23 20:37:04 +0000 2017
football,mufc126,What a game of football 😳#ElClasico,Sun Apr 23 20:37:04 +0000 2017
football,Gatling_Claw,Goal no 500... Messi is God... Messi is football,Sun Apr 23 20:37:03 +0000 2017
football,NepentheZ,"WHAT A GAME OF FOOTBALL!

#ElClasico",Sun Apr 23 20:37:03 +0000 2017
football,StevieGrainger,Wow! What a way to end 10 hours of football 😂💥💥💥😂,Sun Apr 23 20:37:03 +0000 2017
