category,user,tweet,time
golf,NewEnglandTurf,A perfect day for a personal putting green! ⛳️ #turf #newenglandturfstore #puttinggreen #golf… https://t.co/G1f5FSJX3r,Sun Apr 23 21:08:03 +0000 2017
golf,bstnboy,@realDonaldTrump Give it up. Hillary is yesterday's news. why don't you try giving up golf and governing. https://t.co/nBsiis0JRq,Sun Apr 23 21:08:03 +0000 2017
golf,karenlewis1028,"@realDonaldTrump Move ur wife and kid to DC and stop ur Mar A Lago trips.  Waste, waste and more waste.  Never bring up Obama and golf again",Sun Apr 23 21:08:00 +0000 2017
golf,bwiedwards,RT @la_temple: Community gardens! Golf courses! Horses! Dolphins! Beheadings! https://t.co/I7RH2i1CDw,Sun Apr 23 21:08:00 +0000 2017
golf,MACSports,"Your 2017 Individual Mid-American Conference women's golf champion, Michaela Finn from @KentStWGolf!!!! #MACtion https://t.co/WtwJN0SYSL",Sun Apr 23 21:07:59 +0000 2017
golf,supermancorner,@realDonaldTrump You know.  I think I like it better when you golf all weekend and don't have time to post idiot crap like this.,Sun Apr 23 21:07:57 +0000 2017
golf,MikeThrondsen,"Stopped at Erin Hills on Sunday to pick up some U.S. Open souvenirs. The golf shop is open, but the course is close… https://t.co/svAKtva30J",Sun Apr 23 21:07:54 +0000 2017
golf,Cksprig80,"RT @tomecurran: Let's be real, Brady's biggest transgression in the eyes of the Boston Globe is his choice of golf partners.",Sun Apr 23 21:07:54 +0000 2017
golf,KeoghVince,RT @golf_com: Watch: @TheSergioGarcia wears green jacket to kick off #ElClasico - https://t.co/EOLNk1eG5t https://t.co/0zCC4THxce,Sun Apr 23 21:07:52 +0000 2017
golf,KatsgotBalls,@RawStory Just retire. Play on the internet. Watch some tabloid TV. Travel to someplace warm. Golf. Help your kids.… https://t.co/EBPdtzr3wv,Sun Apr 23 21:07:46 +0000 2017
golf,hfdrhcdggf,"RT @robferdman: Foreign trips by this point in presidency: 

Obama: 9
Trump: 0

Rounds of golf by this point in presidency: 

Obama: 0
Trum…",Sun Apr 23 21:07:44 +0000 2017
golf,kyrsten_luv,RT @Argus911: Report of a woman chasing her ex's new girlfriend with a golf club.,Sun Apr 23 21:07:43 +0000 2017
golf,TTominater,I added a video to a @YouTube playlist https://t.co/ffFyDJlVy0 Golf With Your Friends My Rage!!!!!!!!!!!!!,Sun Apr 23 21:07:41 +0000 2017
golf,daipromlele1972,"RT @BBCSport: He would be absolutely gutted.

It looks like Tiger Woods is going to miss the Masters.

Here's why: https://t.co/XRaf4GgIhq…",Sun Apr 23 21:07:41 +0000 2017
golf,CGF_Marcus,"RT @PaulStankowski: My new snack while on air calling @PGATOUR golf on @SiriusXMPGATOUR. Sounds weird, tastes great! https://t.co/PGvV6lIGFH",Sun Apr 23 21:07:37 +0000 2017
golf,Ali_561,RT @businessinsider: These haunting photos reveal what happens when a golf course becomes abandoned https://t.co/Fs9tFXUass,Sun Apr 23 21:07:37 +0000 2017
golf,nikkinicolerj3,"RT @litcosmetics: IG:BrandyPerezMUA powers up her pout with @LitCosmetics #glitter in Go Golf!  Perfection!

Shop https://t.co/ADknhyElsj 🙌…",Sun Apr 23 21:07:35 +0000 2017
golf,blueboyetrxye,"RT @colesprouse: Apparently the definition for American greatness excluded: arts, safety, health, diplomacy, privacy, nature, and education…",Sun Apr 23 21:07:34 +0000 2017
golf,Joneswithsoda,"RT @DabAggin: Trump's First 100 Days:
Repeal Obamacare ❌
Ban Muslims ❌
Build the Wall ❌
Lock Her Up ❌
Investigate Voter Fraud ❌

Play an As…",Sun Apr 23 21:07:33 +0000 2017
golf,SamDosty_5,RT @amateurgolfcom: .@TexasWGolf has won the Big 12 Women's Championship while Dylan Kim of @BaylorWGolf medals #AmateurGolf https://t.co/T…,Sun Apr 23 21:07:32 +0000 2017
golf,yuutsukasa,"Angry Teens Yell At Golf Balls

but not too loud",Sun Apr 23 21:07:30 +0000 2017
golf,M_Moodyyyyy,RT @kashdoll: My husband will never be bored with me 😂😂 imma be riding around our mansion in my golf kart in a silk rob.. just to go to the…,Sun Apr 23 21:07:29 +0000 2017
golf,WhatsTreding,Frozen hash brown recall due to possible ‘extraneous golf... 》 》 https://t.co/iIxzXfbvUY https://t.co/SFJHb1FsKA,Sun Apr 23 21:07:29 +0000 2017
golf,luhancts,RT @simonvsfilm: Katherine Langford (Leah) and Nick Robinson (Simon) on a golf cart! https://t.co/Io7crWGoLr,Sun Apr 23 21:07:29 +0000 2017
golf,KumikoYMD,RT @GolfChannel: Congrats to the happy couple! @McIlroyRory married Erica Stoll Saturday in a lavish wedding at Ashford Castle: https://t.c…,Sun Apr 23 21:07:29 +0000 2017
golf,zi234567,"@BoardroomBoy Lovely place, I took my American cousins there so Ed could worship the hallowed turf at the golf course.",Sun Apr 23 21:07:28 +0000 2017
golf,MartyCBS,'extraneous golf ball materials' https://t.co/rUyxP24s1W,Sun Apr 23 21:07:27 +0000 2017
golf,GolfNShark,"RT @NSUSharks: Women’s Golf Just Five Strokes Back at SSC Championships 

📖: https://t.co/ejWo47FSFU

#GoNSUSharks #SSCGolf https://t.co/Y2…",Sun Apr 23 21:07:26 +0000 2017
golf,tami2kind,I'm earning #mPLUSRewards in Learn n Earn - Golf. https://t.co/4GpixMmnWi,Sun Apr 23 21:07:25 +0000 2017
golf,rheybean,RT @Izzyquin: Just a couple cuties playing mini golf. https://t.co/Fho0Llo4DD,Sun Apr 23 21:07:23 +0000 2017
golf,amateurgolfcom,.@TexasWGolf has won the Big 12 Women's Championship while Dylan Kim of @BaylorWGolf medals #AmateurGolf https://t.co/TkQ77SJHsn,Sun Apr 23 21:07:21 +0000 2017
golf,MyRagus,@LauraCa29061226 @Mike_P_Williams @jbart_01 @realDonaldTrump &amp; how do u justify the $3 million a week on golf ($36… https://t.co/BC1vTPOVrz,Sun Apr 23 21:07:21 +0000 2017
golf,golf_bargains,Callaway Nike Irons Driver Wood Hybrid Ping Putter Complete Golf Club Set R.H.** https://t.co/1uLKNSWOf4 https://t.co/UcqG7AOjpG,Sun Apr 23 21:07:20 +0000 2017
golf,rmhiggs2,Testing your confidence on the first tee at #WhistlingStraits #Golf #NikeGolf #NikeGolfClub… https://t.co/0JNxpZKR64,Sun Apr 23 21:07:20 +0000 2017
golf,Swinging_Swamy,RT @golf_com: The new @TPCSawgrass practice facility features an awesome replica of the 17th green - https://t.co/tnS47IE60i #ThePlayers ht…,Sun Apr 23 21:07:19 +0000 2017
golf,curiousiermom,"RT @tbonier: @realDonaldTrump Golf? Agreed, you would still beat her in golf.",Sun Apr 23 21:07:19 +0000 2017
golf,RealJackieBlue,@FIRE_THE_FOOL First president to profit millions in the first 100 days. That's why going to HIS golf course was the priority.,Sun Apr 23 21:07:18 +0000 2017
golf,geoff_fry,RT @James_Feutz: Wedges wedges wedges. @SonixGolf @Pacific_Golf #JoinTheRoar #NeverSatisfied https://t.co/rFLDjxCQQm,Sun Apr 23 21:07:18 +0000 2017
golf,Buddie52,RT @FurmanPaladins: Defending Champion @FurmanWGolf Leads SoCon Championship After First Round Of Play https://t.co/Dzr49dploX https://t.co…,Sun Apr 23 21:07:18 +0000 2017
golf,golf_bargains,New 2016 Cobra King F6 5-SW Iron Set Stiff flex Matrix Ozik Graphite Irons https://t.co/CjlbXkQ6H6 https://t.co/q7AwqUfDYC,Sun Apr 23 21:07:17 +0000 2017
golf,ebayukhq,Titleist T-MB 5 Iron Golf Club https://t.co/hKyrtASOJS #ebayuk #golfing,Sun Apr 23 21:07:16 +0000 2017
golf,fridayja77,RT @TheOnlyColors: Shoutout to the women's golf team https://t.co/OS4TvEqoE5,Sun Apr 23 21:07:15 +0000 2017
