category,user,tweet,time
html,_NoMoreExcuses,David Gergen: Trump isn't learning from his mistakes https://t.co/iKzkXlDx7l ^CNNHeadlines https://t.co/1gLhL4iXi5,Sun Apr 23 19:06:34 +0000 2017
html,JambusterLondon,A40 Western Avenue (Eastbound) between Polish War Memorial Underpass (A40) and Target Underpass (A40)… https://t.co/eIA5YkWDTV,Sun Apr 23 19:06:34 +0000 2017
html,KBBNsports,RT @WyoSports: Images from Wyoming Cowboy Football spring game Saturday in Laramie. #gowyo #wyosports https://t.co/AP2QcWCPnJ,Sun Apr 23 19:06:34 +0000 2017
html,jewchaacho,"RT @DaShanneStokes: Because when you've failed this much, you need a rally to spread propaganda about your invented success. https://t.co/t…",Sun Apr 23 19:06:34 +0000 2017
html,sulefiasco,"RT @dnvolz: Story link, courtesy some guy named @MikeIsaac: https://t.co/io3TGYeldJ",Sun Apr 23 19:06:34 +0000 2017
html,usnews4u,David Gergen: Trump isn't learning from his mistakes https://t.co/xnv1lOJsgf https://t.co/s9IHITULu4,Sun Apr 23 19:06:34 +0000 2017
html,AbsInDaHouse,RT @Lootybag: Gorgeous personalised swim bag for kids with detailed and colourful birds . Visit https://t.co/CapIX3SByj @Bizitalk #ATSOPRO…,Sun Apr 23 19:06:34 +0000 2017
html,dlquimby,RT @CNN: Video shows crowds at the March for Science in Chicago from above https://t.co/g0Yfj4rxTe https://t.co/rRKHy8V0Nk,Sun Apr 23 19:06:34 +0000 2017
html,RSinclairAuthor,"RT @beveaves: Final #review for the day is for #TheRedCobra by @RSinclairAuthor.   Thoroughly  enjoyed this book.  #blogger #book

https://…",Sun Apr 23 19:06:34 +0000 2017
html,EmpComLLC,"'Happy Days' star Erin Moran, who played 'Joanie', has died in Indiana, NBC reports  https://t.co/cynQ69Jubj",Sun Apr 23 19:06:34 +0000 2017
html,AustinJimenez,"RT @CNN: French presidential election: Far-right's Marine le Pen to face centrist Emmanuel Macron in 2nd round, estimates say https://t.co/…",Sun Apr 23 19:06:34 +0000 2017
html,TheMAGALONAS,"RT @ElnellaFanMom: All the way to the top.

 https://t.co/4eEOQUcwYt",Sun Apr 23 19:06:33 +0000 2017
html,MLSMafia,Adorable Mobile home for sale (Covina) $73900 2bd https://t.co/W0NiX0Hzbx,Sun Apr 23 19:06:33 +0000 2017
html,Ticketsmarche,"Battle of the Wheels - Speed &amp; Gymkhana
At Tulip Hotel 
On 28 #April,1:00PM 
Invitations (https://t.co/ydlhxzVvya) https://t.co/VMea725T4W",Sun Apr 23 19:06:33 +0000 2017
html,asherares,Spring is in the air and Spring edition Kellogg's Rice Krispies have arrived.Answer TheTullyphone - https://t.co/sRVptQOAHm via @Shareaholic,Sun Apr 23 19:06:33 +0000 2017
html,yaschasasha,"RT @tribelaw: If Comey was trying to shield F.B.I. from politics, he failed abjectly: he shaped the 2016 presidential election: https://t.c…",Sun Apr 23 19:06:33 +0000 2017
html,EmpComLLC,"As Shandy season approaches, Leinenkugel’s celebrates 150 years with a new beer https://t.co/pzFNiiLgIH",Sun Apr 23 19:06:33 +0000 2017
html,LowerMainlandBC,Sous Vide - A juicier steak done better https://t.co/ffnCX7Zsr6,Sun Apr 23 19:06:33 +0000 2017
html,mapocoloco,"Trump's election has mobilized a resistance like no other, but will Democrats' answer to the tea party work? https://t.co/RHdiYXKYgm",Sun Apr 23 19:06:33 +0000 2017
html,jawnlouis,"RT @MenezesCracked: In 1969, Nixon ordered a nuclear strike against North Korea. But he was drunk, so everyone ignored him. https://t.co/gC…",Sun Apr 23 19:06:33 +0000 2017
html,catitcomb,"RT @tribelaw: If Comey was trying to shield F.B.I. from politics, he failed abjectly: he shaped the 2016 presidential election: https://t.c…",Sun Apr 23 19:06:33 +0000 2017
html,Rotary6380,RT @JohnHewko: Polio survivor and athlete @mindadentler shares how cuts to foreign aid could hurt global health and ending polio. https://t…,Sun Apr 23 19:06:33 +0000 2017
html,currentnewspage,#Breakingnews Soldier's horror account: Taliban started firing at anyone who came in front of them… https://t.co/tkchnT8ugw,Sun Apr 23 19:06:33 +0000 2017
html,Bsafestrategies,The Secret Life of… Sebastian Vettel https://t.co/Yuz3gCMHbm,Sun Apr 23 19:06:33 +0000 2017
html,MLSMafia,Open House TODAY 4/23 (Bellflower) $469900 2bd 936ft2 https://t.co/2tyStvV9S0,Sun Apr 23 19:06:33 +0000 2017
