category,user,tweet,time
life,Shauunieee,"RT @wordstionary: Life goes on, with or without you.",Sun Apr 23 08:17:23 +0000 2017
life,420Propaganda,"RT @CannabisCulture: The CC 5 was in court yesterday - all facing life in prison for helping access a plant soon legalized. 
Next court app…",Sun Apr 23 08:17:23 +0000 2017
life,chrstnmrfe,"RT @dailytextmsg: ""Life is an adventure. Live with a happy heart. 💕""",Sun Apr 23 08:17:23 +0000 2017
life,AnnitaKatee,@amiehamling This will be my new life,Sun Apr 23 08:17:23 +0000 2017
life,SaraAnnRusher15,RT @aaroncarter: There's so much more to my music #LøVë than people really understand. It's my identity &amp; my fans and music helped change m…,Sun Apr 23 08:17:23 +0000 2017
life,hibashaito1,RT @TheFunnyTeens: A book written about my life https://t.co/RDVdAevjO4,Sun Apr 23 08:17:23 +0000 2017
life,FastFunNow,"What has recently changed in your life that has you open to a home business? https://t.co/wNAVv6xhV7 #mlm #networkmarketing
 #MLm",Sun Apr 23 08:17:23 +0000 2017
life,shiningstars30,"RT @GreatestQuotes: ""Life is really simple, but we insist on making it complicated."" - Confucius",Sun Apr 23 08:17:23 +0000 2017
life,margauxdemerle,RT @gabs111301: When you wish your life was like @KathrynLNewton In this picture. https://t.co/f3Vhmg8Gkg,Sun Apr 23 08:17:23 +0000 2017
life,GaretteZane,"RT @OFCMarcoCGallo: That​ ​it​ ​shall​ ​never​ ​come​ ​again​ ​is​ ​what​ ​makes​ ​life​ ​so​ ​sweet.  

MBwithMARCO​ ​BukasNa",Sun Apr 23 08:17:23 +0000 2017
life,mgracp,GYM FOR LIFE NACIONAL🔜🔜,Sun Apr 23 08:17:23 +0000 2017
life,NrMsrhZzl,RT @blxcknicotine: I need this cat in life. https://t.co/b1ndmKyupu,Sun Apr 23 08:17:22 +0000 2017
life,LoveSRKForLyf,@its_Kickuuuuuuu arrey Nooo Noooo she didnt love him.He helped her sort out her life issues so she wanted him to be… https://t.co/zqW1ZAVY8K,Sun Apr 23 08:17:22 +0000 2017
life,shelbysmith98,RT @TweetLikeAGirI: Will Smith out here dropping gems  for people with life goals https://t.co/lZL04RsZFg,Sun Apr 23 08:17:22 +0000 2017
life,sztorskie,"RT @FHA_LDN: Step towards positive thinking.
The right mentality for business, entrepreneurs and life in general.
#tech #innovation #startu…",Sun Apr 23 08:17:22 +0000 2017
life,syruhhxo,RT @spanishcvndy: Gotta stop living your life to please others,Sun Apr 23 08:17:22 +0000 2017
life,JesseEbert1,I feel like Travis Scott makes music for people who have very dark undertones in their life.,Sun Apr 23 08:17:22 +0000 2017
life,SoulfullySue,Destiny reader who manages to maintain a very positive &amp; uplifting outlook on life #soulecting #tarot @soulfullysue https://t.co/iOCSeZ1kIa,Sun Apr 23 08:17:22 +0000 2017
life,JLDuncanTweets,RT @KRUZAA_: JAMAICANS GIVE ME LIFE 😭😂 https://t.co/3Kt5voLtKN,Sun Apr 23 08:17:22 +0000 2017
life,TobiArogunmati,RT @Elijahyats: Will Smith out here dropping gems  for people with life goals https://t.co/3Sd6JUHDqo,Sun Apr 23 08:17:22 +0000 2017
life,cantwellscaniff,RT @taylorcaniff: Im coming with @RealChrisMiles and @Colbyjames09 Tickets go live monday i've been waiting all my life for this! https://t…,Sun Apr 23 08:17:22 +0000 2017
life,S_Nombebe,"Recently qualified Dr. Always happy &amp; wanting to help. The music plug of the squad.

Has a wealth of experience in… https://t.co/MiFARFr6YM",Sun Apr 23 08:17:22 +0000 2017
life,fuchsiaKAT,RT @neverknownfacts: Be thankful for the bad things in life. They open your eyes to see the good things you weren't paying attention to bef…,Sun Apr 23 08:17:21 +0000 2017
