category,user,tweet,time
movie,chitraloka,Ademaa movie launching In 24/4/17 directed by #Guruprasad produced by Sridhar Reddy KR #chitraloka #mata… https://t.co/iiIE7rtY8P,Sun Apr 23 05:46:37 +0000 2017
movie,subirkumardas,I liked a @YouTube video https://t.co/pMX16ZzEdT Talking Tom and Friends Minis - Horror Movie Night (Episode 14),Sun Apr 23 05:46:37 +0000 2017
movie,bernardotford,@ASAPOFFICIAL favorite movie character?? #ASAPAskKathryn,Sun Apr 23 05:46:37 +0000 2017
movie,PaintMeGold_,Us in the movie theater today 😂😂💀@jadaVwilliams @_tiyaaaa @_Urbanclass8 @dannieeerenee https://t.co/oNFBzOILHa,Sun Apr 23 05:46:35 +0000 2017
movie,TM_5H,RT @musicheaux: the most iconic confrontation in movie history https://t.co/VijHNbycYZ,Sun Apr 23 05:46:35 +0000 2017
movie,aravindjothi1,"RT @Rajni_FC: Yes only one Theatre 
After a long Gap Tamil Movie Reached 275th Day 
#Thalaivaa
#Kabali275 https://t.co/IkmlNALH2a",Sun Apr 23 05:46:35 +0000 2017
movie,KnowingFlame,WONDER WOMAN Becomes A Hero In This Gorgeous New Concept Art From The Upcoming Movie https://t.co/pHbsqk4AsV via… https://t.co/EsRXzZGoPA,Sun Apr 23 05:46:34 +0000 2017
movie,freefilmfiles,"The Accountant (2016) Download Full Movie HD
Download Link: https://t.co/b6uAfsfs0U
#TheAccountant https://t.co/mRDzZ9rRoq",Sun Apr 23 05:46:34 +0000 2017
movie,HDz__E,RT @beccacamarillo: i love when Eddie traces my arm and hand with his fingers while we're watching a movie 😢,Sun Apr 23 05:46:33 +0000 2017
movie,ruby2156,"RT @neekomeyn: I made a playlist for you, @mainedcm 💛
Looking forward to your next movie ✈✈✈✈✈ https://t.co/IeXKkR4aKI",Sun Apr 23 05:46:33 +0000 2017
movie,McKenzy_lynnn,RT @WhennBoys: the most underrated part of the movie https://t.co/nPyOUP3xtY,Sun Apr 23 05:46:32 +0000 2017
movie,_sweetTEMTATION,Y'all ever watched Duplex? Movie funny af 😂,Sun Apr 23 05:46:32 +0000 2017
