category,user,tweet,time
music,selenastroye,i'm ready for new troye music.,Sun Apr 23 05:16:13 +0000 2017
music,nolimitlew35,RT @ENELSON_II: You losing if you don't have Apple Music.,Sun Apr 23 05:16:12 +0000 2017
music,stavvy72,https://t.co/NittyPHaSx Getaway- The Music...let's go!,Sun Apr 23 05:16:12 +0000 2017
music,LALPUSHP,"RT @LALPUSHP: Mesmerising Moments :
Play the Music rather than playing the Musical instrument... https://t.co/GPQKxHNyST",Sun Apr 23 05:16:12 +0000 2017
music,_MCFlaco,Check out the latest link in bio !! 🔥🔥🎶🎶🎤🎹🔊🎸🎼 #soundcloud #WeVibin #stream #follow #like #music… https://t.co/5ZHAhb4jFQ,Sun Apr 23 05:16:12 +0000 2017
music,KempenRyan,Low key Molly Kestner makes some good music,Sun Apr 23 05:16:11 +0000 2017
music,ThaUntouchablez,SERIOUS RAPPERS IF U NEED A HIT BEAT QUALITY STREET MUSIC TRAKSTAR GOT HITS VISIT https://t.co/A27oHxWqlr,Sun Apr 23 05:16:11 +0000 2017
music,softtrees,NEW TROYE MUSIC I CANT WAIT TO REUNITE WITH MY TROYE FRIENDS,Sun Apr 23 05:16:11 +0000 2017
music,Mdnadee21516985,"RT @iAmNehaKakkar: For all the #PunjabiMusic Lovers Here's My Latest Punjabi Song ""RING"" Out Now! https://t.co/1qOQWma6Uk 💍❤️ 
Music: Jatin…",Sun Apr 23 05:16:10 +0000 2017
music,5566Club,"RT @ygent_official: [WINNER - 'REALLY REALLY' 0422 MBC Music Core : NO.1 OF THE WEEK] https://t.co/dos7Z6AYNI via @YouTube
#WINNER #위너 #REA…",Sun Apr 23 05:16:10 +0000 2017
music,junkchhh,"RT @yugyeomvs: kpop stans don't get mad 'cus y'all don't like kpop, kpop stans get mad when y'all poorly judge the music just because of th…",Sun Apr 23 05:16:10 +0000 2017
music,dinahsaur13,RT @cliffordsshug: jimin unplugged the music and ran away with tae lmao savage https://t.co/eHopRh36MG,Sun Apr 23 05:16:10 +0000 2017
music,ujijihoon,RT @toxicwoozi: JIHOON DID THAT!!! HE WAS OUT THERE EATING GOOD AND JAMMING TO MUSIC AND SINGING ALONG AND SMILING AND LAUGHING I LOVE,Sun Apr 23 05:16:10 +0000 2017
music,NewDeals_C01,South Pacific #news #free #giveaway #music https://t.co/O3KNA31GWG https://t.co/j7g9gUQ7pf,Sun Apr 23 05:16:10 +0000 2017
music,Kidkel69,even if you couldn't be with us in house- see our 24-7 music mall https://t.co/ttbFJFB9wd https://t.co/cRgkFQfEJv,Sun Apr 23 05:16:09 +0000 2017
music,loneranger158,"Aaron Carter was at Oyster Bake, apparently he has new music 💀",Sun Apr 23 05:16:09 +0000 2017
music,islandsofjakeke,I need new music to listen to bc I listen to the same 20 songs :/,Sun Apr 23 05:16:09 +0000 2017
music,BoiBZ_,RT @4th_army: @4thImpactMusic 2018 the world will hear and know your music... and we are just here for you girls... #Dreamers,Sun Apr 23 05:16:09 +0000 2017
music,LittlePrince_94,"RT @yugyeomvs: kpop stans don't get mad 'cus y'all don't like kpop, kpop stans get mad when y'all poorly judge the music just because of th…",Sun Apr 23 05:16:09 +0000 2017
music,PatSams_,RT @OnlyHipHopFacts: Episode 4 of Frank Ocean's BLONDED radio starts in 2 minutes. You can listen here: https://t.co/wtQ3SwxqmI https://t.c…,Sun Apr 23 05:16:09 +0000 2017
music,densomething,"they blasted LOUD music and all that shit
I have really bad marks from my nails squeezing my arms",Sun Apr 23 05:16:09 +0000 2017
music,ATLFLEETNATION,The @fleetdjs now have a r&amp;b division @fleetdjsrnb. . Email fleetdjsrnb@gmail.com to submit music (only r&amp;b),Sun Apr 23 05:16:09 +0000 2017
music,StillMusicSound,New site ------&gt; https://t.co/iLbq6JHEsI Join upload your music and network!! https://t.co/UV54C4j4T4,Sun Apr 23 05:16:09 +0000 2017
music,QuintonGanaway,RT @DankMemePlug: Someone put minecraft music and sound effects on this fight I'm done https://t.co/QVWXE3xpP4,Sun Apr 23 05:16:09 +0000 2017
music,EmmaKerrifc,RT @__shekinahh: Lol having a music plug &gt;&gt;&gt;&gt;&gt;&gt;,Sun Apr 23 05:16:09 +0000 2017
music,AnZoRadio,"Hand picked songs from the music vineyard:
Olly Murs Feat. Demi Lovato - Up
https://t.co/HlxdZ2D0Of
#surprise #gift",Sun Apr 23 05:16:09 +0000 2017
music,thatgirlaracely,RT @impairabIe: blast the music until you can't feel a fucking thing,Sun Apr 23 05:16:08 +0000 2017
music,ItsVicquo,None of them both don't know what music is https://t.co/luP8ZzpzMy,Sun Apr 23 05:16:08 +0000 2017
music,tigersounding,RT @50years_music: Mac Davis - I Believe in Music https://t.co/nsbYXoYvO5,Sun Apr 23 05:16:08 +0000 2017
music,wherestessah,"RT @KevinFarzad: I've always wondered - what if a ""haha and then what ;)"" text came to life and made millions making music https://t.co/qRz…",Sun Apr 23 05:16:08 +0000 2017
music,IamBabyForEver,RT @girlgroupzone: [PRESS] 170421 Dreamcatcher on the way to Music Bank rehearsal https://t.co/XK3s1ytkio,Sun Apr 23 05:16:07 +0000 2017
music,sansnsora,RT @yodaaaayeolie_: exo-ls fanchant at melon music awards damn it i have goosebumps all over my body https://t.co/wzP30X15vL,Sun Apr 23 05:16:07 +0000 2017
music,yoonmonseokpls,"RT @yugyeomvs: kpop stans don't get mad 'cus y'all don't like kpop, kpop stans get mad when y'all poorly judge the music just because of th…",Sun Apr 23 05:16:06 +0000 2017
music,SexuaIActivity,"RT @disappointtment: music always helps, no matter what you're going through",Sun Apr 23 05:16:06 +0000 2017
music,SkaggsMusic,How to Get Magazines to Review Your Music -- https://t.co/USeJ4zOygm https://t.co/6TSl9HewS1,Sun Apr 23 05:16:06 +0000 2017
music,VaIorie,"RT @disappointtment: music always helps, no matter what you're going through",Sun Apr 23 05:16:06 +0000 2017
music,NP_Styles,"RT @Ashton5SOS: @5SOSWWReports @5SOS hello, as a member of the band, we are writing like crazy, and will have new music out when it's the b…",Sun Apr 23 05:16:06 +0000 2017
music,ChelseaP_3,RT @HYPEBEAST: .@BENBALLER blessed @JohnMayer with the tiniest chain in music. https://t.co/L35VX9X1CO,Sun Apr 23 05:16:06 +0000 2017
music,PurposeReaI,"RT @disappointtment: music always helps, no matter what you're going through",Sun Apr 23 05:16:05 +0000 2017
music,Aiden_RocknRoll,RT @KKOOProductions: If u like #oldskool #garage #music then check out our new festival #nostalgiafest coming to #bromley 5th Aug at Norman…,Sun Apr 23 05:16:05 +0000 2017
music,Kesawarthinira2,RT @Siva_Kartikeyan: Here s a song on father's love frm d film #Thiri https://t.co/kI15nSrJWe music by @ajesh_ashok https://t.co/4nACrMEeUx…,Sun Apr 23 05:16:05 +0000 2017
music,AlltheWayUpkh,MUSIC INSTRUMENTAL ON YOUTUBE https://t.co/agFsf577Sm   #RapBeat  #MiDeWestcoast,Sun Apr 23 05:16:05 +0000 2017
music,ugIyperson,"RT @disappointtment: music always helps, no matter what you're going through",Sun Apr 23 05:16:05 +0000 2017
music,Allwemakeishits,"Snoop Dogg, Alicia Keys Honor Tupac With Riveting Medley at Rock Hall
https://t.co/valB6FMg6Z https://t.co/mV9geGCx16",Sun Apr 23 05:16:05 +0000 2017
music,yugybum,RT @jaehyunnies: [NCT X NCT]  8 times that NCT's members made a cameo in Music Videos https://t.co/UMtW3aQ1wO via @YouTube,Sun Apr 23 05:16:04 +0000 2017
music,longLiveGeoo,"RT @mymixtapez: [New Music Video] @RICO_RECKLEZZ ""Stick On It"" Available Now! #MyMixtapez

Watch Here: https://t.co/6XoFdgmccj https://t.co…",Sun Apr 23 05:16:04 +0000 2017
