category,user,tweet,time
profit,shelbyrella_,RT @BmoreDoc: Neoliberalism: stripping of public goods/resources (often from Black communities) for profit. Examples: privatizing public sc…,Sun Apr 23 00:41:11 +0000 2017
profit,Now_I_get_it,"@greta I'm okay with a $22.40 profit per passenger; frankly, I'm surprised it isn't a lot higher.",Sun Apr 23 00:41:07 +0000 2017
profit,DesbraRon,"RT @HotelIvona: ""For what shall it profit a man, if he gain the whole world, and suffer the loss of his soul?"" @GoogleExpertUK https://t.co…",Sun Apr 23 00:41:05 +0000 2017
profit,RichWanket,@aubreysund I apologize....I was just selfishly thinking of human lives..when I should have been concerned with Nes… https://t.co/f8r6cG3DeD,Sun Apr 23 00:41:03 +0000 2017
profit,T8knithigher,@SierraClub Lets be beastly to Bayer! for murdering our bees in their profit scheme to replace OUR Bees with Their RoboBees!!!,Sun Apr 23 00:41:02 +0000 2017
profit,shonazarbadjd,"RT @empirii: $ELED FOLLOW THE TREND, FOLLOW THE MONEY, PROFIT $MMEX $OWCP $ICLD $BONZ $ICNB $USRM $MYDX $SFOR $MCIG $RSII $DBMM $TXTM $CHRO…",Sun Apr 23 00:41:01 +0000 2017
profit,AskDonTeague,Top Earner Secrets Discover the 4 Profit Centers All Top Earners 100% Embrace https://t.co/v7D9zb0tKN,Sun Apr 23 00:40:57 +0000 2017
profit,don_teague,Top Earner Secrets Discover the 4 Profit Centers All Top Earners 100% Embrace https://t.co/VTfVlQSq3d,Sun Apr 23 00:40:56 +0000 2017
profit,Materialistuk,Boohoo to reveal profit surge as sales leap to £300m   https://t.co/rBN3fq5EG1,Sun Apr 23 00:40:53 +0000 2017
profit,produdfctititty,Even if the project itself is non-profit YOU PROFIT FROM COMPLETING IT. PAY THE ARTIST FOR HER WORK. https://t.co/4PQR8jO478,Sun Apr 23 00:40:39 +0000 2017
profit,Duran2038,RT @BmoreDoc: Neoliberalism: stripping of public goods/resources (often from Black communities) for profit. Examples: privatizing public sc…,Sun Apr 23 00:40:37 +0000 2017
profit,sydneymarcia_,"Proverbs 14:23 ""All hard work brings a profit, but mere talk leads only to poverty"".",Sun Apr 23 00:40:30 +0000 2017
profit,Vader671,"RT @OuterBoroRoyal: Imagine knowing powerful interests stole your mom's dead ""body"" and replicated parts of her for science &amp; profit for de…",Sun Apr 23 00:40:29 +0000 2017
profit,ChoreGalaz,RT @OmaClinica: @VincentChhabra Let's learn from this wonderful post &amp; apply in pour non profit cancer org @CICS_DR_MARQUEZ @BDIRMAL @cpjor…,Sun Apr 23 00:40:25 +0000 2017
profit,SlaytonSara,RT @jesse_hillman_: *sell out our environment to big oil for profit https://t.co/CRtFBZJLZh,Sun Apr 23 00:40:17 +0000 2017
profit,pLcidWill,"Might commit murder for profit

Pastor just told me I'm toxic

I don't need help I need options

#gnarlybastard https://t.co/8VWQTn05kn",Sun Apr 23 00:40:10 +0000 2017
profit,Maureeen_Mani,@Marvin10691 Definitely! Congrats by the way! Look into not-for-profit employers for loan forgiveness and enroll in… https://t.co/dTSxo79a38,Sun Apr 23 00:40:01 +0000 2017
profit,dogecapital,"1492907745382000000,5.000000,0,0,82584,15000000 so profit #dogecapital",Sun Apr 23 00:39:49 +0000 2017
profit,cm_138,@kylegriffin1 Good!!  Needs to be cut 75%. This is a waste of money. Crooks profit from the fake news.,Sun Apr 23 00:39:41 +0000 2017
profit,KingDanMusic,"#NewVideoAlert Go watch ""Profit"" video its now out on #Youtube just released 
https://t.co/e7YvvJSiY1",Sun Apr 23 00:39:37 +0000 2017
profit,produdfctititty,@LeagueOfExtra This doesn't change the fact that you stole her work and misrepresented its provenance for profit. PAY HER.,Sun Apr 23 00:39:37 +0000 2017
profit,BlerdyShani,"RT @OuterBoroRoyal: Imagine knowing powerful interests stole your mom's dead ""body"" and replicated parts of her for science &amp; profit for de…",Sun Apr 23 00:39:35 +0000 2017
profit,NoMkhiNoParty,Only little but a nice profit. https://t.co/xs8LW0NzLW,Sun Apr 23 00:39:35 +0000 2017
profit,sanjayduncan,RT @trutherbotred: We as consumers shouldn't forget that companies are only interested in corporate profit not the health of our families a…,Sun Apr 23 00:39:34 +0000 2017
profit,atienpo78,"RT @HandsOffNJ: With Washington putting the future of healthcare at risk, we should be supporting NJ's only not-for-profit insurer. https:/…",Sun Apr 23 00:38:57 +0000 2017
profit,LawrenceBrian6,RT @CeeAcosta: @JulianAssange Wouldn't you like to know the real reason behind this deal?Taxpayers will pay dearly BUT who will profit?Alwa…,Sun Apr 23 00:38:31 +0000 2017
profit,10perproject,"RT @OuterBoroRoyal: Imagine knowing powerful interests stole your mom's dead ""body"" and replicated parts of her for science &amp; profit for de…",Sun Apr 23 00:38:03 +0000 2017
profit,Thoe85Tom,@markknoller Do they ever go anywhere that they don't profit from?,Sun Apr 23 00:37:54 +0000 2017
profit,SweetXXXPea,"RT @KinkKult: ""Porn is exploiting women!""

Says the people who create sex work documentaries that speak against sex workers to profit from…",Sun Apr 23 00:37:45 +0000 2017
profit,TMI1974,RT @MeosoFunny: Takes Drugs from Strangers Made in a Bathtub; Doesn't Trust the FDA and Big Pharma Because of Profit - https://t.co/FnGbikG…,Sun Apr 23 00:37:39 +0000 2017
profit,tadrow,"RT @jonrog1: 1) I co-wrote movie 1of a billion dollar 8 movie franchise. According to studio profit statements, my movie still hasn't turne…",Sun Apr 23 00:37:31 +0000 2017
profit,Miss_Kaysie,"RT @DivSavel: .@hotgirlswanted .@hotgirlswanted: WE STOLE THEIR LIKENESS FOR PROFIT BUT AT LEAST WE DON'T DO GROSS SEX STUFF FOR PROFIT, AM…",Sun Apr 23 00:37:19 +0000 2017
profit,RealDavidBirch,"RT @fairskies: ""Profit-oriented"" is a funny phrase to use for an airline that flies a 350 seat plane on a route with 100 fliers/day https:/…",Sun Apr 23 00:37:09 +0000 2017
profit,TsaiBreezy,Remind people that profit is the difference between revenue and expense. This makes you look smart.,Sun Apr 23 00:36:46 +0000 2017
profit,Stan_Karczmarz,"Invest in contemporary art for profit &amp; pleasure &gt; https://t.co/IvPuIoyCqD  New York Wall Street, Nasdaq, London St… https://t.co/XrWMihyETl",Sun Apr 23 00:36:43 +0000 2017
profit,hirotoki16109,RT @ForexSignalsATC: How to profit in manipulated #Forex markets https://t.co/3uCaHhLCjg,Sun Apr 23 00:36:30 +0000 2017
profit,harmony9898,"@realDonaldTrump But of course, since you invested in oil and are merely looking to increase your own profit, you don't care about others",Sun Apr 23 00:36:24 +0000 2017
profit,bls4justice,There's a scripture in the Bible that  speaks of all the profit.s  have spoken about gog  but nowhere else in the... https://t.co/wExZszbW1f,Sun Apr 23 00:36:17 +0000 2017
profit,value_picks,"Statistics like Hit-rate, Profit (ROI) and Yield are updated from time to time.
Let's start trading.",Sun Apr 23 00:36:16 +0000 2017
profit,SVIR2017,The government can only fund the things without profit motive Rick. It's not regulation it's making the bets not profitable that Gov does,Sun Apr 23 00:36:15 +0000 2017
profit,DysonDoll,RT @ImNana63: This story makes me really angry...always used black bodies for profit #HENRIETTALACKS,Sun Apr 23 00:36:12 +0000 2017
profit,Shalisa_Renee,"RT @OuterBoroRoyal: Imagine knowing powerful interests stole your mom's dead ""body"" and replicated parts of her for science &amp; profit for de…",Sun Apr 23 00:36:09 +0000 2017
profit,CuntryCounselor,"RT @OuterBoroRoyal: Imagine knowing powerful interests stole your mom's dead ""body"" and replicated parts of her for science &amp; profit for de…",Sun Apr 23 00:36:03 +0000 2017
profit,DMugeiro,"1 hora a jogar poker, profit 1,50€, slowly but surely",Sun Apr 23 00:35:51 +0000 2017
profit,katrinafee,RT @s_m_i: It is reasonable to assume that absolutely everything connected in some way to the internet is spying on you for fun and profit.…,Sun Apr 23 00:35:48 +0000 2017
profit,yibyulyi,RT @SolarThrottle: A campaign by Macro Roho to address/resolve the issue of social marginalization of elderly women. 5% of the profit goes…,Sun Apr 23 00:35:41 +0000 2017
profit,liwei_tino,How Smart Insight helps in tracking insider trading https://t.co/yvlGA821F4 TINO IQ #daytrading #stockmarket #profit visit http://zpr.i,Sun Apr 23 00:35:40 +0000 2017
profit,oregonvt,"bloggers accusing them of among other things, potentially interfering with her ability to profit off her role as first lady.”",Sun Apr 23 00:35:40 +0000 2017
profit,malitosh,"PURE EVIL: How Google steals content, crushes small publishers and monopolizes the internet for profit  https://t.co/gAu4BVXYyf",Sun Apr 23 00:35:39 +0000 2017
profit,shall3991,We subsidize. They profit! @LeoDiCaprio @NatResources @SenatorTomUdall @wpinvestigates https://t.co/BzZxZYjFR1 … https://t.co/6EDAWeiDRz,Sun Apr 23 00:35:37 +0000 2017
profit,CoffeeShopWaifu,"RT @weeniedesu: They took down the stolen art, thank you guys for your help. Still, don't support a trash brand who copies art for profit.",Sun Apr 23 00:35:27 +0000 2017
profit,ananyikes,"RT @weeniedesu: Please don't support this brand in general, they copy so many artists original work and sell it for profit. https://t.co/xs…",Sun Apr 23 00:35:26 +0000 2017
profit,SWeverywhere,"RT @KinkKult: ""Porn is exploiting women!""

Says the people who create sex work documentaries that speak against sex workers to profit from…",Sun Apr 23 00:35:25 +0000 2017
profit,Class_of_78,"#SantaAnita Don't get suckered, they fixed R9 for big payoff SO now they'll fix R10 for small bucks. Ex-box 3-5-11 should get you a profit.",Sun Apr 23 00:35:21 +0000 2017
profit,Valleyofdeath77,@JezCorden I don't think so they are still sold at a profit loss. If the Scorpio comes out at 399 it's worth is probably 799.,Sun Apr 23 00:35:07 +0000 2017
profit,KeyOnProduction,"New Video Released. 
King Dan- The Profit 
 https://t.co/iENwucLzU4 #KeyOnProduction",Sun Apr 23 00:35:01 +0000 2017
profit,ralowes,@morrow2188 @Steigerworld The rats have terrible attendance. Pirate fans showed up and yet profit never kept up with payroll,Sun Apr 23 00:34:57 +0000 2017
profit,Ghee_Profit,She don't love me she keep my hungry,Sun Apr 23 00:34:52 +0000 2017
