category,user,tweet,time
reform,GdnHealthcare,"Reform, funding, management – these are the issues #nhs leaders want to see discussed in #GE17 says @NHSConfed https://t.co/0W7sFVjUjm",Sun Apr 23 14:30:02 +0000 2017
reform,JohnRowlette,RT @NancyPelosi: We need to see @realDonaldTrump’s tax returns to know how any proposal for reform would affect him personally. #MTP,Sun Apr 23 14:29:58 +0000 2017
reform,ILBadgerFans,RT @NancyPelosi: We need to see @realDonaldTrump’s tax returns to know how any proposal for reform would affect him personally. #MTP,Sun Apr 23 14:29:56 +0000 2017
reform,sacredheart3474,RT @NancyPelosi: We need to see @realDonaldTrump’s tax returns to know how any proposal for reform would affect him personally. #MTP,Sun Apr 23 14:29:55 +0000 2017
reform,MD_Nalapat,"RT @eeta: Narasimha Rao gave us Reform 2.0, and now what must take place under Modi is Reform 4.0, writes @MD_Nalapat https://t.co/Vm0xzHLZ…",Sun Apr 23 14:29:54 +0000 2017
reform,msowers70,RT @NancyPelosi: We need to see @realDonaldTrump’s tax returns to know how any proposal for reform would affect him personally. #MTP,Sun Apr 23 14:29:53 +0000 2017
reform,Rebel_Resist,"RT @robreiner: 100 days: no wall,no Muslim ban,no health care,no tax reform,no infrastructure,one stolen Supreme Court seat,one stolen elec…",Sun Apr 23 14:29:52 +0000 2017
reform,PammyDee,RT @NancyPelosi: We need to see @realDonaldTrump’s tax returns to know how any proposal for reform would affect him personally. #MTP,Sun Apr 23 14:29:44 +0000 2017
reform,ArcuriPolasek,@PattyRodman1 @Cali_Deplorable @Enurgyzer @Mike_P_Williams @jimmytwest @ColeLedford11 @foxandfriends… https://t.co/WFQG0Joq1S,Sun Apr 23 14:29:44 +0000 2017
reform,jenbfischer,RT @NancyPelosi: We need to see @realDonaldTrump’s tax returns to know how any proposal for reform would affect him personally. #MTP,Sun Apr 23 14:29:42 +0000 2017
reform,kodiak149,RT @NancyPelosi: We need to see @realDonaldTrump’s tax returns to know how any proposal for reform would affect him personally. #MTP,Sun Apr 23 14:29:40 +0000 2017
reform,Kp8QpZBXVHQV1kV,#reform school girls xxx sexy or naked girls fight video download https://t.co/pD345q5d8n,Sun Apr 23 14:29:40 +0000 2017
