category,user,tweet,time
science,electr1k1tten,"RELIGION IS FAKE

stop wasting your fucking time and learn science",Sun Apr 23 17:01:45 +0000 2017
science,basmith,"RT @manwhohasitall: I have absolutely nothing against male science teachers, as long as they don't skew lessons by teaching men's science.",Sun Apr 23 17:01:45 +0000 2017
science,Daniel_R_Faust,RT @prairielaura: First they came for science and I said nothing. Then they came for math https://t.co/FOZYmoEepi,Sun Apr 23 17:01:45 +0000 2017
science,heptoerepto,"RT @sarahkendzior: Views that now require mass marches:
* Women are people who deserve rights
* Science is important; don't ban it
* POTUS…",Sun Apr 23 17:01:45 +0000 2017
science,cschwinghamer,"RT @neiltyson: Show me a Nation with a science-hostile government, and I'll show you a society with failing health, wealth, &amp; security.",Sun Apr 23 17:01:45 +0000 2017
science,StacyJago,".@CAScratchUp Blogger #Parker shares his Science Olympiad experience, including #video @SOAlumniNetwork… https://t.co/mBGlcSyGwC",Sun Apr 23 17:01:45 +0000 2017
science,BillySpoutsOff,RT @vornietom: I honestly feel bad for the people on the Placebo March who thought they were at the Science March but double blind testing…,Sun Apr 23 17:01:45 +0000 2017
science,OdelaBoca,RT @RepAdamSchiff: I join my constituents in marching for science.  The earth is in danger and @POTUS actions have only increased its peril…,Sun Apr 23 17:01:44 +0000 2017
science,NiceCLady1,@DCLindholm @DykeVanTom Test to see if you can differentiate science from harmless fantasy: Are there only 2 gender… https://t.co/tsa9okD23R,Sun Apr 23 17:01:44 +0000 2017
science,foley_axle,RT @GavinNewsom: No we don't want $$ going to it bc we don't want crucial programs &amp; climate science defunded at the expense of a do-nothin…,Sun Apr 23 17:01:44 +0000 2017
science,alvagraul,RT @Antarcticacl: This is why it makes sense to demonstrate for science in countries like Chile.#MarchaPorLaCienciaCL #MarchaPorLaCiencia #…,Sun Apr 23 17:01:44 +0000 2017
science,jchandler977,"RT @sarahkendzior: Views that now require mass marches:
* Women are people who deserve rights
* Science is important; don't ban it
* POTUS…",Sun Apr 23 17:01:43 +0000 2017
science,stukisu,RT @Independent: ‘Mind-blowing’ discovery could revolutionise our understanding of how brain works https://t.co/NvK9kzrmql,Sun Apr 23 17:01:43 +0000 2017
science,walmoldtasi1980,RT @rrjjrministries: There's a growing movement of medical practices that take cash instead of insurance https://t.co/0Mb3GhSBfE via @BI_Sc…,Sun Apr 23 17:01:43 +0000 2017
science,quades,RT @aterkel: From WaPo story on the March for Science https://t.co/NkUTbs7QJf https://t.co/WsC3gxfojS,Sun Apr 23 17:01:43 +0000 2017
science,prometheusgreen,"RT @2020science: Now you’ve marched for science, here are five resources to help hone your science communication: https://t.co/qk5mkUOxak #…",Sun Apr 23 17:01:43 +0000 2017
science,climatestate,RT @citizensclimate: #Climate Change Was the Epicenter of #MarchforScience https://t.co/JAKZZThlnE via @ClimateCentral @blkahn https://t.co…,Sun Apr 23 17:01:42 +0000 2017
science,dmg1986,It's a beautiful day for a science crawl! https://t.co/QzbM1qd90q,Sun Apr 23 17:01:42 +0000 2017
science,WayneJ28791698,"RT @TEN_GOP: ""There are only two genders."" - Science
#MarchForScience https://t.co/0YDYjjTATv",Sun Apr 23 17:01:42 +0000 2017
science,tietoukka,RT @citizensclimate: #Climate Change Was the Epicenter of #MarchforScience https://t.co/JAKZZThlnE via @ClimateCentral @blkahn https://t.co…,Sun Apr 23 17:01:42 +0000 2017
science,joselaine_sv,"RT @NASA: Yesterday, @OrbitalATK's #Cygnus arrived at the @Space_Station with science &amp; supplies after launching earlier in the week. Here'…",Sun Apr 23 17:01:42 +0000 2017
science,atomicbell,"RT @DannyZuker: As a kid I watched men walk on the moon &amp; dreamed of the future. Thought by 2017 we'd be on Mars, not marching to defend sc…",Sun Apr 23 17:01:42 +0000 2017
science,deja_jace,RT @CharityCr1TiKaL: Fucking finally people rising up to support science and evidence based policies. Godspeed everyone participating in th…,Sun Apr 23 17:01:41 +0000 2017
science,alt_splicing,RT @aterkel: From WaPo story on the March for Science https://t.co/NkUTbs7QJf https://t.co/WsC3gxfojS,Sun Apr 23 17:01:41 +0000 2017
