category,user,tweet,time
song,DataFileHost,new song! Inno-vinovicht _Mortal Man_012.04Ghz (vocal dub) Preview.mp3 https://t.co/MigvlGyEwR,Sun Apr 23 08:48:08 +0000 2017
song,fckingstreep,i feel like yodel it will be the most underrated song this year,Sun Apr 23 08:48:08 +0000 2017
song,DataFileHost,new song! Inno-vinovicht _Mortal Man_012.04Ghz (vocal dub) Preview.mp3 https://t.co/wA678jlsTo,Sun Apr 23 08:48:08 +0000 2017
song,JenIsJoshs,"RT @chrissy96_: SECTIONTV
All of W picked MH as the member with best variety sense
SH: Before only us+our fans knew Song Dumb but now every…",Sun Apr 23 08:48:08 +0000 2017
song,ShawnIsLegend,@MuzikFeedzMe Love That Song And Him,Sun Apr 23 08:48:07 +0000 2017
song,iamOmanhene,RT @KOJO_Cue: Check out @djvyrusky's first single ... Number ft. @KuamiEugene &amp; Myself ... https://t.co/4eDgaVCfKP ... I absolutely love th…,Sun Apr 23 08:48:07 +0000 2017
song,cdwgz,Despacito by JB is such a feel good song,Sun Apr 23 08:48:07 +0000 2017
song,cyyphrs,RT @trbltaemin: OH MY GOD KARD RUMOR IS GOING TO BE A FUCKING BOP. MY SUMMER SONG,Sun Apr 23 08:48:07 +0000 2017
song,polychromeboxes,ahh seriously this is a good self discovery song. she's really grown up.,Sun Apr 23 08:48:07 +0000 2017
song,DataFileHost,new song! BM.mp3 https://t.co/9lu2mYbIYH,Sun Apr 23 08:48:07 +0000 2017
song,starhyukawaii,RT @ikontrash: *:･✧* boa is literally a queen and this song gives me my period https://t.co/O7b2HBQQxf,Sun Apr 23 08:48:07 +0000 2017
song,ythemoody,"RT @JiapeiYu: #ThereForYouTroye 
I LOVE TROYE SIVAN
I LOVE this song. 
I'm so proud of him.Still cannot stop crying😭 https://t.co/ZuKwRMVOEB",Sun Apr 23 08:48:06 +0000 2017
song,yuliesome,RT @bringthechicken: I swear she changes her favourite red velvet song every week https://t.co/EOorm2aWMZ,Sun Apr 23 08:48:06 +0000 2017
song,ColemanCoaching,New Song - Howard Jones https://t.co/kZV9D6SQVb - Worry about your world - not other people's - #Trollhunters #troll https://t.co/Ws8a1lBKFW,Sun Apr 23 08:48:06 +0000 2017
