category,user,tweet,time
style,GreatBossMoves,https://t.co/5cZfihGnc6 #shoes NEW adidas Football Cleats - Black Style # CLU 600001 (Mens Shoe Size: 15),Sun Apr 23 07:47:19 +0000 2017
style,KatyPerry_Watch,#KatyPerry #Deals KATY PERRY PRISMATIC WORLD TOUR FRINGE TANK TOP L https://t.co/OkYgTLHGjX #Style #Forsale https://t.co/IJVIQ3GP6U,Sun Apr 23 07:47:19 +0000 2017
style,AnnJopb,Enter to Win Mary Jane style Swedish Clogs from @SuperiorClogs on @TwoClassyChics Blog Ends 4-30 #Giveaway #ad https://t.co/P57REeSg9z,Sun Apr 23 07:47:18 +0000 2017
style,KathyGOrourke,"#Shoes #Style: AW Run Grey Size 13 --- #Boost, #Yeezy, Alexander Wang READ DESCRIPTION https://t.co/tHv2xMAEee https://t.co/q7WRGRsqps",Sun Apr 23 07:47:18 +0000 2017
style,aashish_bhalla,After Modi came to power we hear more &amp; more of assholes like you.  Time to purge scum.  ISI style.  @HamidMirPAK https://t.co/Ca3ZZUsAgh,Sun Apr 23 07:47:18 +0000 2017
style,CharliOrmond,#Gucci #Belt New Authentic Black Gucci Belt Guccissima 95cm Waist 32-34 https://t.co/B3ofg2rinM #Fashion #Style https://t.co/PLow0Y8YKt,Sun Apr 23 07:47:17 +0000 2017
style,CommandoBunny,Spinach and Egg Salad paired with malunggay pandesal na panini style. https://t.co/tcng8hpEhM,Sun Apr 23 07:47:17 +0000 2017
style,SuesMoore,"#Style #Shoe: #Adidas #YeezyBoost350 #Yeezy #Boost ""Moonrock"" Agagra size 11 https://t.co/IxUFf96pw3 #Shoes https://t.co/fgnshM6NPn",Sun Apr 23 07:47:17 +0000 2017
style,iamsrk_rahul,"RT @SRKUniverse: The royal walking style of @iamsrk 👌 even if He is in disguise, anyone would easily identify Him! Watch this video straigh…",Sun Apr 23 07:47:16 +0000 2017
style,JoyceMcElyea,#Shoe #Style: #Nike Air Foamposite Pro PRM #Yeezy https://t.co/Q6BX7ua36a #Shoes https://t.co/GgEaNsOPTF,Sun Apr 23 07:47:16 +0000 2017
style,Detra_Tenor,#Shoes #Style: #Adidas #YeezyBoost350 #Yeezy #Boost #Boost V2 Green Olive Sz. 10 BY9611 100% Authentic… https://t.co/FHfQ3s0u7U,Sun Apr 23 07:47:16 +0000 2017
style,BritishStyleUK,In case you missed it:  Brick books bringing repurposed style to your shelves https://t.co/41MpVmcCpg,Sun Apr 23 07:47:15 +0000 2017
style,talktoasia123,I like your style,Sun Apr 23 07:47:14 +0000 2017
style,NancyThornton0,#Best #Shoe: #Adidas #Yeezy #Boost 350 V2 Zebra Mens White/Black #KanyeWest (READ DESCRIPTION)… https://t.co/9kOaNY9HJR,Sun Apr 23 07:47:14 +0000 2017
style,weddingood2017,Sexy New Style 2 In 1 Wedding Dress Vintage https://t.co/oCNktjlUMU,Sun Apr 23 07:47:14 +0000 2017
style,katadziina,"RT @GetOnSwag: JUNGKOOK #BTS 🍴170422 v live #BTSinBangkok  #JUNGKOOK #정국 #방탄소년단
Masita Seaweed Roasted Korean Style Spicy https://t.co/Pn3u…",Sun Apr 23 07:47:13 +0000 2017
style,beautycosmetk,Please RT #beauty Chloë Grace Moretz on Her Casual-But-Cool Style Essentials | My Look | Allure… https://t.co/uKXrsdO0Fs,Sun Apr 23 07:47:11 +0000 2017
style,aml_sindh,RT @rehanalishah1: @ShkhRasheed #brave leader in bold style@dadu https://t.co/rD2yP1qp0V,Sun Apr 23 07:47:10 +0000 2017
style,excusemetobio,@cathieleyy !!!! OKAY!! Any particular style or colour? look for some pictures and ill see what i can do :3c,Sun Apr 23 07:47:09 +0000 2017
style,KatCho,Style Nanda Pink Hotel #KatInKorea #traveldiary #travelshopping @ Myeong-dong Station https://t.co/UesDEQAbS4,Sun Apr 23 07:47:07 +0000 2017
style,BasedDongeezus,"Uchimura here to defend the honor of ZST, complete opposite style from Hatta",Sun Apr 23 07:47:07 +0000 2017
style,LaFieraTuitera,Pen-Pineapple-Apple-Pen: ¿La competencia del ‘Gangnam Style’? VIDEO #Viral https://t.co/odQBLaMTLk,Sun Apr 23 07:47:06 +0000 2017
style,blissful_style,@DeadlyMasochist Pulls out the pear of anguish. Aimed the device towards her lips.,Sun Apr 23 07:47:06 +0000 2017
style,VaniaGancheva,@tellychakkar @itsSSR @sidharth_shukla @TheKaranPatel @_KaranMehra @gurruchoudhary I don't agree! Sidharth is just… https://t.co/VsUYahrsTm,Sun Apr 23 07:47:06 +0000 2017
style,aml_sindh,RT @rehanalishah1: @ShkhRasheed brave leader in bold style @ dadu https://t.co/pW8kUygxYl,Sun Apr 23 07:47:05 +0000 2017
style,StylishMob,"Sunday style!!!
Elevate your Sunday brunch style. Vintage coin tops with natural stone drops available on… https://t.co/6C3WIJ8VAi",Sun Apr 23 07:47:04 +0000 2017
style,tFEkYCjbIKJlIuX,"RT @HobbyDesign: 1：18LB Lamborghini Aventador Finish model（Combat decals style） (build by model master Frank-RSR)
Youtube Video Link:
https…",Sun Apr 23 07:47:03 +0000 2017
style,NoumanFK,"@ranaadeem @razian786 No two ways about it that he has completely changed his style of politics, but these are repe… https://t.co/NKqJbMMW47",Sun Apr 23 07:47:02 +0000 2017
style,fashionbeans,Your trusty navy blazer could be just the piece to help refresh your current wardrobe: https://t.co/TQMcm4tSql https://t.co/paZ3dqGD1E,Sun Apr 23 07:47:01 +0000 2017
style,CreateBangerz,RT @voguemagazine: .@playboicarti's fashion resume is just as impressive as his rap repertoire. https://t.co/UOdBjeXX9j,Sun Apr 23 07:46:59 +0000 2017
style,KatCho,Style Nanda Pink Hotel! #KatInKorea #traveldiary #travelshopping @ Myeong-dong Station https://t.co/VAnrmgfJL1,Sun Apr 23 07:46:58 +0000 2017
style,BogieGrayson,Happy St George's Day. Come and join us at Huntington Sports Club as we celebrate in style. Live Football all day i… https://t.co/X39CsTU12R,Sun Apr 23 07:46:58 +0000 2017
style,Continentseven,Gabriele Varrucciu has a fluid style. Watch a one handed Gozzada filmed in Podersdorf last spring… https://t.co/IzP3ioMTNy,Sun Apr 23 07:46:58 +0000 2017
style,blxssomcherry,whiteeeen's song is my style,Sun Apr 23 07:46:54 +0000 2017
style,saketh1197,@shoppersstop #StartSomethingNew I always want to try new style everyday&amp;wanna set new trend.so I look for differen… https://t.co/cGn4WbUyze,Sun Apr 23 07:46:54 +0000 2017
style,Nav4Prince,RT @RaviShastriOfc: Nothing new. Legend finishes off in style @msdhoni @RPSupergiants #RPSvSRH #Dhoni https://t.co/wNdCDajPRf,Sun Apr 23 07:46:54 +0000 2017
style,TayMomGothAngel,"RT @taylorzombiesky: .@taylormomsen on stage style evolution 
2010 - 2012 - 2014 - 2017 https://t.co/54MhPhHusQ",Sun Apr 23 07:46:53 +0000 2017
style,_nursyafiqa_,RT @hanamf_: I wanna reply to this girl SO BAD about how she's making girls with hijab look bad with her style of fashion but im holding my…,Sun Apr 23 07:46:51 +0000 2017
style,72_photography,@ufl_africa style feature we shot https://t.co/hueoTPyPSj,Sun Apr 23 07:46:50 +0000 2017
style,HeliosMegistos4,Pope Calls for Refugees to be Put in Auschwitz Style Concentration Camps https://t.co/3lVOfRtlc4 via @rudhum,Sun Apr 23 07:46:50 +0000 2017
style,prachimana,@shoppersstop #StartSomethingNew I like to shop coz I like to doll up my style quotient,Sun Apr 23 07:46:50 +0000 2017
style,jouckers,@97EGirl Its not my style,Sun Apr 23 07:46:49 +0000 2017
style,CJContrada,"Brains, brawn, heart, AND let us not forget fast cars.  Life is short, pop the clutch.  #ff8 #VinDiesel https://t.co/x4UTYIxwaT",Sun Apr 23 07:46:48 +0000 2017
style,CodeInBit,"RT @markessien: Compare to dancer: A good dancer may have their signature moves, but they will try out every new dancing style that comes o…",Sun Apr 23 07:46:46 +0000 2017
style,brendamaiy,04-23 Leeds United: Bridcutt gives fellow midfielders an option for Lampard-style… https://t.co/JTrWVfYqIf,Sun Apr 23 07:46:45 +0000 2017
style,marvbasbas68,okay from now on im gonna style my hair because it looks so much better than the one without the style 😂,Sun Apr 23 07:46:44 +0000 2017
style,blue2_u,"@nicktudor100 How lovely, I was in that beautiful country some time ago
Stayed at an old Colonial style hotel on th… https://t.co/j7QIKS2JJp",Sun Apr 23 07:46:43 +0000 2017
style,MyNameIsSneha,"RT @SRKUniverse: The royal walking style of @iamsrk 👌 even if He is in disguise, anyone would easily identify Him! Watch this video straigh…",Sun Apr 23 07:46:43 +0000 2017
style,ArlinaSahaja,"Once in a while, I changed my hijab style #hijabismuch 😂 @ Bentong https://t.co/01jLnTWaie",Sun Apr 23 07:46:42 +0000 2017
style,ruthless_badazz,RT @Chasedatcheck: Shawty a lil dramatic but it compliment her style 😏,Sun Apr 23 07:46:42 +0000 2017
style,xKingDolcex,RT @voguemagazine: .@Harry_Styles remains one of the best-dressed men in music. https://t.co/dkye55RtYx,Sun Apr 23 07:46:42 +0000 2017
style,DTwistedSauce,RT @voguemagazine: .@Harry_Styles remains one of the best-dressed men in music. https://t.co/dkye55RtYx,Sun Apr 23 07:46:41 +0000 2017
style,dikippaa,#Ntatethuso Fs_free style,Sun Apr 23 07:46:40 +0000 2017
style,BigThirstyRay,RT @tyreaxseals: Style Matters ..... https://t.co/rpaFb0aU3O,Sun Apr 23 07:46:40 +0000 2017
style,blkdime2628,RT @Daily_Express: MAPPED: TV film locations which could add THOUSANDS to your home's value https://t.co/yyPG6yhrSN https://t.co/csYtTCtKBe,Sun Apr 23 07:46:40 +0000 2017
style,BestfriendFM,#BestfriendFM #NowPlaying Style [25i] - Taylor Swift https://t.co/KB2pnPxhHM,Sun Apr 23 07:46:38 +0000 2017
style,Allyyy_29,"RT @GetOnSwag: JUNGKOOK #BTS 🍴170422 v live #BTSinBangkok  #JUNGKOOK #정국 #방탄소년단
Masita Seaweed Roasted Korean Style Spicy https://t.co/Pn3u…",Sun Apr 23 07:46:37 +0000 2017
style,JetDonna1,RT @modaoperandi: Gloomy days need sunny style! PreO Rachel Gilbert​'s #floral embroidered #minidress or sequined column #gown now https://…,Sun Apr 23 07:46:37 +0000 2017
style,Cathycmarin1,"Beacon Street Nunn Bush Men's Beacon St. Moc Toe Leather Casual Slip On
https://t.co/x41PpcoLBh https://t.co/NWx2I7fG9D",Sun Apr 23 07:46:35 +0000 2017
style,montyy189,"RT @AkshaySolapurFC: Whatever he does, he does it in STYLE 😎 https://t.co/BSxee7hei0",Sun Apr 23 07:46:34 +0000 2017
style,gethu_offl,RT @MohammadKaif: The great man is back with a bang. Few things give as much happiness and joy then @msdhoni finishing it off in style. Cha…,Sun Apr 23 07:46:34 +0000 2017
style,bellaaxxoo,RT @sheldonG97: I've lived long enough to see a whole trend go out of style &amp; make a comeback. Damn https://t.co/3VKDmDz8tR,Sun Apr 23 07:46:34 +0000 2017
style,KarrezMajik,"RT @HistoryInPix: Smart watch, 1984 style. https://t.co/9hiZ5KB2zu",Sun Apr 23 07:46:33 +0000 2017
style,BradlyOfMartin,@Uptomyknees @JennyENicholson @eginethoulia Didn't the fencing style of Star Wars choreography die when Darth Maul hit the scene?,Sun Apr 23 07:46:32 +0000 2017
style,blissful_style,"« the victim's orifices: the vagina for women, the anus for homosexuals and the mouth for liars and blasphemers.",Sun Apr 23 07:46:32 +0000 2017
style,caballeroa23212,Amazing Cakes Decorating Videos Tutorials - CAKE STYLE - Most Satisfying... https://t.co/qVL9G8E9zI via @YouTube,Sun Apr 23 07:46:31 +0000 2017
style,blissful_style,"« way to torture women who conducted a miscarriage, liars, blasphemers and homosexuals. A pear-shaped instrument was inserted into one of »",Sun Apr 23 07:46:30 +0000 2017
style,Celiaapretty,"RT @AsapRaps: asap rocky is like the male rihanna, anything he wears fits him so well. a style icon. https://t.co/CARqq1GOJp",Sun Apr 23 07:46:29 +0000 2017
style,blissful_style,"// The pear of anguish. -- details. Do not look/read if this bothers you. //

The Pear of Anguish was used during the Middle Ages as a »",Sun Apr 23 07:46:29 +0000 2017
style,KEV_JACKO,"RT @HistoryInPix: Smart watch, 1984 style. https://t.co/9hiZ5KB2zu",Sun Apr 23 07:46:27 +0000 2017
style,Varun_Kingdom,RT @htcafe: Watch style in all its colours at the curtain raiser for #HTMostStylish Awards 2017 on CNBC-TV18 at 4:30 pm today https://t.co/…,Sun Apr 23 07:46:25 +0000 2017
style,Kwame_Dakay,Arentho ke FS 😂😂😂😂😂 free style https://t.co/vxQQzhN593,Sun Apr 23 07:46:24 +0000 2017
style,Notsowiseowl28,RT @sisterayuk: Hey! Some real rock n roll on @BBCIntroLondon @thevelvethands1 kicking things off in style @CrowleyOnAir,Sun Apr 23 07:46:23 +0000 2017
style,markessien,"Compare to dancer: A good dancer may have their signature moves, but they will try out every new dancing style that comes out.",Sun Apr 23 07:46:19 +0000 2017
style,RickTapley1,I liked a @YouTube video https://t.co/jk0ii4jeMy JACKIE CHAN STYLE FIGHT - 騰龍 RISING DRAGONS,Sun Apr 23 07:46:19 +0000 2017
style,EsDeUtilidad,Pen-Pineapple-Apple-Pen: ¿La competencia del ‘Gangnam Style’? VIDEO #Viral https://t.co/WpxLK2Pc3g,Sun Apr 23 07:46:17 +0000 2017
style,InfoReportes,Pen-Pineapple-Apple-Pen: ¿La competencia del ‘Gangnam Style’? VIDEO https://t.co/gCWCzURUaE,Sun Apr 23 07:46:17 +0000 2017
style,style_pp,"@KarvyStock
A4)  The adventures of TinTin

 #WorldBookDay2017 

#GuessTheBook .",Sun Apr 23 07:46:16 +0000 2017
style,EbaySNKRDeals,#eBaySNKRDeals NEW adidas Football Cleats - Black Style # CLU 600001 (Mens Shoe Size: 15) https://t.co/GTB3Q0h4bP,Sun Apr 23 07:46:15 +0000 2017
style,RmP__11,RT @McJesus_97: Hook the shit out of me and I'll still score in style with some sweet sauce to clinch the series https://t.co/YNWXkzUGdj,Sun Apr 23 07:46:14 +0000 2017
style,pooperflooper,"RT @safifesse: PARTNERS IN STYLE @bunniboiz 
#art https://t.co/mRmnvqodOA",Sun Apr 23 07:46:11 +0000 2017
style,HAPAKASI,RT @mayceemariah: Okay but why do most of the hālaus costumes tonight remind me of the old style couch cushions😅,Sun Apr 23 07:46:11 +0000 2017
style,Crunchilino,"RT @LeeStrobel: RT @MarkMittelberg: Forget Netflix and Chill. 
Try Pure Flix and Pray. 
https://t.co/I6itnmA4CK
https://t.co/rleT9vEkDU",Sun Apr 23 07:46:10 +0000 2017
style,rocklandstv,RT @sisterayuk: Hey! Some real rock n roll on @BBCIntroLondon @thevelvethands1 kicking things off in style @CrowleyOnAir,Sun Apr 23 07:46:09 +0000 2017
style,ItalianStyle_it,.Harry_Styles remains one of the best-dressed men in music. https://t.co/FCFKRxue16,Sun Apr 23 07:46:08 +0000 2017
style,faunabeauty,But I can not &amp; will not live my whole life repenting. It's just not my style.,Sun Apr 23 07:46:08 +0000 2017
style,Teamseshchris,Stranger Things/Super 8 are my fav type of films. Late 70's early 80's style with a little Alien spice on top 😋🤙🏽,Sun Apr 23 07:46:07 +0000 2017
style,villagefoodchef,Village Style BIG Goat Heart Lungs Deep Fry &amp; Egg Dum Biryani COOKING in... https://t.co/usxwXOJ71U via @YouTube,Sun Apr 23 07:46:07 +0000 2017
style,72_photography,@ufl_africa style feature we shot https://t.co/qnHjJ2fPRY,Sun Apr 23 07:46:07 +0000 2017
style,VWellwishers,RT @htcafe: Watch style in all its colours at the curtain raiser for #HTMostStylish Awards 2017 on CNBC-TV18 at 4:30 pm today https://t.co/…,Sun Apr 23 07:46:06 +0000 2017
style,casi7777777,@jassi1gill @raibabbal #TEAMJASSIBABBAL 🎤IN DA HOUSE🤘DEY KNOW HOW TO SMASH IT RIGHT 💃PURE BHANGRA STYLE💃KEEP ROCKIN… https://t.co/20UsUakgH6,Sun Apr 23 07:46:05 +0000 2017
style,maryjelliots66,"Beacon Street Nunn Bush Men's Beacon St. Moc Toe Leather Casual Slip On
https://t.co/VaPpIvHHRR https://t.co/xxepkntxYF",Sun Apr 23 07:46:04 +0000 2017
style,style_pp,@MyIndianBank     A1]. Insurgent by Veronica Roth #WorldBookDay,Sun Apr 23 07:46:04 +0000 2017
style,ImVjRaina_BBCT,RT @MohammadKaif: The great man is back with a bang. Few things give as much happiness and joy then @msdhoni finishing it off in style. Cha…,Sun Apr 23 07:46:01 +0000 2017
style,marinoz,Style https://t.co/7ea1yEyfRL,Sun Apr 23 07:46:00 +0000 2017
style,thefoopron,"https://t.co/XxHsGKXxDg Check this delicious Turkish-Style Poached Eggs with Garlic Yogurt, Chili ... recipe on… https://t.co/MDUcvPV1Do",Sun Apr 23 07:45:59 +0000 2017
style,Nadzzz3112,RT @DreamHouseX: This home has timeless style ?? https://t.co/pdKhEgQCjJ,Sun Apr 23 07:45:57 +0000 2017
style,NekoNicoleNya,I got inspiration from some youtubers on this art style (like Jaiden) and AHHHHH,Sun Apr 23 07:45:56 +0000 2017
style,StanleyPronobis,"RT @DoveCameron: whoa, thank you @people https://t.co/mIxNRFBQIe",Sun Apr 23 07:45:54 +0000 2017
style,TunnardSandra,RT @ChrisKeelty: @alihinspain @ricketts44 #JohnMajor distances himself even further from her team and her style too https://t.co/TSXIMGN3e2,Sun Apr 23 07:45:52 +0000 2017
style,plwomenclothing,Plus Size Women Tops Plaid Long Shirts 2016 Spring Harlan Casual Style Long S ... https://t.co/yUoL8PFehu https://t.co/6QrFD1pf13,Sun Apr 23 07:45:52 +0000 2017
style,ta_massan,RT @999KISW: Are you ready for @BABYMETAL_JAPAN?! We are! Style yourself down w/ those #Pain2017 tix. https://t.co/j2KWGr4eHg https://t.co/…,Sun Apr 23 07:45:51 +0000 2017
style,drewsterorg78,#Etsy wedding handmade https://t.co/IqI4SlDMzg,Sun Apr 23 07:45:51 +0000 2017
style,bnd_ksk,Axis - Axis 1973 (FULL ALBUM) [Avant/Canterbury style/Progressive rock] https://t.co/Utrrq8kjha,Sun Apr 23 07:45:49 +0000 2017
style,JoanaSaahirah,"Are you ready for the Summer?
0% fashion style - 0% excuses ; 100% workout power. 
Applause grandma, ladies &amp;... https://t.co/eVFAkWTG86",Sun Apr 23 07:45:48 +0000 2017
style,protectniall4,RT @voguemagazine: .@Harry_Styles remains one of the best-dressed men in music. https://t.co/dkye55RtYx,Sun Apr 23 07:45:48 +0000 2017
style,KayzadKasad,"I had survived this experience and I wanted to explore more of what I could potentially do with my #life
#happiness… https://t.co/Mwz7Yh78kB",Sun Apr 23 07:45:46 +0000 2017
style,Imoki_YT,"Lookbook Video! 💕
https://t.co/D9aSwQFry0
@4theYouTubers @OpTicGaming @YTRetweets  @ShoutYT 
#lookbook #style #fashion #smalltuber #starttag",Sun Apr 23 07:45:45 +0000 2017
style,PRNonly4u,Hey guys watch KRK in his own style!! #MasalaCommentaryLive @UCNews_India  https://t.co/HmzQWcdJuW https://t.co/KjDuU0G4uu,Sun Apr 23 07:45:45 +0000 2017
