category,user,tweet,time
swimming,urpimpdaddyy,RT @ajanilister: I wish I could go swimming,Sun Apr 23 22:39:13 +0000 2017
swimming,zermeno_destiny,Regret going swimming ☹️,Sun Apr 23 22:39:11 +0000 2017
swimming,DenverCP,Can't beat a Sunday spent swimming for sticks at Chatfield State Park 9NEWS https://t.co/XhD97yvaBA,Sun Apr 23 22:39:06 +0000 2017
swimming,ann_sarical,Swimming time....,Sun Apr 23 22:39:06 +0000 2017
swimming,Miami_Morty,@CrazedAndCoked --beach or swimming pool with Rick.,Sun Apr 23 22:39:02 +0000 2017
swimming,Goff256,@Fusionfan45  Reason to stick with Groove over Spotify: One of them is swimming in red ink. The other is Groove.,Sun Apr 23 22:39:00 +0000 2017
swimming,0hHey_Sydney,"I know I say this like once a week but dude... SUMMER IS CLOSE AND IM SPAZZING OUT. Country concerts, night swimming, beers on the lake",Sun Apr 23 22:38:58 +0000 2017
swimming,staceinvader,Realized today that Nora's swimming lessons started a couple of weeks ago...and we haven't taken her yet. #parentingfail,Sun Apr 23 22:38:51 +0000 2017
swimming,cheyezer,"RT @foxygrandpa62: this guy's SO rich, he has a swimming pool IN his swimming pool!

this guy's got SHOES. https://t.co/Fzf13VskZx",Sun Apr 23 22:38:43 +0000 2017
swimming,g0ldstayslaura,"RT @foxygrandpa62: this guy's SO rich, he has a swimming pool IN his swimming pool!

this guy's got SHOES. https://t.co/Fzf13VskZx",Sun Apr 23 22:38:29 +0000 2017
swimming,lizziekish,RT @daiIyIaughs: Just keep swimming😂      https://t.co/xiEZ6P4TA6,Sun Apr 23 22:38:29 +0000 2017
swimming,NpuF4y553CHMQFc,#naked girls with big boob swimming girls on girl do lapdance https://t.co/oyJTfqrwkr,Sun Apr 23 22:38:24 +0000 2017
swimming,TweeturbizUK,"RT @TweeturbizUK: My girls love their #LootyBags thanks to Deb's @Lootybag

#Swimming #Twins #Sisters

@Tweeturpromo @DosocialmediaUK @Trac…",Sun Apr 23 22:38:17 +0000 2017
swimming,uk_coins,"Rare Olympic Games 2012 Gymnastics, Athletics And Swimming 50p coins. https://t.co/KVWxdAIKlo https://t.co/zi7NfpPatJ",Sun Apr 23 22:38:13 +0000 2017
swimming,HardyBrea,The whole top half of my back is sunburnt as shit from swimming today &amp; I already know it's gonna hurt like a bitch tomorrow. 🙄😐,Sun Apr 23 22:38:03 +0000 2017
