category,user,tweet,time
trump,qedigiv,"RT @TheRickyDavila: The @GOP is totally complacent &amp; complicit in all of trump's misconduct. They wanted a GOP WH so badly, they gambled Am…",Sat Apr 22 08:49:40 +0000 2017
trump,TheRealSalz,RT @iamcardib: Donald Trump deport me to U.K son 😩😩😩😩,Sat Apr 22 08:49:39 +0000 2017
trump,MarcusC22973194,".@MotherJones @TelegraphNews 15b) Even though they’re the best in the world, of course. But I doubt that Trump went after them.”-Putin",Sat Apr 22 08:49:39 +0000 2017
trump,Mcz_777,RT @TheEconomist: Transactional diplomacy is the wrong way to persuade China to help ease tensions with North Korea https://t.co/A6cS6Ik57G,Sat Apr 22 08:49:39 +0000 2017
trump,Tiffany69606393,RT @bhendricks72013: @MSkotnicki @TrueFactsStated @CNN Zucker...close friend of Trump family....will never let it go too far against Trump.…,Sat Apr 22 08:49:39 +0000 2017
trump,LGWhiteAuthor,"RT @carolJhedges: Remember this?
 Theresa May just suggested NHS could be part of huge US trade deal https://t.co/RaQPk5QWbe #GE2017 #NHSI1…",Sat Apr 22 08:49:38 +0000 2017
trump,brown60076,"RT @ggreenwald: Trump Adm: bomb Assad, accuse Russia of complicity/lying in chem attack, expand NATO for Montenegro, now this. Where's the…",Sat Apr 22 08:49:38 +0000 2017
trump,sheriffali,"RT @sheriffali: After Being Elected By FRAUD America’s Biggest CROOK Donald Trump Attacks – Judiciary Media &amp; Opposition
#TrumpLyingPatheti…",Sat Apr 22 08:49:38 +0000 2017
trump,HoltonSharp,RT @aravosis: This is ridiculous. Trump really is a huge snowflake. https://t.co/F2sPSKWA7Y,Sat Apr 22 08:49:38 +0000 2017
trump,magicdmw,"RT @SethAbramson: BREAKING: The Steele dossier gets closer to full verification, as CNN confirms Russians approached Page last summer. http…",Sat Apr 22 08:49:38 +0000 2017
trump,jcraig353,"RT @BenPBradshaw: ""Trump puts EU before UK in trade deal"" - what a surprise! Another reason why leaving the Single Market &amp; Customs Union w…",Sat Apr 22 08:49:37 +0000 2017
trump,Gerald2345,RT @CNN: BREAKING: Sources: Russia tried to use Trump advisers to infiltrate campaign https://t.co/7zOe1SBvz2 https://t.co/Vb6DsnTSMp,Sat Apr 22 08:49:37 +0000 2017
trump,Betterw05759703,"RT @HRepeating: The latest news from Donald Trump's reverse-draining (it's an alternative flow, people) of the swamp. https://t.co/ajfIAuwu…",Sat Apr 22 08:49:37 +0000 2017
trump,YUGE_TRUMP,"RT @WokeMamacita: @realDonaldTrump @brunelldonald is a wonderful person, and huge influence on my vote, #YUGE she can help #ChicagoOutreach…",Sat Apr 22 08:49:36 +0000 2017
trump,SuratStartups,"RT @racoja: I looks like the talented will stay/return in India. Could be good  Indian #IT #startup  #makeinindia #startupindia 
https://t.…",Sat Apr 22 08:49:35 +0000 2017
trump,abbytencat,GOP grumbling about cost of Trump's weekend getaways https://t.co/D0dPkv2Qkt via @dcexaminer,Sat Apr 22 08:49:35 +0000 2017
trump,I_am_Niteangel,"RT @SputnikInt: Damascus will be ready to cooperate with #Trump, if US change its policy toward #Syria – #Assad https://t.co/JpDYq0qCow #US…",Sat Apr 22 08:49:35 +0000 2017
trump,PhilipdClarke,The grooming of Ivanka #Trump continues https://t.co/WjxAMSKjMc @wonderfullone @retiredfirstsgt @CHHolte @HopeCapriola @HonorHarlow @coopah,Sat Apr 22 08:49:34 +0000 2017
trump,carlckitchen,"@MsMcMullan If it weren't for Trump, Viet-Americans would still lean heavily GOP. Bc of what the narcissitic ""peace"" movement did in the 60s",Sat Apr 22 08:49:34 +0000 2017
trump,wopular,"Trump calls deal dumb, VP promises to honor it https://t.co/lbfGSnKCMu",Sat Apr 22 08:49:34 +0000 2017
trump,jrbkjrbk,"RT @PalmerReport: Donald Trump has picked a Surgeon General. The Trump administration still has no Deputy AG, no Deputy Secretary of State,…",Sat Apr 22 08:49:33 +0000 2017
trump,syrzwn,"RT @the_HoliDaze: Hey Trump, I'm in a Muslim country right now and guess what? People here are friendlier than in the USA. #visitMalaysia #…",Sat Apr 22 08:49:33 +0000 2017
trump,TBilafer,"RT @McFaul: Thousands turned out in Tulsa today to talk American foreign policy, Trump-Putin, etc. people are engaged! Love it. https://t.c…",Sat Apr 22 08:49:33 +0000 2017
trump,richardbpoland,"Let's talk about this instead...Trump meets with Egyptian-American Aya Hijazi, imprisoned in Egypt for 3 yrs.
Obama… https://t.co/mehOAi5TRY",Sat Apr 22 08:49:32 +0000 2017
trump,rwkd,"RT @thenation: 300,000 registered voters in Wisconsin lacked strict voter ID—Trump won the state by 27,000 votes. https://t.co/7hOvUbcccT",Sat Apr 22 08:49:32 +0000 2017
trump,BostonGlobe,Ivanka Trump’s brand intensified its work in China as her father closed in on the GOP nomination for president… https://t.co/4pEwnPz1Zq,Sat Apr 22 08:49:32 +0000 2017
trump,jedichaz,RT @elvirefabry: My policy paper on #Trump #Trade: More Bark than Bite? https://t.co/NhvXzsJkho https://t.co/nFPvMetilA,Sat Apr 22 08:49:32 +0000 2017
trump,StateofGlobe,Trump’s First Hundred Days and Where Gold is Headed (#37) - https://t.co/wnRMHdFUK6 - #Featured #KerryLutzPodcasts,Sat Apr 22 08:49:32 +0000 2017
trump,ThatDawnMarie,"RT @kylegriffin1: ""I don't respect this president... I don't think that he deserves to be president.""

—Maxine Waters on @Morning_Joe https…",Sat Apr 22 08:49:32 +0000 2017
trump,seamuskearney_,France Poses Biggest Test Yet for Trump’s Brand of Nationalism https://t.co/ph7cAvRuKh,Sat Apr 22 08:49:32 +0000 2017
trump,WoolfordStephen,RT @AdamBienkov: Boris Johnson in February vs Donald Trump today. https://t.co/v3s7CsOCcJ,Sat Apr 22 08:49:32 +0000 2017
trump,Independent,The US to honour 'dumb' refugee deal with Australia https://t.co/X2TNT97JhQ https://t.co/TTfLSjeypI,Sat Apr 22 08:49:32 +0000 2017
trump,TrueIndology,".@AudreyTruschke If Trump destroys Mecca,Medina,Jerusalem  builds churches in their stead,should Muslims be expecte… https://t.co/vJiyGxluqp",Sat Apr 22 08:49:32 +0000 2017
trump,powerglobalus,RT @BayShoreIsHome: Fake News: Rachel Maddow Invents Missing Trump Inauguration Funds. https://t.co/M4vpbRCltN,Sat Apr 22 08:49:32 +0000 2017
trump,jkaonline,"A week ahead of deadline to keep government open, Trump says ‘we’re in good shape’ @washingtonpost  https://t.co/4k3lgoYKCU",Sat Apr 22 08:49:32 +0000 2017
trump,DGMitchell65,RT @mikegalsworthy: Trump puts EU ahead of UK in trade queue. Brexit delusions of instant global trade take another huge blow from practica…,Sat Apr 22 08:49:31 +0000 2017
trump,Scotladywriter,RT @nytimes: Opinion: Trump is in charge at a critical moment for keeping climate change in check. We may never recover. https://t.co/fyTB4…,Sat Apr 22 08:49:31 +0000 2017
trump,washumom,"RT @MollyMcKew: Every morning, guys in the Kremlin are actually bewildered by how easy it has been to subvert American politicians https://…",Sat Apr 22 08:49:31 +0000 2017
trump,hadrianus2017,RT @FoxNews: Trump to unveil tax cut he says could be biggest ever https://t.co/EgumTQNXGX,Sat Apr 22 08:49:31 +0000 2017
trump,genjifluid,RT @ANGRYref: Im-Peach Trump #OtherFrappuccinoFlavors,Sat Apr 22 08:49:31 +0000 2017
trump,Pharel_Haag,"RT @ThomasWIttig3: @iowa_trump As someone tweeted earlier, who'd think we'd have to rely on Executive action with nominal control of the Ho…",Sat Apr 22 08:49:30 +0000 2017
trump,sheriffali,"RT @sheriffali: #Obama Harvard Magna Cum Laude Constitutional Lawyer
#Trump Mega Crook Liar Embezzler Groper Fraud
#ObamacareVsTrumpcare
#S…",Sat Apr 22 08:49:30 +0000 2017
trump,magicdmw,"RT @ananavarro: Trump has lowest 100 Day approvals in polling history. To quote ""Limbo Rock""...""how low can he go?"" https://t.co/01ne0EvG0g",Sat Apr 22 08:49:30 +0000 2017
trump,opresistencespt,RT @K0SHER_KITTY: Catch up with the latest Trump chaos - https://t.co/Lu9Ja1zjQH #TheResistance #OpResistance,Sat Apr 22 08:49:30 +0000 2017
trump,SonnyDaes,"RT @Trump_ton: Meanwhile, in Greatish Britain, the Queen was inspecting the special golden carriage she’d ordered for Mr Trump’s state visi…",Sat Apr 22 08:49:30 +0000 2017
trump,jgundam83,"Trump scrambles for a win -- any win, really -- as he nears 100 days https://t.co/T0gXJqcX6O via @HuffPostPol",Sat Apr 22 08:49:30 +0000 2017
trump,katemccloudsays,"RT @Tam_Resist: Border Lawmakers Balk at Trump’s Wall Request - The Wall Street Journal
https://t.co/M1CAsRb4Pp

.#BuildTheWall 
#BuildThat…",Sat Apr 22 08:49:29 +0000 2017
trump,fjswartz,"Read it, America!  https://t.co/9gfWMsn11d",Sat Apr 22 08:49:29 +0000 2017
