category,user,tweet,time
war,EthanRBraeunig,RT @Cj_Colvinn: Who gone arrest Rihanna? That a be the day the country go to war with the police https://t.co/ulrHw4VWkO,Fri Apr 21 09:52:17 +0000 2017
war,CdLutetia,"RT @jackcade1381: @CdLutetia the west is at war, just politicians dont have the balls to own up to it",Fri Apr 21 09:52:16 +0000 2017
war,mec21blue,"RT @ocularnervosa: One pooped his pants to get out of military service, the other claimed bone spurs. They both want to send your kids off…",Fri Apr 21 09:52:16 +0000 2017
war,nelsherif,RT @dpa_intl: Yemenis wonder how long they can survive in the ongoing conflict: https://t.co/b3gQcb3swf https://t.co/AGKU6gbroi,Fri Apr 21 09:52:14 +0000 2017
war,BlindAlsatian,@Desolate_Dude @Thunderflare59 @shaun_jen @Sargon_of_Akkad They allied themselves with Germany in world war 1 for p… https://t.co/l98UOAGvMM,Fri Apr 21 09:52:14 +0000 2017
war,whar_kandi,France grants citizenship to 28 African World War Two Veterans https://t.co/QzlKCfIVam,Fri Apr 21 09:52:14 +0000 2017
war,qwVLBKSliLSMIO2,"RT @XplodingUnicorn: Things that are definitely the end of the world:

3) killer asteroids

2) nuclear war

1) giving a toddler the wrong c…",Fri Apr 21 09:52:13 +0000 2017
war,Nblackthorne,"RT @Tammysdragonfly: HOT♨#SCIFI #FANTASY
@SEvanTownsend
〰♦GODS OF STRIFE♦〰
Battling Gods Intent On WAR!
#SNRTG
https://t.co/Yl8ZJDBrEc http…",Fri Apr 21 09:52:13 +0000 2017
war,levelsboy3,"RT @MobilePunch: Policemen forced us to sign false statements, nearly killed us, says traveller brutalised in Delta
https://t.co/Z67w7iN2dq",Fri Apr 21 09:52:11 +0000 2017
war,tiagolbt11,"RT @Weeknd_Lyrics_: All is fair in love and war she's pure... So pure, like the love that's so uncut and raw and clean, so clean, as oppose…",Fri Apr 21 09:52:10 +0000 2017
war,guv_187,RT @BoxingKingdom14: ANOTHER WARNING. ANOTHER WAR IS GOING TO BREAK OUT IN 1 DAY. THE MAP IS HERE. https://t.co/gscvtSresE,Fri Apr 21 09:52:08 +0000 2017
war,moelogo,"RT @J2ocean: @moelogo Honestly! it gets me mad frustrated I was even gonna complain to the company, I shouldn't be doing tug of war to open…",Fri Apr 21 09:52:07 +0000 2017
war,dubeluvky,"RT @valbrownmc: BIAFRA: IPOB HONOURS FALLEN HEROES, WHILE NIGERIA PAYS TRIBUTE TO ITS WAR CRIMINALS https://t.co/DUaZuiN0Vh https://t.co/Qv…",Fri Apr 21 09:52:06 +0000 2017
war,NancyCa71212219,"RT @WestmonsterUK: 🇫🇷LE PEN: FRANCE AT WAR
- Calls for border controls
- 15,000 more police
- Deport jihadis https://t.co/B9RYGsN1js",Fri Apr 21 09:52:06 +0000 2017
war,defendressofsan,RT @MauriceSchleepe: As War torn #Yemen will run out of food the #US may considering additional measures to support the #Saudi regime again…,Fri Apr 21 09:52:05 +0000 2017
war,Llolah24,"RT @propney10: What is love? In math: an equation; in history: a war; in chemistry: a reaction; in art: a heart; in me: YOU.
#ToMihoAngSuns…",Fri Apr 21 09:52:05 +0000 2017
war,iphieajike,"@Nwanlecha1 @humzeey LmAooo you have this all figured out dont you. Eezlike you've been wanting a fight... make love not war,  baby😘😘",Fri Apr 21 09:52:04 +0000 2017
war,MobilePunch,"Policemen forced us to sign false statements, nearly killed us, says traveller brutalised in Delta
https://t.co/Z67w7iN2dq",Fri Apr 21 09:52:04 +0000 2017
war,lancastrian14,"RT @WestmonsterUK: 🇫🇷LE PEN: FRANCE AT WAR
- Calls for border controls
- 15,000 more police
- Deport jihadis https://t.co/B9RYGsN1js",Fri Apr 21 09:52:03 +0000 2017
war,URANIUMFESTIVAL,RT @phoebewp: First Dog on the Moon's guide to preparing for nuclear war. Are you ready? | Opinion | The Guardian @ican_australia  https://…,Fri Apr 21 09:52:02 +0000 2017
war,Goldtaucher,"RT @whiterenblog: If you want to win a war, you have to know that you are at war. Europe is under Muslim invasion. Wake up, Europe. Defend…",Fri Apr 21 09:52:02 +0000 2017
war,wisteriawitch,"RT @V_of_Europe: Le Pen: 'France is at war with radical Islam'. Wants 15,000 new police officers and strengthening of the borders. https://…",Fri Apr 21 09:52:02 +0000 2017
war,weareiguacu,"There is no winner in #SouthSudan's war
https://t.co/72E0a5bSQD https://t.co/QmHVq5pACZ",Fri Apr 21 09:52:01 +0000 2017
war,samanthalu54,RT @OlsenArchives: 📷: First look at Wanda and Vision's kiss in Avengers: Infinity War. Courtesy of E!News https://t.co/4jXPIGAVfN,Fri Apr 21 09:52:01 +0000 2017
war,Andyrguapo,RT @Temujin1120: @mtracey She does realize that trying to oust Assad by force means fighting a war with Russia? Both parties corrupt to the…,Fri Apr 21 09:52:00 +0000 2017
war,IStanLengends,RT @Cj_Colvinn: Who gone arrest Rihanna? That a be the day the country go to war with the police https://t.co/ulrHw4VWkO,Fri Apr 21 09:51:59 +0000 2017
war,iamconcernedci1,"@realDonaldTrump Are you trying to piss off every one of our allies?  Before you know it, we will be at war with the whole world!",Fri Apr 21 09:51:56 +0000 2017
war,JPKD,What does he want them to do - intervene and start a war?,Fri Apr 21 09:51:55 +0000 2017
war,yonkersoem40,"RT @V_of_Europe: Le Pen: 'France is at war with radical Islam'. Wants 15,000 new police officers and strengthening of the borders. https://…",Fri Apr 21 09:51:54 +0000 2017
war,LifeofIdris,"RT @AfricaFactsZone: The Nigerian Civil War, in which 3 million Nigerians lost their lives was what moved Fela Kuti to make conscious music…",Fri Apr 21 09:51:54 +0000 2017
war,studentofIife,"RT @theIRC: As famine menaces 30M in Africa &amp; Yemen, it's important to know: war, not drought, is the reason people are starving https://t.…",Fri Apr 21 09:51:52 +0000 2017
war,JirwemTheGreat,"RT @naretevduorp: 1. In just 6 mths DT, aided by a foreign adversary, has stolen an election, destroyed domestic tranquility, &amp; has us at t…",Fri Apr 21 09:51:52 +0000 2017
war,nalanisimone,RT @Cj_Colvinn: Who gone arrest Rihanna? That a be the day the country go to war with the police https://t.co/ulrHw4VWkO,Fri Apr 21 09:51:51 +0000 2017
war,J2ocean,"@moelogo Honestly! it gets me mad frustrated I was even gonna complain to the company, I shouldn't be doing tug of war to open crisp",Fri Apr 21 09:51:50 +0000 2017
war,AlmaLaama,"RT @V_of_Europe: Le Pen: 'France is at war with radical Islam'. Wants 15,000 new police officers and strengthening of the borders. https://…",Fri Apr 21 09:51:49 +0000 2017
war,margarance,RT @combatmaquis: @margarance @Adderaltruistic Marine Le Pen's mum after the war https://t.co/h0jPEAYyr0,Fri Apr 21 09:51:48 +0000 2017
war,TheNakedParty,"RT @naretevduorp: 1. In just 6 mths DT, aided by a foreign adversary, has stolen an election, destroyed domestic tranquility, &amp; has us at t…",Fri Apr 21 09:51:48 +0000 2017
war,rizaflor1130,"RT @AIFam16: Hello Po our OHT #DTBYSetUp please spread good vibes po,love not war 😍 @mainedcm @aldenrichards02 @GMADestinedToBe @niqujade @…",Fri Apr 21 09:51:47 +0000 2017
war,zeeshan_shah_dc,RT @BBCWorld: What's it like being a six-year-old Syrian child after six years of war? This is Rouaa's story #BBCNewsTen https://t.co/igXM4…,Fri Apr 21 09:51:46 +0000 2017
war,animesh1977,VICE (2014) The Ultra Orthodox vs. The IDF: Israel's Other Religious War https://t.co/j8dF8wIRDQ,Fri Apr 21 09:51:46 +0000 2017
war,RPerezChaves,"@RubenRedondoJar ""If we don't end war, #war will end us."" #HGWells 
thanks to @RubenRedondoJar 
#fakenews… https://t.co/uB47swlJg6",Fri Apr 21 09:51:45 +0000 2017
war,DurrutiLive1,@ShehabiFares @SenSanders Bernie Sanders is a rat bastard. Supports war and regime changed in #Syria.,Fri Apr 21 09:51:45 +0000 2017
war,Kaijulian96,RT @SJWMEGATRON: The Nazis rightfully won the war because US joined the Nazis. Allies made a wish to change history. FIRE EVERYONE. https:/…,Fri Apr 21 09:51:44 +0000 2017
war,c_mattie,RT @sonnylebythebay: The thought of the US going to war with another country gives chickenhawks an erection. They should send their own son…,Fri Apr 21 09:51:44 +0000 2017
war,BillyPete1998,@jimrome did u see Thames crush another home run?.....Jungle Karma at its finest!! War Brew Crew,Fri Apr 21 09:51:43 +0000 2017
war,FcmMicha1,"RT @V_of_Europe: Le Pen: 'France is at war with radical Islam'. Wants 15,000 new police officers and strengthening of the borders. https://…",Fri Apr 21 09:51:40 +0000 2017
war,Jaiiihinddd,RT @Chellaney: India has a better historical claim to Mt. Kailash &amp; Lake Mansarover than China has to Arunachal where no Han Chinese set fo…,Fri Apr 21 09:51:38 +0000 2017
war,michaelbelievs,@Street2612G @StreetEagle1 @stscholasticas @TimoteoSHonesto @harmlesstree2 @FixityZesty @buzzbrewer57… https://t.co/Nl3tqSnYSH,Fri Apr 21 09:51:36 +0000 2017
war,Not_JiMMiE,"RT @MarcTanui: If you love your car, don't drive to Eldoret town. Chaos is about to erupt. Kalenjin youth singing war songs in the middle o…",Fri Apr 21 09:51:36 +0000 2017
