category,user,tweet,time
4G,Kashmiri_Muslim,RT @pzumer: As per reports #facebook #whatsapp #twitter blocked on 3G/4G networks..Meanwhile 3G/4G networks likely to be restored in valley…,Fri Apr 21 11:57:28 +0000 2017
4G,CHEastAthletics,"RT @eastglax: Great wins today vs PVI! 15-6! @priyakavuru 4g6draws,@_Hale_P 4g, @devonstevenss 3g, @elisssacohen 2g, @ekrassan and @calalob…",Fri Apr 21 11:57:06 +0000 2017
4G,JumokeAdeyemi,RT @GregPettys: @alisawoodard6 @karmalchambers @BonnieM1015 @beverlyfelix3 @CherylWindy @Toribridges10 @KeeneBeverly @LordJesus111 @trinity…,Fri Apr 21 11:56:54 +0000 2017
4G,Thisweirdlyf,@JioCare I'm a paid customer still not getting speed. Look at the 4G speed @VodafoneIN provides.,Fri Apr 21 11:56:41 +0000 2017
4G,Airtel_Presence,@yesiammayank Hey Mayank! Please head over to: https://t.co/gwSVpVkOba to request a 4G sim online. Tweet me back with your phone number 1/2,Fri Apr 21 11:56:28 +0000 2017
4G,sam_linnett,@ThreeUKSupport It's the internet that's the issues rather than signal itself. It's 4G and strong signal. But thank… https://t.co/HOE73n72HO,Fri Apr 21 11:55:50 +0000 2017
4G,iTzcoolzTricks,Telenor FRC73 Plan – Unlimited 4G Data Free For 1 Month In Just Rs.73 https://t.co/Qr4Jyvc41c via @@itzcoolztricks,Fri Apr 21 11:55:31 +0000 2017
4G,TLITFranklin,4G vs LTE: What's the difference? https://t.co/D1XwmjFTzi https://t.co/YtqDhSzOPV,Fri Apr 21 11:55:16 +0000 2017
4G,GalletoMarilyn,RT @lizasoberano_ph: Liza Soberano signed a contract with 4G https://t.co/FmWDqDKStu,Fri Apr 21 11:55:05 +0000 2017
4G,JioCare,@cyberpunk007 membership along with Jio Dhan Dhana Dhan. For more details please visit the link https://t.co/cyGnwuSk5g - Ashish(2/2),Fri Apr 21 11:54:45 +0000 2017
4G,bowley115,RT @GregPettys: @beverlyfelix3 @4U2hope @67Chester @JeanieScovell @Jesus_YaHWeH_ @emmanuelobi476 @LordJesus111 @TonyLopez1263 @JesusBranch…,Fri Apr 21 11:54:40 +0000 2017
4G,mvnoblog,"China Unicom profit jumps 79 pct on 4G, fixed-line businesses – Nasdaq https://t.co/OF7cHFnJwI https://t.co/secPraWENv",Fri Apr 21 11:54:36 +0000 2017
4G,EirianHughes,4G has landed @ PYB ✌🏽✌🏽,Fri Apr 21 11:53:48 +0000 2017
4G,bobonfarm,RT @beverlyfelix3: @4U2hope @67Chester @JeanieScovell @GregPettys @Jesus_YaHWeH_ @emmanuelobi476 @LordJesus111 @TonyLopez1263 @JesusBranch…,Fri Apr 21 11:53:46 +0000 2017
4G,BAM_4G_Radio,"Now Playing: Deeper by Darwin Hobbs on BAM 4G Radio
TUNE in to https://t.co/78Y7F6qu3u
#ComeGetYourPraiseAndWorshipOn!",Fri Apr 21 11:53:41 +0000 2017
4G,freecouponarena,"15% Off

Extra 10% + 15% Off ESKY F150X 2.4G 4CH MINI 6 Axis Gyro Flybarless RC Helicopter with CC3D

The post 15%… https://t.co/L0Ti7DNhr1",Fri Apr 21 11:53:13 +0000 2017
4G,AliR1272,4G vs LTE: What's the difference? https://t.co/dgchuheABo https://t.co/mn0nD2HxJ5,Fri Apr 21 11:53:08 +0000 2017
4G,komalsh55206988,RT @DhanrajNathwani: @reliancejio tops chart in 4G download speed in March with average download speed of 16.48 Mbps which is almost double…,Fri Apr 21 11:52:57 +0000 2017
4G,kavyashah5,RT @DhanrajNathwani: @reliancejio tops chart in 4G download speed in March with average download speed of 16.48 Mbps which is almost double…,Fri Apr 21 11:52:57 +0000 2017
4G,dipashah7,RT @DhanrajNathwani: @reliancejio tops chart in 4G download speed in March with average download speed of 16.48 Mbps which is almost double…,Fri Apr 21 11:52:57 +0000 2017
4G,kinjals26105462,RT @DhanrajNathwani: @reliancejio tops chart in 4G download speed in March with average download speed of 16.48 Mbps which is almost double…,Fri Apr 21 11:52:57 +0000 2017
4G,kevalmehta8,RT @DhanrajNathwani: @reliancejio tops chart in 4G download speed in March with average download speed of 16.48 Mbps which is almost double…,Fri Apr 21 11:52:57 +0000 2017
4G,hinasha96200540,RT @DhanrajNathwani: @reliancejio tops chart in 4G download speed in March with average download speed of 16.48 Mbps which is almost double…,Fri Apr 21 11:52:57 +0000 2017
4G,Radhikappatel,RT @DhanrajNathwani: @reliancejio tops chart in 4G download speed in March with average download speed of 16.48 Mbps which is almost double…,Fri Apr 21 11:52:57 +0000 2017
4G,jignamehta5,RT @DhanrajNathwani: @reliancejio tops chart in 4G download speed in March with average download speed of 16.48 Mbps which is almost double…,Fri Apr 21 11:52:57 +0000 2017
4G,simashah,RT @DhanrajNathwani: @reliancejio tops chart in 4G download speed in March with average download speed of 16.48 Mbps which is almost double…,Fri Apr 21 11:52:57 +0000 2017
4G,ruchish17136356,RT @DhanrajNathwani: @reliancejio tops chart in 4G download speed in March with average download speed of 16.48 Mbps which is almost double…,Fri Apr 21 11:52:57 +0000 2017
4G,ENG_feed,RT @BiddleandWebb_: Lot 64: A variety of #drones to include x-series 2.4G 6 Axis with 3D roll etc SOLD £75 😃 #Birmingham #Drone https://t.c…,Fri Apr 21 11:52:50 +0000 2017
4G,AndroidItaliaIT,"Zopo Zp951 Speed 7 Smartphone Nero Dual Sim 5.0 Lollipop 4G Lte 3Gb Ram 16Gb Rom 64Bit Octacore a soli 181,89€… https://t.co/eorQIFEXcY",Fri Apr 21 11:52:18 +0000 2017
4G,chdarhodes,RT @effiedarlene: @kmason20 @GregPettys @emmanuelobi476 @67Chester @annamagnelli @ElizabethSlau16 @KeeneBeverly @NH_Hockey_12 @beverlyfelix…,Fri Apr 21 11:52:14 +0000 2017
