category,user,tweet,time
agile,KEN_RVO,"Perspective on #CBME through project management...
MT from Marc Hemerik: Agile vs. Waterfall https://t.co/kRtd3ZX4a6",Sun Apr 23 16:01:19 +0000 2017
agile,SMARTPROJEX,"An interesting perspective on the cons of Niantic's project management processes. 
https://t.co/T1icDURlS8
Via @padams02
#scrum #agile",Sun Apr 23 16:01:17 +0000 2017
agile,shiriyitzhaki,Six ways to prevent #database vulnerability https://t.co/SnbtwrAcje #agile #devops https://t.co/y2HaWefXqX,Sun Apr 23 16:01:03 +0000 2017
agile,ExpoAI,RT @CloudExpo: @DevOpsSummit @jpmorgenthal Time for the Tail to Stop Wagging the Dog https://t.co/Ej4dIqO3sN #FinTech #API #IaaS #PaaS #Clo…,Sun Apr 23 16:00:50 +0000 2017
agile,Chuck_Moeller,The latest The Agile Testing Daily! https://t.co/VPhFrv8aCW Thanks to @Aleksan73403451 #agilemanifesto #agile,Sun Apr 23 16:00:43 +0000 2017
agile,PhilRuse,"RT @tobiasmayer: Very powerful graphic from @jose_casal's excellent article ""Mind Your Language (if you want to be Agile)"" https://t.co/xeY…",Sun Apr 23 16:00:35 +0000 2017
agile,MarquezStanley,Proven software engineering techniques will ensure your end product is functional and meets all of your requirements @nyndesigns #agile,Sun Apr 23 16:00:26 +0000 2017
agile,mikelnix,How comprehensive is your #marketing? Compare to the agile marketing journey! https://t.co/pbkmEwRA3q https://t.co/s2XGoO7m71,Sun Apr 23 16:00:13 +0000 2017
agile,LV_TechEvents,Tomorrow is #Agile Estimation &amp; Planning from the Las Vegas #Agile &amp; #Scrum User Group meetup. Find the info here: https://t.co/6uTDvLViIG,Sun Apr 23 16:00:05 +0000 2017
agile,mutuku,6 reasons why your website should have a blog https://t.co/5uF5Ywt8Rv,Sun Apr 23 16:00:03 +0000 2017
agile,breatheHR,Business agility: how to make your #business more #agile https://t.co/kLXAiFmEcR https://t.co/vjxYulWBei,Sun Apr 23 16:00:01 +0000 2017
agile,gavindeadman,"Gamesys is hiring a #Head of Sportsbook Social Media in London, Piccadilly.https://t.co/aud9aj2bMU #agile #tech",Sun Apr 23 16:00:00 +0000 2017
agile,lepinekong,"@snowded  well said ""#SAFe seemed to be #PRINCE2 camouflaged in Agile language""  #Agile nake oils are now everywher… https://t.co/Z5PkslJVU4",Sun Apr 23 15:59:31 +0000 2017
agile,danielgullo,Essential Agile Books (Must-Reads) https://t.co/A6swLzgffW #agile #scrum #lean #coaching #agilecoach,Sun Apr 23 15:58:04 +0000 2017
agile,QeKazBn8f8R0THN,RT @CoachClegg_ODU: Ferocious. Raw power. Elite. Agile. Krazy... Where are my CBUS freaks at? ODU Friday Night Camp. Register here: https:/…,Sun Apr 23 15:57:44 +0000 2017
agile,smoothsale,RT @imoyse: Smaller more agile companies are the future: The Micro-Multinational https://t.co/0dWTGguVLq @Natterbox #cloud #telephony https…,Sun Apr 23 15:57:18 +0000 2017
