category,user,tweet,time
big data,owenboswarva,#Bigdata – big challenge https://t.co/as10axzaYZ | Alex Longden via @metoffice blog re @ODIHQ review of #weatherdata infrastructure,Fri Apr 21 13:28:15 +0000 2017
big data,ruizrojasangel,"RT @howardrull: It's not about big data, it's as always about big insights @AmirKassaei #mqdm @ddbspain https://t.co/OCIkCk1aWv",Fri Apr 21 13:28:13 +0000 2017
big data,SteinbeisM,"Digital Economy Seminar! Its free guys. But only limited to 60 seats. cepat2 register. cloud accounting, cyber secu… https://t.co/WyOBAEmcri",Fri Apr 21 13:28:05 +0000 2017
big data,ibgraham,"RT @Ronald_vanLoon: BIG DATA SUPPORTING DEEP LEARNING, AI AND MORE IN 2017 | #BigData #DataMining #RT https://t.co/3aveakNAYt https://t.co/…",Fri Apr 21 13:27:53 +0000 2017
big data,TechNativeLive,RT @TechNative: #SME - Even small firms can tap into value through #BigData wrangling - here's our guide https://t.co/CXwRa1SMPN,Fri Apr 21 13:27:48 +0000 2017
big data,RealJamesTyler,RT @EdSurge: How do educators use big data to manage students’ learning experience?https://t.co/ftEDBFX3gy @MSDF_Foundation #edtechchat #sa…,Fri Apr 21 13:27:43 +0000 2017
big data,iHarishPal,"RT @PredictSwan: Great Chart : Machine Learning &amp; Big Data
#machinelearning #AI #bigdata #ML... https://t.co/XLfW2zwfhk by #NewsNeus via @c…",Fri Apr 21 13:27:37 +0000 2017
big data,jacqueyewokey,Big Data in museum - What do we want to know? What ARE the common questions we can ask as an industry? @rstein @mslissa @michwalter #MW17-FE,Fri Apr 21 13:27:14 +0000 2017
big data,IoTBlogs,Unlocking The Value Of The Industrial Internet Of Things (IIoT) And Big Data In Manufacturing https://t.co/UHfYFtmXc1 🗣#Opines on #IoT,Fri Apr 21 13:27:09 +0000 2017
big data,SteveKolnick,Why #BigData and #IoT is so important - for business and private life. @ITProPortal #connectivity #smart… https://t.co/tDsIhzOjLl,Fri Apr 21 13:26:43 +0000 2017
big data,tedstearns1,"RT @ManigoApp: Why #Chatbots are the future of #BigData 

https://t.co/jRty9JjnX7

#Fintech #Insurtech #Technology https://t.co/CeoLGJaGhq",Fri Apr 21 13:26:34 +0000 2017
big data,ErcumentSumnulu,"How big data from pipeline pigs can root out gas maintenance risks 
https://t.co/8ePcMyps7r via @ZDNet",Fri Apr 21 13:26:29 +0000 2017
big data,InformAsset,How #BigData and #Analytics Are Helping Us Unlock Opportunity in the Most Unlikely Places  https://t.co/8bDmoGVmlQ via @Inc,Fri Apr 21 13:26:28 +0000 2017
big data,TT_BigData,"Beware data overload: don't let analysis paralysis stunt your business | Guardi… https://t.co/Sens8hDUPT, see more https://t.co/rZAoVHQvUa",Fri Apr 21 13:26:21 +0000 2017
big data,alevergara78,"RT @PredictSwan: Great Chart : Machine Learning &amp; Big Data
#machinelearning #AI #bigdata #ML... https://t.co/XLfW2zwfhk by #NewsNeus via @c…",Fri Apr 21 13:26:19 +0000 2017
big data,DezDigital,"RT @gp_pulipaka: #BigData can solve big problems, but only if computing can keep up. #HPC #SuperComputing 

https://t.co/zLTKmEf6Qe https:/…",Fri Apr 21 13:26:15 +0000 2017
big data,Nodeposit_ins,"Top story: How big data delivers data driven stories | 7wData https://t.co/oYHlh5bX61, see more https://t.co/CckZu2RQbq",Fri Apr 21 13:25:56 +0000 2017
big data,TechNative,RT @TechNative: #SME - Even small firms can tap into value through #BigData wrangling - here's our guide https://t.co/CXwRa1SMPN,Fri Apr 21 13:25:55 +0000 2017
big data,PredictSwan,"Great Chart : Machine Learning &amp; Big Data
#machinelearning #AI #bigdata #ML... https://t.co/XLfW2zwfhk by #NewsNeus… https://t.co/HfzoqSoYj6",Fri Apr 21 13:25:27 +0000 2017
big data,moazjabal2,"What exactly is “big data,” and what should #pathologists and scientists know... https://t.co/5Hra3krmE2 by… https://t.co/msU5rvuNMq",Fri Apr 21 13:25:08 +0000 2017
big data,SusanWhitePhD,"Why an “Empty Desire” for Big Data is Inhibiting Value-Based Care https://t.co/630eEhvsre
Preach!  #ahima #healthcareanalytics",Fri Apr 21 13:25:07 +0000 2017
big data,alevergara78,"RT @ScholarsPro: If you are looking for #Hadoop, #Hive Or #PigCertification then visit https://t.co/Od5Yh2OSWu. Read more - https://t.co/re…",Fri Apr 21 13:25:04 +0000 2017
big data,OM_ARoss,"RT @ipfconline1: What is the Internet Of Things at Nanoscale?
https://t.co/DfSlUAsLMM [via @evankirstel]
#IoT #NanoTechnology https://t.co/…",Fri Apr 21 13:25:01 +0000 2017
big data,investStratford,"Excited to attend @Communitech #TLCWR focusing on big data, scaling and cyber security. Get your tickets today -&gt; https://t.co/a7JsCF14lU",Fri Apr 21 13:24:44 +0000 2017
big data,DisruptTeknics,RT @DisruptTeknics: #Top 5 #BigData #Trends That Will #Shape #AI in 2017 -Big #Data #Analytics News https://t.co/DGTyirC57R #ArtificialInte…,Fri Apr 21 13:24:43 +0000 2017
big data,Pylvaes,Great piece by @BernardMarr explains the requirements and business benefits of #data democracy at @Data_Informed: https://t.co/30Av2x4mZE,Fri Apr 21 13:24:13 +0000 2017
big data,outsourcingtra1,"RT @ScholarsPro: If you are looking for #Hadoop, #Hive Or #PigCertification then visit https://t.co/Od5Yh2OSWu. Read more - https://t.co/re…",Fri Apr 21 13:23:46 +0000 2017
big data,OChapiteau,How #BigData Is Automating #PortfolioManagement https://t.co/4F0avFlbj8 via @HuffPostBlog,Fri Apr 21 13:23:26 +0000 2017
big data,alevergara78,"RT @TMedicines: How #MachineLearning, #Big Data And #AI Are Changing #Healthcare Forever. Via @Forbes 
https://t.co/lNx2uz8Oz4
#mhealth #pa…",Fri Apr 21 13:23:11 +0000 2017
big data,pybiandstuff,RT @BigDataBlogs: Principal-Big Data Engineer https://t.co/EGS7Ui6aK5 🗣#Opines on #BigData,Fri Apr 21 13:23:06 +0000 2017
big data,ebirdy,@Big_Data_Raj Here's another take...hard work creates a network...,Fri Apr 21 13:23:00 +0000 2017
big data,BigDataBlogs,Principal-Big Data Engineer https://t.co/EGS7Ui6aK5 🗣#Opines on #BigData,Fri Apr 21 13:22:48 +0000 2017
big data,olaf_tacke,"RT @Ronald_vanLoon: BIG DATA SUPPORTING DEEP LEARNING, AI AND MORE IN 2017 | #BigData #DataMining #RT https://t.co/3aveakNAYt https://t.co/…",Fri Apr 21 13:22:48 +0000 2017
big data,callyway,"RT @digr_io: 25 #BigData Terms Everyone Should Know
#Hadoop #algorithms #analytics #IoT #Data #defstar5... https://t.co/mfR9eMEf4Z by #alev…",Fri Apr 21 13:22:46 +0000 2017
big data,LillianSaysSo,Firing on All Cylinders: The 2017 Big Data Landscape https://t.co/1XbkSt3yGI,Fri Apr 21 13:22:33 +0000 2017
big data,caring_mobile,"RT @TMedicines: How #MachineLearning, #Big Data And #AI Are Changing #Healthcare Forever. Via @Forbes 
https://t.co/lNx2uz8Oz4
#mhealth #pa…",Fri Apr 21 13:22:28 +0000 2017
big data,collegeladydc,"Here's how Penn, like many other Universities, is using Big Data to recruit new students, like Netflix and Spotify - https://t.co/neBfLixRCu",Fri Apr 21 13:22:26 +0000 2017
big data,FindChrisTaylor,"@Big_Data_Raj Great question. A decade ago, network was a bigger share than today.",Fri Apr 21 13:22:07 +0000 2017
big data,ThingsVentures,"RT @ABElimited: Unlocking The Value Of The Industrial Internet Of Things (IIoT) And Big Data In Manufacturing: Big Data, Analytics… https:/…",Fri Apr 21 13:22:05 +0000 2017
