category,user,tweet,time
business,DrJenBennett,What's Working for Women in #Business: Kimberly Vallee-Pierre:  https://t.co/xWTP4s1pCo  #WomenInBusiness  @KimberlyKateVP,Fri Apr 21 22:04:49 +0000 2017
business,EmilyDa92578096,"RT @iHateSergioToo: All Black mamas got that fake ass Martha Stewart voice they use on business calls, &amp; then get off talking like 21 Savag…",Fri Apr 21 22:04:48 +0000 2017
business,BleuZ00m,RT @alexwagner: $65M of the $85 Million in FOX harassment payouts is going to the men who were fired b/c of harassment allegations: https:/…,Fri Apr 21 22:04:48 +0000 2017
business,MHathor7,Toronto incubator aims to bridge gap between art and business #Toronto #yyz #The6 https://t.co/pMlbLXdYDr,Fri Apr 21 22:04:48 +0000 2017
business,Arrowsada,"RT @lindenashby: Business lunch, I bit a cherry tomato that spewed it's juice in a absolutely obscene manner across the table at my host..…",Fri Apr 21 22:04:48 +0000 2017
business,hfahmy,RT @tea_ivanovic: Amazing woman Dr Sahar Nasr #Egypt Minister of Investment &amp; Intl Cooperation discussing business issues w/ #US companies…,Fri Apr 21 22:04:48 +0000 2017
business,selinasun91,"RT @business: Brexit bill shouldn't delay trade talks too long, leaders say https://t.co/eQ8LQEIywd https://t.co/4okHkJO7ow",Fri Apr 21 22:04:47 +0000 2017
business,avoxx1,@JoanieReb @williamlegate @karenannmilo @realDonaldTrump @WhiteHouse @SecShulkin @DeptVetAffairs @VAVetBenefits… https://t.co/ayai9vd0f3,Fri Apr 21 22:04:47 +0000 2017
business,angietaffs,Turn your passion into profit &amp; build a business &amp; life that’s as fabulous as you are with https://t.co/KlkYwKim5w https://t.co/sReqYFbFhW,Fri Apr 21 22:04:47 +0000 2017
business,modmobilian,RT @aldotcom: Birmingham attorney buys black radio station 900 GOLD https://t.co/rzPXkrrpM5 https://t.co/o9LtrwHrfY,Fri Apr 21 22:04:47 +0000 2017
business,toddhoadley,RT @DublinSchools: Fuse by @cardinalhealth named March Business of the Month Award winner. https://t.co/6or6Tcwp5u https://t.co/vCo4MInPce,Fri Apr 21 22:04:47 +0000 2017
business,peterpalmer52,"@Jason_Lionheart @jeremycorbyn No such thing as a ""thriving renewable business"". Dubious deals relying on subsidies… https://t.co/PjjF8nUhyT",Fri Apr 21 22:04:45 +0000 2017
business,centsible,The Emptiness of Trump’s “Buy American” Executive Order https://t.co/sfkbmQQ55B via @newyorker,Fri Apr 21 22:04:45 +0000 2017
business,APFitoutfinance,"RT @DaviesTracey: A business plan is vital, so you know exactly where your business is going #businessadvice https://t.co/wmLBeXHxVi https:…",Fri Apr 21 22:04:44 +0000 2017
business,KiraGxx2,"RT @_BRIVNNV: Work, stack paper, mind my business, and sit pretty all summer '17 💅🏽",Fri Apr 21 22:04:44 +0000 2017
business,big_business_,"RT @Krishan_Mamba24: ""We need to grab more rebounds and stop Portis/Lopez beating us in the post""

""How about Gerald Green?""

""Bet!"" https:…",Fri Apr 21 22:04:43 +0000 2017
business,ASUGMEX,"RT @Softtek: .@Softtek, one of the 9 unicorns born in #LatinAmerica (Spanish) https://t.co/d8l2t4Ne5O via #Entrepreneur #Business",Fri Apr 21 22:04:43 +0000 2017
business,Diversity__Jobs,"Business Intelligence Developer: University of Toronto (Toronto): ""Under the direct supervision of… https://t.co/wlfqVMMZLV #diversity #jobs",Fri Apr 21 22:04:42 +0000 2017
business,TrellyTrellUSA,Easily a lame ass nigga in my mentions. Mind your business crab ass nigga. https://t.co/QmxL8HCSXX,Fri Apr 21 22:04:42 +0000 2017
business,artemmnevy,RT @ITRemoteNow: AppTech Corp (OTC: $APCX) offers secure remote support &amp; managed IT for business with RemoteNow. https://t.co/2vesKEcuN1…,Fri Apr 21 22:04:42 +0000 2017
business,ucdavismba,We've raised more than $3K for GSM! Help support tomorrow's #business students: https://t.co/FgZBQjuKMp… https://t.co/JkGlagftvZ,Fri Apr 21 22:04:41 +0000 2017
business,LivingActor_US,#Chatbots gaining ground in banking and insurance industries https://t.co/GLXIiPCnKc,Fri Apr 21 22:04:41 +0000 2017
business,365Bastrop,RT @BastropTXEDC: It’s not too late to register for the upcoming Small Business Workshop! https://t.co/LGgyY1XsOU,Fri Apr 21 22:04:41 +0000 2017
business,RLKaessLaw,@dbrauer @jpkolb From a business perspective I don't understand only playing to half the possible purchasing public.,Fri Apr 21 22:04:41 +0000 2017
business,thfrntbttmss,omg keep ur nose in ur business please what an idea right,Fri Apr 21 22:04:41 +0000 2017
business,FaronSaxton,"RT @immigrant4trump: @realDonaldTrump President Trump is going to Make America Great Again regardless of the color of your skin, no more bu…",Fri Apr 21 22:04:41 +0000 2017
business,jcopeland_sc,"Peter Boutell, Lending a Hand: You can stop selling of your credit data https://t.co/GPSF8OH1PX",Fri Apr 21 22:04:41 +0000 2017
