category,user,tweet,time
customer,harbour_susan,RT @trish_regan: Mega-mergers making airlines TOO big. No sense  of customer service--or decency. Break 'em up! Power to consumer https://t…,Sun Apr 23 00:10:53 +0000 2017
customer,MuitoFina,RT @StoddardCA: 12 digital marketing and customer experience tips for success https://t.co/GEpGiWzYAo via @CIOonline #adobe,Sun Apr 23 00:10:53 +0000 2017
customer,NewsChicagoLand,Love boats? https://t.co/brNZAKPYp4,Sun Apr 23 00:10:49 +0000 2017
customer,donald_j_putin,American Airlines flight attendant put on leave after clash with passengers captured on video. Da. Customer = enemy. https://t.co/S7jFGwNHn1,Sun Apr 23 00:10:41 +0000 2017
customer,MiseryXchord,"RT @vivek_mogal: Forget customer service, even a simple human decency is a fucking joke to the airlines. #AmericanAirlines #DeltaAirlines #…",Sun Apr 23 00:10:41 +0000 2017
customer,BESTHSA,"RT @ed_hooley: AMERICAN AIRLINES EMPLOYEE TO CUSTOMER ""I DARE YOU TO HIT ME""
#AmericanAirlines https://t.co/HIvyx6Gtjk",Sun Apr 23 00:10:40 +0000 2017
customer,OJMortgageCo,"Check out our reviews :)

Customer Satisfaction is the Backbone of our Company! https://t.co/Vko1iqzCkD",Sun Apr 23 00:10:40 +0000 2017
customer,goldBombshell,"RT @DJNAILZ: Publix and Chik Fil A should give some of these other companies ""Customer Service"" courses. Their employees are so happy. Lol.",Sun Apr 23 00:10:39 +0000 2017
customer,JeffNawesome,@SouthwestAir awesome customer service from your AUS team! I left a laptop on my flight and Alex in AUS was able to track it down! Thanks!,Sun Apr 23 00:10:36 +0000 2017
customer,woodymcfarley,Shopping Cart - Thrive Market https://t.co/5dBuFb600N,Sun Apr 23 00:10:36 +0000 2017
customer,1smgcom,Using 3rd Party Software for Timely Customer Responses #livechat #drift #website #websoftware #wordpress  https://t.co/QcXmUGm4aw,Sun Apr 23 00:10:35 +0000 2017
customer,doughnnie,"RT @Buchi_Cent: ""All am asking is for your retweet!! My customer might be on your TL"" https://t.co/EcP3KsxRui",Sun Apr 23 00:10:32 +0000 2017
customer,robinsparkles_,"RT @sarahceesquared: as someone who has almost exclusively worked in customer service, i have zero patience for shitty customer service  wo…",Sun Apr 23 00:10:32 +0000 2017
customer,TroubledDays,"KFC Surrenders to Sharia Law in the Most Despicable Way Possible, Then ABUSES Non-Muslim Customer https://t.co/zdeMXlF6Ay",Sun Apr 23 00:10:29 +0000 2017
customer,muralidharanj,"3 Surprising Reasons Why Social Collaboration Should Be Part Of Your 2016 Sales Strategy
https://t.co/sa6nTRRc4o",Sun Apr 23 00:10:28 +0000 2017
customer,lavkris,RT @ajplus: A British thrift store blocked a customer for questioning its cultural appropriation of Desi clothing. https://t.co/rWhlKBj7Kq,Sun Apr 23 00:10:28 +0000 2017
customer,papillongrace,"@BoxedWholesale THANK YOU for the outstanding customer service this weekend. You clearly thought ""outside the box""… https://t.co/DIqm5IDyqR",Sun Apr 23 00:10:26 +0000 2017
customer,tmj_nvr_jobs,"See our latest #Reno, NV #job and click to apply: Seasonal - Lumber Customer Service Associate - https://t.co/EuDFkvz7km #Hiring",Sun Apr 23 00:10:22 +0000 2017
customer,everymanager,Check out this episode of World Class #Customer Service. Episode 29 https://t.co/vioAaMGMRj #customerservice https://t.co/Wzu4doaphw,Sun Apr 23 00:10:21 +0000 2017
customer,VanessaUmanzor_,"When I tell y'all Stacie snapped on that customer, I mean SNAPPED 😳😂",Sun Apr 23 00:10:18 +0000 2017
customer,SuzannePeterso3,"RT @Hublife: Customer: ""I don't know how anyone could top United Airlines and their stupidity...""

American Airlines: ""Hold my beer...""",Sun Apr 23 00:10:17 +0000 2017
customer,AdnanSidd1,"Creating Revenue from Customer Data: A Data Monetization Framework

https://t.co/tD8E9T0CVf",Sun Apr 23 00:10:17 +0000 2017
customer,stacieaspence,RT @ajplus: A British thrift store blocked a customer for questioning its cultural appropriation of Desi clothing. https://t.co/rWhlKBj7Kq,Sun Apr 23 00:10:13 +0000 2017
customer,tmj_pdx_cstsrv,We're #hiring! Read about our latest #job opening here: FT Bldg Materials Customer Service Associate III - https://t.co/ztMYjXx4A4,Sun Apr 23 00:10:12 +0000 2017
customer,brianweeden,"Europe has fostered a much more competitive aviation market than America, and it shows in customer value: https://t.co/uB6dtIyquJ",Sun Apr 23 00:10:10 +0000 2017
customer,KalikaMarina,B2B customers want to feel that you know them. What's your customer strategy? https://t.co/3UgP3wFwWw #nuanceteam https://t.co/kvCgXJJw0V,Sun Apr 23 00:10:09 +0000 2017
customer,aepiphanni,Glass half full? Thanks to the poor performers for providing examples of what not to do.#aepiphanni… https://t.co/Pf9AZyx5JQ,Sun Apr 23 00:10:08 +0000 2017
customer,dajoker36,@AskAmex Hi Beth! Would you happen to be a customer service supervisor and could speak to me regarding my Blue Sky card ?,Sun Apr 23 00:10:07 +0000 2017
customer,Nicola_Boros,RT @staceyv2015: @ThreeUK shout out to the staff member in the three store that's part of Superdrug in Clydebank calling a customer a loser…,Sun Apr 23 00:10:05 +0000 2017
customer,DWSAssociates,#socialmediamarketing - FREE Take the Customer Relationship Management Quiz to see how your organization is doing. https://t.co/ggaUKqxJJ5,Sun Apr 23 00:10:05 +0000 2017
customer,alyssaalvarezm,yeah my favorite customer https://t.co/txqzEbPmW8,Sun Apr 23 00:10:01 +0000 2017
customer,Dre_Since_95,Robbed a manager and shot a customer last year 💥,Sun Apr 23 00:09:55 +0000 2017
customer,NadiaGarnier,What's wrong with these airlines? Are they all competing for worse customer treatment ever? We don't see what... https://t.co/Uin7E4LmDY,Sun Apr 23 00:09:54 +0000 2017
customer,AcoriDiamonds,RT @bigangrylaw: Angry Justice. Tune in 950 AM in Houston and KPRC950 on @iheartradio and Call in with your worst customer service experien…,Sun Apr 23 00:09:51 +0000 2017
customer,th3str4p,@OrangewoodRV you're only scoring 61/100 for desktop. That's not ideal.  I can help you improve AND get more custom… https://t.co/lb5kI0c8rT,Sun Apr 23 00:09:48 +0000 2017
customer,britl,"On the phone w/🇺🇸customer support, repeating back the code he gave: R-R-Zed-G
Him: No! It's R-Zee-G!
Me: sorry, Zed is Z in 🇨🇦
Him: ur wrong",Sun Apr 23 00:09:47 +0000 2017
customer,mattcypert,omg this customer started crying to me at work then the pharmacist 😩,Sun Apr 23 00:09:47 +0000 2017
customer,maskedrepublic,@illanswerthat @lasombra_cmll @s_d_naito Not a matter just if popularity. Been awful delays in receiving product fr… https://t.co/fnAXi4PfVb,Sun Apr 23 00:09:47 +0000 2017
customer,BarryMurphy365,6 Emerging Trends in SaaS Customer Success https://t.co/qjiAqShRb7,Sun Apr 23 00:09:46 +0000 2017
customer,TransLink,"@memestealer3000 Sorry, that's happened. Please take a moment to share your experience on our Customer Feedback for… https://t.co/d4LYKkj4oE",Sun Apr 23 00:09:44 +0000 2017
customer,_alinaavk,RT @breesteffen: my customer service voice is such a distant version of me.. who is she... i hate her,Sun Apr 23 00:09:35 +0000 2017
customer,WJrnlUK,United Airlines to tie executive pay to customer satisfaction - BBC News https://t.co/bbf5CJJs1K,Sun Apr 23 00:09:27 +0000 2017
