category,user,tweet,time
data mining,s3v3r3NL,"Bose accused of spying on end users, data mining their private records via headphone  https://t.co/yNmvT9mohH via @ExtremeTech",Fri Apr 21 12:26:19 +0000 2017
data mining,jacobpkoshy,"RT @DD_NaNa_: Analyze Text, Discover Patterns, Visualize Data #dataviz https://t.co/kDn9oT7bL4",Fri Apr 21 12:26:00 +0000 2017
data mining,DataAnalytic_Bs,"Advanced Data Mining projects with R
☞ https://t.co/nD5PVhiHyV

HkGh18GDCg",Fri Apr 21 12:17:36 +0000 2017
data mining,AlexandrElichev,"@dodgepong @FFGames Violet - Bloodletter, Green red - Syn Attack, Blue - Deep Data Mining.",Fri Apr 21 12:15:25 +0000 2017
data mining,emibaldacci,RT @darbuo: Social Data Mining event  @EU_Eurostat @emibaldacci @FeliciaPelagall https://t.co/Sgd28czerl,Fri Apr 21 12:14:23 +0000 2017
data mining,_neural_bot,RT @Techgrids: Data Mining/Extraction and Web Scraping/crawling from any Directory or Website for $25 via @PeoplePerHour https://t.co/SIZyF…,Fri Apr 21 12:12:49 +0000 2017
data mining,Techgrids,Data Mining/Extraction and Web Scraping/crawling from any Directory or Website for $25 via @PeoplePerHour https://t.co/SIZyFfK0lC,Fri Apr 21 12:08:23 +0000 2017
data mining,markbridgwood,"If Facebook develops this - will they try to own our thoughts (via data mining)?
 https://t.co/gpivleykIy
 https://t.co/rzzGbSQmsF",Fri Apr 21 12:04:44 +0000 2017
data mining,Cima002,RT @ninaandtito: .@anconl16 @LouiseMensch @RVAwonk @Khanoisseur @dcpoll @TeaPainUSA @OmarAslamLugo @AndreaChalupa @th3j35t3r @profcarroll @…,Fri Apr 21 12:03:59 +0000 2017
data mining,FeliciaPelagall,RT @darbuo: Social Data Mining event  @EU_Eurostat @emibaldacci @FeliciaPelagall https://t.co/Sgd28czerl,Fri Apr 21 12:02:52 +0000 2017
data mining,mefunimi,"DATA MINING &amp; COMPUTATIONAL STATISTICS: POSTER SESSION
Pics available here https://t.co/TVm2AsgcLK",Fri Apr 21 12:01:21 +0000 2017
data mining,darbuo,Social Data Mining event  @EU_Eurostat @emibaldacci @FeliciaPelagall https://t.co/Sgd28czerl,Fri Apr 21 12:01:00 +0000 2017
data mining,BSAnews,BSA's Policy Dir Christian Troncoso is at @FordhamIP's Annual Conf today for a panel on text &amp; #data mining (#TDM): https://t.co/Xi31zfIzMS,Fri Apr 21 12:00:51 +0000 2017
data mining,SocialMedia_MK,"#marketing Learning Path: R: Real-World Data Mining With R
☞ https://t.co/8a2A3VqOyn

SJ-Ef-GDAg https://t.co/jJSonCqyPl",Fri Apr 21 11:54:31 +0000 2017
data mining,alevergara78,RT @ImDataScientist: #DataPrivacyDay #PrivacyAware MT @TheSmartJokes: Just Data Mining :) #DataScience #Privacy #Humor #Joke #BigData https…,Fri Apr 21 11:52:20 +0000 2017
data mining,RelationPublic_,"#Relatinons Advanced Data Mining projects with R
☞ https://t.co/aDXoPoBGxt https://t.co/umJTyANWWP",Fri Apr 21 11:51:57 +0000 2017
data mining,CapriceSociety,RT @ImDataScientist: #DataPrivacyDay #PrivacyAware MT @TheSmartJokes: Just Data Mining :) #DataScience #Privacy #Humor #Joke #BigData https…,Fri Apr 21 11:51:54 +0000 2017
data mining,_neural_bot,"RT @violetblue: Great article on the Bose privacy nightmare. ""providing a better experience = spying on people for profit"" https://t.co/wDd…",Fri Apr 21 11:44:49 +0000 2017
data mining,3D_Animation102,"Advanced Data Mining projects with R
☞ https://t.co/BrpnqIE59B https://t.co/883w99UdMH",Fri Apr 21 11:41:41 +0000 2017
data mining,DataInfact,Optus' data mining start-up venture revealed - Software - Telco/ISP - iTnews https://t.co/o0h1UJ4rEb #ai #aws https://t.co/LbaHIcTTdI,Fri Apr 21 11:34:12 +0000 2017
data mining,WIOMAX_DC,"RT @fred_stahl: anyone interested in this PhD project?: Developing a  Method for Data Diffusion Detection https://t.co/23FQyxz4Ob

#BigData…",Fri Apr 21 11:28:59 +0000 2017
data mining,pybiandstuff,"RT @leesmallwood: The latest Data mining, analysis and analytics! https://t.co/YIKZrLnIOM Thanks to @BoukacemZeg @erzaehlwerk @6ltdata #big…",Fri Apr 21 11:22:39 +0000 2017
data mining,leesmallwood,"The latest Data mining, analysis and analytics! https://t.co/YIKZrLnIOM Thanks to @BoukacemZeg @erzaehlwerk @6ltdata #bigdata #ai",Fri Apr 21 11:22:02 +0000 2017
data mining,asrjfs,"RT @DD_NaNa_: Analyze Text, Discover Patterns, Visualize Data #dataviz https://t.co/kDn9oT7bL4",Fri Apr 21 11:21:32 +0000 2017
data mining,CJWFav,"RT @violetblue: Great article on the Bose privacy nightmare. ""providing a better experience = spying on people for profit"" https://t.co/wDd…",Fri Apr 21 11:20:13 +0000 2017
data mining,jamilouazzani,"RT @violetblue: Great article on the Bose privacy nightmare. ""providing a better experience = spying on people for profit"" https://t.co/wDd…",Fri Apr 21 11:19:23 +0000 2017
