category,user,tweet,time
democrats,stormchase3,"RT @SteveSGoddard: Democrats are angry at us. First we took away their slaves, then we took away their KKK, and now we are taking away thei…",Sat Apr 22 11:54:31 +0000 2017
democrats,native4trump,"RT @DrMartyFox: Like A Good #Globalist 

Obama Tries To ""Influence"" The Election 

To Defeat #LePen 

Obama Ordered 2012 CIA Spying

https:…",Sat Apr 22 11:54:24 +0000 2017
democrats,cappy56,RT @davidfrum: “I will shut down the government unless Democrats pay for the wall I said Mexico would pay for.” Genius. https://t.co/TwYlPH…,Sat Apr 22 11:54:21 +0000 2017
democrats,hotdog1965,RT @hotdog1965: @ffweekend the democrats have lost over a 1000 seats &amp; congress &amp; senate &amp; the white house so when she said that I almost l…,Sat Apr 22 11:54:17 +0000 2017
democrats,Larramarr1980,RT @AdamsFlaFan: ‘Pivotal Moment’ for Democrats? Gerrymandering Heads to Supreme Court https://t.co/WJEngwxfDt,Sat Apr 22 11:54:11 +0000 2017
democrats,MKFerrante,"RT @SheWhoVotes: When you're spending more time resisting Democrats than resisting Trump, you're not part of #TheResistance; you're a troll.",Sat Apr 22 11:54:10 +0000 2017
democrats,craigolson1969,@SethAbramson @robreiner Democrats talking about Russia reminds of Hunting BigFoot tv shows. Always pretending to b… https://t.co/4OhMvT8XU4,Sat Apr 22 11:54:06 +0000 2017
democrats,bertranddoug1,Democrats can't wait for their fearless leader Obama to make a speech in gang ravaged Chicago Monday where they think nothing is wrong,Sat Apr 22 11:54:04 +0000 2017
democrats,adlver,@TheDemocrats @BernieSanders is the face of #Democrats?  Do U not see the hypocrisy of this or do U still think we… https://t.co/0rwOdSxuGL,Sat Apr 22 11:54:04 +0000 2017
democrats,kwtgvt,"RT @RealJamesWoods: I disagree. Many struggling, decent Americans believed in #BernieSanders because establishment #Democrats had screwed t…",Sat Apr 22 11:54:04 +0000 2017
democrats,Millermtgirl,@YourAuntHilda @POTUS It is in reference to Hillary's email that said Democrats need to keep Americans IGNORANT &amp; C… https://t.co/WbEVrFAqvJ,Sat Apr 22 11:54:03 +0000 2017
democrats,JusDucky27,"RT @SheWhoVotes: When you're spending more time resisting Democrats than resisting Trump, you're not part of #TheResistance; you're a troll.",Sat Apr 22 11:54:02 +0000 2017
democrats,RosieRoadRider,"RT @DavidYankovich: This is one of those Bartlett moments when the democrats need to stand up and say ""Then shut it down."" while walking aw…",Sat Apr 22 11:53:59 +0000 2017
democrats,smiggy303,Yvette Cooper represents a wing of labour who would turn the party into a copy of the U.S. democrats under Hillary… https://t.co/YTjRnGYQtH,Sat Apr 22 11:53:53 +0000 2017
democrats,sesnyderleb,@Coach_Ralph @LtGovStack @PAStatePolice Rendell/Knoll was an awkward relationship but Wolf/Stack might be worse. De… https://t.co/W3Mcen86Ap,Sat Apr 22 11:53:52 +0000 2017
democrats,OceanGirl124,"@kahir165 @BearmanShannon Democrats.  They are painfully outnumbered at this point. And if they play as dirty, they… https://t.co/GYCfSSknOc",Sat Apr 22 11:53:49 +0000 2017
democrats,matteoboscarol,"""The Heterophony of the Avenging Democrats, Outside, Cheers the Incineration of thr Pythagorean Elite, Whose Shrill… https://t.co/NFb4LkaPXN",Sat Apr 22 11:53:49 +0000 2017
democrats,tastesgreat247,RT @keithboykin: Bernie Sanders is not the future of the Democratic Party. https://t.co/uiJcDjEHm3,Sat Apr 22 11:53:45 +0000 2017
democrats,SusanKayJones2,"RT @DavidYankovich: This is one of those Bartlett moments when the democrats need to stand up and say ""Then shut it down."" while walking aw…",Sat Apr 22 11:53:42 +0000 2017
democrats,goatman42749,Dallas Democrats Fret over Threat of ‘Voter Fraud’ https://t.co/9d6JgCILPF,Sat Apr 22 11:53:40 +0000 2017
democrats,autoengmike,"RT @bclaymoore: @peterdaou Of course, proclamations like this are exactly why Democrats will lose the next election and refuse to examine w…",Sat Apr 22 11:53:37 +0000 2017
democrats,snoozinglion1,"@RealJamesWoods @CameliaDitch #Democrats breed nothing but death &amp; destruction

The evidence all around
#Chicago… https://t.co/4aHRdnyG73",Sat Apr 22 11:53:34 +0000 2017
democrats,SwapneilDiwaan,"RT @YahooNews: Due to changing attitudes and the march of legalization at state levels, the pro-pot cause is only gaining momentum https://…",Sat Apr 22 11:53:29 +0000 2017
democrats,garydailydrift,RT @DixonDiaz4U: Democrats started a Civil War in 1861 -- and lost.  They're starting another one in 2017 -- and they will lose again.,Sat Apr 22 11:53:27 +0000 2017
democrats,CarmenStanescu2,It looks like House Democrats just won a big victory in the Trump-Russia investigation https://t.co/LaB4uy70zX via @YahooFinance,Sat Apr 22 11:53:26 +0000 2017
democrats,ColtsPens85,"RT @RealJamesWoods: I disagree. Many struggling, decent Americans believed in #BernieSanders because establishment #Democrats had screwed t…",Sat Apr 22 11:53:20 +0000 2017
democrats,yourcluelessnow,"BHO/HRC &amp; Democrats are Silencing any strong person, They Silence The Factor now, https://t.co/B9bUJ4k9x9",Sat Apr 22 11:53:19 +0000 2017
democrats,exiamlol,"RT @PaxHart: .@RealKyleMorris have you noticed, since Democrats lost the WH and DOJ, #BlackLivesMatter virtually vanished overnight? https:…",Sat Apr 22 11:53:17 +0000 2017
democrats,BillDeplora,Democrats concept of immigration control: come on in. everybody. you're welcome. criminals too. (as long as you're going to vote Democrat),Sat Apr 22 11:53:16 +0000 2017
democrats,EdisonMedicine_,"RT @RealJamesWoods: I disagree. Many struggling, decent Americans believed in #BernieSanders because establishment #Democrats had screwed t…",Sat Apr 22 11:53:15 +0000 2017
democrats,freedomAU21C,"RT @DavidYankovich: This is one of those Bartlett moments when the democrats need to stand up and say ""Then shut it down."" while walking aw…",Sat Apr 22 11:53:12 +0000 2017
democrats,rita_trixie558,"RT @DenbrotS: VOTING RIGHTS IS CRITICAL ISSUE FOR DEMOCRATS
DNC must step up &amp;be aggressive 2stop GOP strategy.
RICO suit needed.
https://t…",Sat Apr 22 11:53:07 +0000 2017
democrats,lenz0114,@Richardafowler Maybe you should wake up and see there's is no working with the Democrats....,Sat Apr 22 11:53:07 +0000 2017
democrats,missbike,@preciosatt @joanwalsh @jkempcpa @scottdetrow @nprpolitics Congress has Blue Dog Democrats.  If you want the Cathol… https://t.co/GX1wiCReYt,Sat Apr 22 11:53:06 +0000 2017
