category,user,tweet,time
economy,SnghAP,RT @DrBhava: Indian economy set to overtake Germany's economy by 2022.. @Swamy39 @nviswam @kanimozhi @ssavitri115 @jagdishshetty https://t.…,Sun Apr 23 10:51:05 +0000 2017
economy,espee956,"RT @CatchNews: 'What I saw sent a shiver up my spine': Oz farmer on Adani's project in Gujarat
https://t.co/NT0ufNmOgE",Sun Apr 23 10:50:58 +0000 2017
economy,IfhamNizam,"RT @EconomicTimes: Beware! #ArtificialIntelligence is coming swiftly to replace you
https://t.co/aRNxwt9a8l",Sun Apr 23 10:50:56 +0000 2017
economy,ronniesmith0614,RT @jeremycorbyn: On @MarrShow shortly. Talking about Labour's plan for four extra bank holidays &amp; how we'll create an economy for the many…,Sun Apr 23 10:50:55 +0000 2017
economy,Graememmason,RT @thepileus: The Tory trolls are right! Corbyn's proposal of 4 extra national holidays a year will ruin our economy &amp; we will end up like…,Sun Apr 23 10:50:49 +0000 2017
economy,atreshailendra,"RT @IndianExpress: NITI Aayog presents 300 specific action points to boost Indian economy.
https://t.co/moFWvssooZ",Sun Apr 23 10:50:44 +0000 2017
economy,irregularBOB,"RT @washingtonpost: A six-hour workday could make you happier, healthier and more productive
https://t.co/6W0al1uiMh",Sun Apr 23 10:50:24 +0000 2017
economy,LearnToTradeFX_,The Week Ahead: 5 Things to Watch on the Economic Calendar https://t.co/nJ1P5e23ly #Forex #Stocks #Training,Sun Apr 23 10:50:23 +0000 2017
economy,Leefahdre,RT @_olamidepaul: Some weeks back... They said I wanted to ruin the economy with fake money and that they believe I still had more fake mon…,Sun Apr 23 10:50:20 +0000 2017
economy,helenyg,"RT @ThatTimWalker: David Smith, a lone, sane voice on the pro-Brexit Sunday Times, has a message: it's time to talk about the economy. http…",Sun Apr 23 10:50:19 +0000 2017
economy,Eric_Ingargiola,"Opinion/Commentary: In face of uncertainty, policy entrepreneurship will drive Virginia economy - The Daily Progre… https://t.co/TbreAsGCZy",Sun Apr 23 10:50:16 +0000 2017
economy,cynthia_leger,"RT @washingtonpost: Here’s how rich you have to be to not worry about getting dragged off a plane
https://t.co/4iTIwXwHpx",Sun Apr 23 10:50:16 +0000 2017
