category,user,tweet,time
energy,chloethe1975,"I don't get mad at that, I just don't put any energy on it 🙏🏼",Fri Apr 21 08:21:13 +0000 2017
energy,opineENERGY,PRESS RELEASE » Screw Compressor Market estimated high sales by 2016-2024 https://t.co/ScQYcuTN6a 🗣#Opines on #Energy,Fri Apr 21 08:21:13 +0000 2017
energy,MB386456,@broadband4life @ErykBagshaw @NASA @POTUS44 @TurnbullMalcolm @UN @PruGoward @SecretService @MikePenceVP Whoops we w… https://t.co/KPpva4QHG4,Fri Apr 21 08:21:13 +0000 2017
energy,opineENERGY,PRESS RELEASE » „LoLo” – the Micro-Kitchen with a Smile https://t.co/HTLJJIM5Is 🗣#Opines on #Energy,Fri Apr 21 08:21:13 +0000 2017
energy,airqualityjobs,"Project Coordinator/ Analyst- Energy Efficiency- Houston, TX: ICF International -… https://t.co/JSk8hcQLV9 #emission #EnergyEfficiency",Fri Apr 21 08:21:11 +0000 2017
energy,opineENERGY,PRESS RELEASE » Soft-Lite Windows Named 2017 ENERGY STAR Partner of the Year Sustained Excellence Award Winner by EPA …,Fri Apr 21 08:21:11 +0000 2017
energy,opineENERGY,PRESS RELEASE » Ethos Farm in the Jungle – Promoting Sustainable Tourism Practices https://t.co/ehoT4fYcKU 🗣#Opines on #Energy,Fri Apr 21 08:21:10 +0000 2017
energy,opineENERGY,PRESS RELEASE » Visit Powerblanket at the ISA Annual Convention https://t.co/sbshIW9ODW 🗣#Opines on #Energy,Fri Apr 21 08:21:08 +0000 2017
energy,opineENERGY,PRESS RELEASE » 4 Wheel Parts Celebrating Phoenix Location Grand Reopening https://t.co/wt8a9ILPWv 🗣#Opines on #Energy,Fri Apr 21 08:21:08 +0000 2017
energy,opineENERGY,PRESS RELEASE » Supercapacitor Market May Offer New Options in the Next Decade https://t.co/XJVyhXIZ3W 🗣#Opines on #Energy,Fri Apr 21 08:21:07 +0000 2017
energy,rny4321,RT @bani_j: You know it! @RanveerOfficial being the powerhouse of energy as usual in #Colgate MaxFresh’s TVC #TaazgiKaDhamaka https://t.co/…,Fri Apr 21 08:21:07 +0000 2017
energy,dakotafinancial,Somewhat Negative Press Coverage Extremely Likely to Affect Orion Energy Systems $OESX Share Price https://t.co/fGCLKATvmz,Fri Apr 21 08:21:07 +0000 2017
energy,intkhab10,RT @HPCL: Save energy today to secure a better tomorrow #SaveEnergy,Fri Apr 21 08:21:06 +0000 2017
energy,ConsumerFeed,Somewhat Negative Press Coverage Extremely Likely to Affect Orion Energy Systems $OESX Share Price https://t.co/tUXzURyO5T,Fri Apr 21 08:21:06 +0000 2017
energy,atontcheva,"You are fed up #politics #medias #messages...

Welcome #natural #source #energy &amp; #freedom 

#OASIS
&gt;ART&lt; https://t.co/Jp0VntvFuO",Fri Apr 21 08:21:06 +0000 2017
energy,Oh_Naturelle,These beautiful Chocolate Orange Energy Bites from @vegan_mammy look so good 😍 The recipe for… https://t.co/QeXEP9xR94,Fri Apr 21 08:21:01 +0000 2017
energy,COOL8769,RT @AnilKapoor: The secret to his energy is finally out! @RanveerOfficial you're a breath of fresh air (literally) in this #Colgate #Taazgi…,Fri Apr 21 08:21:01 +0000 2017
energy,tihonovaninnita,Q4: What green updates can you make to boost energy savings around the house?  #ModernMonday,Fri Apr 21 08:21:00 +0000 2017
energy,MadonnaIllumin1,"RT @MadonnaIllumin1: @Madonna @Madonnaillunina @davidhalldavid @zyxmusicsales @DJMAGICD1 @Madonna @Madonnaillunina  San Francisco 80s,high…",Fri Apr 21 08:20:59 +0000 2017
energy,LeoHoroscopee,#Leo will not put any efforts into something that they think it will not work and waste their energy.,Fri Apr 21 08:20:59 +0000 2017
energy,delaeconomia,Workshop energy states: exploring the public regulation of electricity in history and society https://t.co/oYRXXOne8c @numies_cl @icsoUDP,Fri Apr 21 08:20:58 +0000 2017
energy,free_energy_ou,Ich mag das @YouTube-Video: https://t.co/xC9fIrNGAN YouTube SEO-How To Rank on Google and YouTube With Video SEO,Fri Apr 21 08:20:58 +0000 2017
energy,sandinh011,RT @ilsesalzwedel: OUTA has warned against this since 2016 after approached by @SAFCEI and @Earthlife_JHB. Join us NOW to stop this! https:…,Fri Apr 21 08:20:57 +0000 2017
energy,Dallenroos,"Today we are giving less 10% on Kelwell in the shop.

Kelwell enhances weight loss, increases energy levels &amp;... https://t.co/X8DFTvgifw",Fri Apr 21 08:20:56 +0000 2017
energy,tshep42,"RT @AndreaChalupa: .@jasoninthehouse 7. Like Erik Prince, the Russians clearly expect a return/windfall for their help: https://t.co/YdY3SG…",Fri Apr 21 08:20:54 +0000 2017
energy,COOL8769,RT @bani_j: You know it! @RanveerOfficial being the powerhouse of energy as usual in #Colgate MaxFresh’s TVC #TaazgiKaDhamaka https://t.co/…,Fri Apr 21 08:20:54 +0000 2017
energy,drevorution,"Me: it's so boring at home I wanna go out
Also me: [out with friends, 1 hour in] IM SO FUCKING TIRED ALL MY ENERGY HAS BEEN DRAINED",Fri Apr 21 08:20:53 +0000 2017
energy,saypeanutbutter,Detach and protect your energy.,Fri Apr 21 08:20:51 +0000 2017
energy,maerru_paa,RT @BeeBabs: Replying texts &amp; tweeting requires different energies ok don't ask y I'm tweeting &amp; not replying don't police my energy https:…,Fri Apr 21 08:20:50 +0000 2017
energy,Jakeedawgg,RT @lildurk: I don't need that negative energy around me,Fri Apr 21 08:20:49 +0000 2017
energy,hitachiairconUK,RT @PBC_Today: @CIBSE raises the issue of designing buildings with #climatechange in mind at the latest #CIBSEsymposium. Read here: https:/…,Fri Apr 21 08:20:49 +0000 2017
energy,MadonnaIllumin1,"@Madonna @Madonnaillunina @davidhalldavid @zyxmusicsales @DJMAGICD1 @Madonna @Madonnaillunina  San Francisco 80s,hi… https://t.co/BKgWkPMBbX",Fri Apr 21 08:20:48 +0000 2017
energy,Jessy_Gtz15,RT @lildurk: I don't need that negative energy around me,Fri Apr 21 08:20:47 +0000 2017
energy,campuscodi,Quick! Kill Musk before he develops the Matrix to harvest human brain energy for his damn Tesla car batteries https://t.co/bl87GAYjDD,Fri Apr 21 08:20:45 +0000 2017
energy,sdiedericks,The latest Exceptional #Leadership News is out! https://t.co/ElI38T301v #energy,Fri Apr 21 08:20:45 +0000 2017
energy,kuro_yuki,and I cleaned. Now I have no energy for work or homework /sobs,Fri Apr 21 08:20:43 +0000 2017
energy,CostaReina12,RT @lildurk: I don't need that negative energy around me,Fri Apr 21 08:20:41 +0000 2017
energy,RustyOldHearse,RT @DeSmogBlog: Energy Companies Spent Millions Influencing Climate Policy Over Last 2 Years | @DeSmogUK https://t.co/ywNLcR9b5Z,Fri Apr 21 08:20:40 +0000 2017
energy,callie_mcgill,RT @erindobson_: Wish I had the energy and the time to get up every morning and do my makeup and hair so I didn't have to walk about like a…,Fri Apr 21 08:20:40 +0000 2017
energy,Tilley2Shoes,RT @eleanor_bw: .@soundslikechaos in all srsnss tho these young performers give me inspiration and energy that is much needed. a very impre…,Fri Apr 21 08:20:39 +0000 2017
energy,MBK3100JOC,RT @lildurk: I don't need that negative energy around me,Fri Apr 21 08:20:38 +0000 2017
energy,YaHoeFavorite,RT @lildurk: I don't need that negative energy around me,Fri Apr 21 08:20:36 +0000 2017
energy,jamesmkrause,"RT @angelic_astro: When Leo energy is vibrating at a low frequency, it will thrive off of others being put down. It will enjoy making other…",Fri Apr 21 08:20:35 +0000 2017
energy,IAmTheYungG0D,"@Taylormarsacyay Hell yeah. Slap on that twist again, see if you can get an energy drink and kick ass",Fri Apr 21 08:20:29 +0000 2017
energy,AXA_MATRIX,RT @AXA_CS: Why @AXA develops innovative #parametric #insurance for renewable #energy producers? https://t.co/XEw0kdfJxD https://t.co/TPKrz…,Fri Apr 21 08:20:29 +0000 2017
energy,thektturner,"Saw #MoveBeyond tonight in #SouthBend  
Awesome show! Loved the energy. Sold out for a reason
@juliannehough… https://t.co/ruzvZAUkLH",Fri Apr 21 08:20:27 +0000 2017
energy,Sunita_Matharu,Love people who just have good god dammm energy !!,Fri Apr 21 08:20:27 +0000 2017
energy,sweetlilsoul_,RT @funder: Carter Page's Dad runs an energy company based in New York that does work in Russia-according to docs #trumprussia #trumpleaks…,Fri Apr 21 08:20:27 +0000 2017
energy,AyushKiKudi,@AvonCyclesIND @ContestSource @Contest_Ind @thefreejinn @Contest_Hub @Contest_in @IndiaContestOff Use a microwave t… https://t.co/KeLaHX5T5p,Fri Apr 21 08:20:26 +0000 2017
energy,_GimmieKissesS,RT @lildurk: I don't need that negative energy around me,Fri Apr 21 08:20:20 +0000 2017
energy,bengoertzel,"Naked Mole Rat, longest-lived rodent, deals with oxygen deprivation using novel fructose-based metabolism... hmmm... https://t.co/fMn5L1JKbk",Fri Apr 21 08:20:19 +0000 2017
energy,KamalaChambers,All Day Energy Diet @NinaManolson #diet #nutritiontips #healthyeating #thrivinglaunch Listen in… https://t.co/aZAthAqsir,Fri Apr 21 08:20:18 +0000 2017
energy,ActiveProfileUK,RT @EIC_UK: Only 1 week left to enter your  #innovative #technology or ideas into the UK #Energy #Innovation Awards 2017  https://t.co/eQhC…,Fri Apr 21 08:20:18 +0000 2017
energy,ecwpunk81,RT @funder: Carter Page's Dad runs an energy company based in New York that does work in Russia-according to docs #trumprussia #trumpleaks…,Fri Apr 21 08:20:18 +0000 2017
energy,buxtonsolar,"08:15 energy 0.21kW 
08:30 energy 0.24kW 
08:45 energy 0.22kW 
09:00 energy 0.3kW 

Average for hour 0.24 kW

Current total today 0.55kW",Fri Apr 21 08:20:12 +0000 2017
energy,Gurtenklam,"RT @Bucks: ""It was awesome, it felt GREAT having that energy from the crowd! My teammates were locked in from the jump!"" - Thon on tonight'…",Fri Apr 21 08:20:12 +0000 2017
energy,Julie_hurtadoo,"Asked myself why I have so much energy, I drank soda🙃 never again!",Fri Apr 21 08:20:12 +0000 2017
energy,mbmshipping,RT @EconomicTimes: KM #Birla's secret idea could take the world of business by storm https://t.co/rQaZTgp5U1 https://t.co/DE30BU4Ruu,Fri Apr 21 08:20:09 +0000 2017
