category,user,tweet,time
football,mash_lfc,RT @ShunTheScum: Thank you @ChesterFC  another football club to do the right thing come on the rest of you stand up and be counted #shunthe…,Fri Apr 21 17:32:45 +0000 2017
football,xicotixe,RT @8TrollFootball: FOOTBALL https://t.co/e67BT4N5hT,Fri Apr 21 17:32:45 +0000 2017
football,bukuland,We're into the last four and @LukeShaw23 is confident of @EuropaLeague success: https://t.co/ywDksyCLsb by #ManUtd… https://t.co/jRbz2jlMfN,Fri Apr 21 17:32:45 +0000 2017
football,Elisa_XTY,"RT @OceansCreation: Minecraft Render @GabrielSNF_ American football player!
Liked ? 
⚓️⚓️
❤️ + 🔄 https://t.co/EyKlqaM1ih",Fri Apr 21 17:32:44 +0000 2017
football,janettvillarre5,"RT @SbatSports: TODAY's FOOTBALL TIPS! ⚽️

🔸Super Single 
🔸Daily Acca
🔸BTTS Acca
🔸Lucky 15

Live now 📱👇

https://t.co/VWNsz130RB",Fri Apr 21 17:32:44 +0000 2017
football,Beej95,RT @IndyFootball: Borussia Dortmund bus attack suspect took out five-figure loan to bet on club's stock drop https://t.co/3mVDL0eQH7,Fri Apr 21 17:32:43 +0000 2017
football,arsenalfootnews,Rival boss holds talks with Arsenal star Alexis Sanchez over transfer https://t.co/SRTdHa8waM https://t.co/Cjj4yrH7WD,Fri Apr 21 17:32:43 +0000 2017
football,jared_n66,RT @JLiaci23: Puttin on for Nova football💯🤘🏾 https://t.co/wvGhq8s0uF,Fri Apr 21 17:32:43 +0000 2017
football,255chile,We're into the last four and @LukeShaw23 is confident of @EuropaLeague success: https://t.co/Z2ll6PYZ5f by… https://t.co/JQV8Y3Q3qu,Fri Apr 21 17:32:42 +0000 2017
football,SaydoonSayed,"RT @AJENews: Israel using back-door diplomacy to avoid FIFA sanctions over settlement football clubs, says a Palestine official https://t.c…",Fri Apr 21 17:32:42 +0000 2017
football,imnotexcited___,RT @BleacherReport: Clemson's new football facility is fit for a champion 👀 https://t.co/1QLpV5r9DB,Fri Apr 21 17:32:42 +0000 2017
