category,user,tweet,time
fun,kevinberryxxx,"@lphaEditor Thanks, @lphaEditor. I'm writing middle grade interactive fiction at the moment. That's lots of fun :-)… https://t.co/QjEOTT7kTn",Sat Apr 22 03:10:05 +0000 2017
fun,That_MikeyMo23,Going to be a fun season at this rate,Sat Apr 22 03:10:04 +0000 2017
fun,noah1020moreno,Alamo Heights Night Out was fun! 🙂,Sat Apr 22 03:10:04 +0000 2017
fun,LipssoSoft1,"RT @Tropsontheteam: Y'all boring y'all just want a boo that'll party with you parties aren't even fun Im tryna go sky diving,hiking or stuf…",Sat Apr 22 03:10:04 +0000 2017
fun,kayypattt,I'm just having fun and enjoying the view,Sat Apr 22 03:10:03 +0000 2017
fun,RAYNEVARGAA,"RT @iamnateadamz: #JackieChanRemix by @foggieraw.

we had fun w/ this one 😈 https://t.co/PQBOSwbvah",Sat Apr 22 03:10:03 +0000 2017
fun,blastkat,RT @eoff_sylvia: @ArturTRibeiro @Sylv33 @CPettle @amicalemou @Rynkman @avrilbrise74 @blastkat @hayatemaruhime @noveliciouss Lovely roses th…,Sat Apr 22 03:10:02 +0000 2017
fun,jahnke_deven,This Jackson is pretty nice; I took about an hour and had some fun. 🙃https://t.co/TPv2jvjxaw @JacksonGuitars @Toontrack,Sat Apr 22 03:10:02 +0000 2017
fun,emmelizabeth_,"RT @emaleerose3: lurking is fun and all until you see something you didn't want to, even if it's what you were looking for in the first pla…",Sat Apr 22 03:10:02 +0000 2017
fun,MariiaaHernnde1,"RT @Harry_Styles: Hello.
My album is available to pre-order now. 
How fun. H 

https://t.co/PxtIIEkySR",Sat Apr 22 03:10:02 +0000 2017
fun,kurtla321,"RT @cali_jetfan: Fun Fact - Pavarotti's family denies ANY friendship w/ @realDonaldTrump, and has asked him to stop using Pavarotti music a…",Sat Apr 22 03:10:02 +0000 2017
fun,LGHeloRides,RT @vncnt_csmr: The March for Science is shaping up to be a fun reunion for all my friends on Facebook who love horoscopes and are scared o…,Sat Apr 22 03:10:02 +0000 2017
fun,joshpv27,This Houston OKC series is like war each game and damn it's fun to watch,Sat Apr 22 03:10:02 +0000 2017
fun,litttt__,RT @UrFavritAsshole: CANCER: STAY SINGLE AND HAVE FUN. LOVE AINT FOR U RIGHT NOW. LOVE URSELF FIRST AND LOVE WILL EVENTUALLY FIND U HOE,Sat Apr 22 03:10:01 +0000 2017
