category,user,tweet,time
html,BDeshbot,"RT @ESPNcricinfo: Shakib Al Hasan has been appointed Bangladesh's new T20I captain

https://t.co/vQN13HejK7",Sat Apr 22 17:34:55 +0000 2017
html,SleekMoneycom,Somewhat Favorable News Coverage Likely to Affect Navigant Consulting $NCI Share Price https://t.co/psRWC0qftj,Sat Apr 22 17:34:55 +0000 2017
html,RDM846,"Global Strong Cities Cold War: Series 5,:“Defining our Social Decline”, Bite #23 Pearls Poems https://t.co/FArlgWYRqZ",Sat Apr 22 17:34:55 +0000 2017
html,mirakshin,RT @KitPloit: DBShield - Database Firewall Written In Go https://t.co/nnjSyBq0Ks #Database #DBShield #Exploits https://t.co/5ZrzLzDYPY,Sat Apr 22 17:34:55 +0000 2017
html,eedsonvalle,Scientists are developing Star Wars-style technologies to farm drinking water out of the... https://t.co/LtS97jxwDX… https://t.co/gY6Raeu9Co,Sat Apr 22 17:34:55 +0000 2017
html,nbc6,"RT @NBC6Sports: #MarchforScience: Scientists Hit the Streets to Demand Respect, Funding https://t.co/xr6Pd9xrIA via @nbc6",Sat Apr 22 17:34:55 +0000 2017
html,jellison7,RT @AHTribune: Dr Jean Bricmont: NATO is the armed wing of the United States https://t.co/drN3e3FAEJ @PaulCraigRobert @sahouraxo @SameeraKh…,Sat Apr 22 17:34:55 +0000 2017
html,wlwsoftball,WL Western Lady Warriors at Riverview Pirates has started. Go to https://t.co/PzkuVeOuy4 to watch the game live.,Sat Apr 22 17:34:55 +0000 2017
html,WatchlistN,Agenus Inc $AGEN Expected to Announce Quarterly Sales of $5.22 Million https://t.co/vGBsT6D32L,Sat Apr 22 17:34:54 +0000 2017
html,LuzMaryCardona5,"RT @nytimes: The Trump administration warned ""sanctuary cities"" it would withhold aid if they don't comply with immigration rules https://t…",Sat Apr 22 17:34:54 +0000 2017
html,airwaving,@WaysandMeansGOP Got courage? :https://t.co/EibjAsRZQQ,Sat Apr 22 17:34:54 +0000 2017
html,venyenteratehoy,This introverted science marcher is so mad he's 'outside with people' https://t.co/7FgzJLTcLR https://t.co/HlzS7XrvZh,Sat Apr 22 17:34:54 +0000 2017
