category,user,tweet,time
jobs,UKAnalystJobs,#jobs #analyst Trade Floor Support Analyst https://t.co/MqMH1NpLec,Sat Apr 22 10:22:03 +0000 2017
jobs,PJSARD1,@CNN Congress do not fund this wall ! Do your jobs and stop this waste of my tax money !,Sat Apr 22 10:22:02 +0000 2017
jobs,Emerson_Careers,"We're #hiring! Click to apply: Entry Level Financial Analyst - https://t.co/g5doZ2sopP #BusinessMgmt #Austin, TX #Job #Jobs",Sat Apr 22 10:22:01 +0000 2017
jobs,ElClasificado,Want to work at EC Hispanic Media? We're #hiring in CA! Click for details: https://t.co/i4W5ZEN39l #ecmediajobs #wedoitinspanish #Media,Sat Apr 22 10:22:01 +0000 2017
jobs,SentryCareers,"Interested in a #job in #StevensPoint, WI? This could be a great fit: https://t.co/7x8R5WqtS7 #Hospitality #Hiring",Sat Apr 22 10:22:01 +0000 2017
jobs,Syedhussainn,"@kabalkhail22 Educate your people instead of pushing them into jobs they are not qualified for guys come on, this is not employment.",Sat Apr 22 10:21:55 +0000 2017
jobs,Millea_07G,"""Our jobs are our precious gifts from god. So we've got to do our best. I'm sure that someday you'll find your job, too."" - Sister Athena",Sat Apr 22 10:21:54 +0000 2017
jobs,AHSoCal_Jobs,"Want to work in #LosAngeles, CA? View our latest opening: https://t.co/UpSGZOTlGz #RN #Job #Jobs #Hiring https://t.co/7LMMoDWo2v",Sat Apr 22 10:21:53 +0000 2017
jobs,NickPoole1,RT @HLLibResearch: Interested in working in Parliament? We have 3 great jobs available in the Lords Library #cilip #libraryjobs https://t.c…,Sat Apr 22 10:21:52 +0000 2017
jobs,memphis__jobs,#Memphis #TN #USA - RN - Travel Registered Nurse - TELE Nights - Bestaff is urgently seeking an exper... https://t.co/Z8SkHJqSlK #WORK #JOB,Sat Apr 22 10:21:51 +0000 2017
jobs,ePlusJobs,"Can you recommend anyone for this #job in #Raleigh, NC? https://t.co/MOKWY45HGc #Sales #Hiring",Sat Apr 22 10:21:51 +0000 2017
jobs,andrew_1910,RT @IanDunt: More scare mongering from the Remoaner saboteurs at The Sun https://t.co/YKkhoFnrh4,Sat Apr 22 10:21:45 +0000 2017
jobs,coolhoodieshirt,"all i want to do is farm drive my tractor a, Order HERE ==&gt; https://t.co/QeIj8UpU47,  #renegadelife #jeepsafari… https://t.co/dvwfPRSGw5",Sat Apr 22 10:21:44 +0000 2017
jobs,digitalanalyst,Help! Industry defining jobs dn. A) Build out for residual $ or B) Approach multi $bn industry leader? @DInvesting @DomainShane @thedomains,Sat Apr 22 10:21:44 +0000 2017
jobs,howserv,@LabourNOTTory @Dear_O_Dear @Stephen03801631 @johnmcdonnellMP It's stupidity. To gain maximum taxes from rich lower… https://t.co/aDO9Z4DD6F,Sat Apr 22 10:21:44 +0000 2017
jobs,ifindinternship,"RT @BakerHughesJobs: Interested in a #job in #Houston, TX? This could be a great fit: https://t.co/sBALmNMefQ #Energy #Hiring",Sat Apr 22 10:21:43 +0000 2017
jobs,osho_mantra,"RT @deyselindra: Steve Jobs, Albert Einstein, and Richard Branson exposed this #secret https://t.co/1wt1A6Q2EC #loa https://t.co/6ko8EbCcmT",Sat Apr 22 10:21:42 +0000 2017
jobs,tmj_ger_jobs,"Want to work in #Ulm, BW? View our latest opening: https://t.co/FrvqHwlSxD #Job #Jobs #Hiring #CareerArc",Sat Apr 22 10:21:41 +0000 2017
jobs,FinancejobsNow,"Financial Accountant in City of London, https://t.co/5i8QUyJUKT #financejobs #accountingjobs #jobs",Sat Apr 22 10:21:41 +0000 2017
jobs,HMSHostCareers,"Join the HMSHost team! See our latest #job opening here: https://t.co/CyxdfRjWft #barista #Hospitality #Orlando, FL #Hiring",Sat Apr 22 10:21:40 +0000 2017
jobs,FinancejobsNow,"Sub-Contract Ledger Clerk in Manchester, https://t.co/epEfmgHGpL #financejobs #accountingjobs #jobs",Sat Apr 22 10:21:40 +0000 2017
jobs,dilichukwuemeka,RT @adeyemibowale: This government is becoming too much of a crowd. Many jobless aides appointed to show of gratitude for hatchet jobs done…,Sat Apr 22 10:21:40 +0000 2017
jobs,nochunut,"Rap line aka bias list wreckers did their jobs today. After the concert is a good time to post a selca, internation… https://t.co/mxhI1hiuOT",Sat Apr 22 10:21:39 +0000 2017
jobs,FinancejobsNow,"Finance Manager in Swindon, https://t.co/NkCd8rdocH #financejobs #accountingjobs #jobs",Sat Apr 22 10:21:39 +0000 2017
