category,user,tweet,time
manager,ElbitUS_Careers,Can you recommend anyone for this #job? Senior Medical Device Account Manager - https://t.co/A8rPNutyRI #Sales… https://t.co/6UN846SQxU,Sun Apr 23 01:11:25 +0000 2017
manager,DoyonJobs,This #job might be a great fit for you: Food and Beverage Manager - https://t.co/KTpnFlJALl #Hospitality… https://t.co/g1UpZbcQAC,Sun Apr 23 01:11:24 +0000 2017
manager,Seekerotruth,RT @ilangoldenberg: 1. Tillerson getting better at influencing Trump &amp; public engagement. But as a manager of the department an unprecedent…,Sun Apr 23 01:11:22 +0000 2017
manager,EmploiBruxelles,"CDI #Bruxelles - Account Manager Industrie/Packaging 
https://t.co/GjR2j6SG2B",Sun Apr 23 01:11:20 +0000 2017
manager,jcmorganauthor,RT @KathrynBomey: Excited to share that I’ve started a new role as The Nature Conservancy’s U.S. Policy Communications Manager! (Happy to j…,Sun Apr 23 01:11:20 +0000 2017
manager,lautanjobs,Community &amp; Marketing Manager Job at Mcleod backpackers https://t.co/BYPIWBkYxU / India #India #Jobs #JobSeekers #Employment #Recruiting #…,Sun Apr 23 01:11:19 +0000 2017
manager,lautanjobs,Assistant Manager(Project Sales) Job at AVTAR Career Creators https://t.co/TwiFFXOPtL / India #India #Jobs #JobSeekers #Employment #Recrui…,Sun Apr 23 01:11:18 +0000 2017
manager,lokolKingston,RT @YGKisHiring: Account Manager (#CA-ON-Kingston) #kingstonishiring https://t.co/9LNwyoP47H,Sun Apr 23 01:11:17 +0000 2017
manager,enviosmasivosni,"HOME MANAGER, Visite nuestro Blog https://t.co/0vnL4d9Vjf  #Managua #Nicaragua https://t.co/TddPqIuh0V 4",Sun Apr 23 01:11:13 +0000 2017
manager,harmonygrandee,thats her manager ctfu https://t.co/cxbGTuEJRN,Sun Apr 23 01:11:03 +0000 2017
manager,Steveyork64,"RT @Ellis_Prince: Gutted the @AFCTotton season is over. The players, permanent and loans and manager deserve massive credit for keeping us…",Sun Apr 23 01:11:01 +0000 2017
manager,MizrahiLo,RT @soldier_777: Justice for defenceless doggie thrown in crushing machine on orders of hotel manager! Plz sign: https://t.co/KlXZiibfzZ ht…,Sun Apr 23 01:10:59 +0000 2017
manager,DahDopeObanz,"RT @danlevene: I like Pochettino. And he's got Spurs playing great football. But he's been a manager eight years, and never won a thing. Wh…",Sun Apr 23 01:10:57 +0000 2017
manager,Kiingtomng,"RT @Kiingtong: @abracaydabra You have officially been banned from entering, i am their manager.",Sun Apr 23 01:10:56 +0000 2017
manager,Djnorman1720,#Associate #Project Manager needed in #Anaheim at #Disney. Apply now! #job https://t.co/My2iCfAqLp #DisneyJobs https://t.co/lG8RqaFQzC,Sun Apr 23 01:10:51 +0000 2017
manager,yungbrianna,RT @tgabriellat: I wonder if my manager can see in my eyes I wanna be cut everytime I look at her,Sun Apr 23 01:10:51 +0000 2017
manager,OFPantherFB,RT @CamdenJackson58: Two players taking their favorite manager to Prom @OFPantherFB,Sun Apr 23 01:10:48 +0000 2017
manager,tigertrollz2,"RT @USAAssociation: ""He's the Greatest Deal Maker Our Country has ever seen.""  @POTUS former campaign manager, Corey Lewandowski, defends P…",Sun Apr 23 01:10:40 +0000 2017
manager,ETRADEcareers,"Join the E*TRADE team! See our latest #job opening here: https://t.co/f1rV2VkM2V #Accounting #Arlington, VA #Hiring",Sun Apr 23 01:10:40 +0000 2017
manager,FrogLacrosse,Frog manager group planned a amazing meal for all the teams. Always a blast hanging with the Frog families! https://t.co/DjKWdsuIW8,Sun Apr 23 01:10:39 +0000 2017
manager,camelcamelcamel,@RevDJpriest Blood Bowl Team Manager - The Card Game is now on sale for £67.03 at Amazon. Product page: https://t.co/bVFPuW9WLM,Sun Apr 23 01:10:33 +0000 2017
manager,bjonxs,RT @tydoeee: Ledo's social media manager def need a raise,Sun Apr 23 01:10:30 +0000 2017
manager,viewsft6ix,"RT @sjalynnmayree: dear Can I Speak to a Manager Moms stop bein an ass to cashiers, baristas, waiters, etc if u dnt like mild inconvenience…",Sun Apr 23 01:10:27 +0000 2017
manager,amandsst,Adam Johnson: Sunderland manager Sam Allardyce pleads ignorance over former player's guilt #AdamJohnson https://t.co/wHnTIf6wLj,Sun Apr 23 01:10:26 +0000 2017
manager,mdcolli,RT @ilangoldenberg: 1. Tillerson getting better at influencing Trump &amp; public engagement. But as a manager of the department an unprecedent…,Sun Apr 23 01:10:20 +0000 2017
manager,CakeJobs,This #job might be a great fit for you: Military Culinary Specialist - Nationwide Kitchen Manager... -… https://t.co/FTjYL1pLfu,Sun Apr 23 01:10:20 +0000 2017
manager,TopnotchC_,I literally clock in at 2:59 &amp; clock out at 10:59 my manager be like Charrod that's not your schedule😂,Sun Apr 23 01:10:11 +0000 2017
manager,Collegaegezocht,"#JouwBaan #vacature Regional Manager
https://t.co/GQ20Yz4PgN
 #Vermeer EMEA",Sun Apr 23 01:10:10 +0000 2017
manager,Ninjagangsta061,@IsiahDaSessi @Will_Dominguez9 Can't I'm the only manager,Sun Apr 23 01:10:09 +0000 2017
manager,ConorConorwcorc,@chinweduru Yeah @chinweduru I got you. As a team manager being a hype man is my #1 job. Keep playing basketball be… https://t.co/5Fgc6qzgIC,Sun Apr 23 01:10:05 +0000 2017
manager,FSMidwest,".@SportingKC manager Peter Vermes: ""We have to be a little quicker with the ball."" #SportingKC #WeTogether https://t.co/ylgDZDvSaG",Sun Apr 23 01:10:05 +0000 2017
manager,Porsha100_,"I burnt myself at work today and was crying 30 minutes straight until my manager told me I can go home early, I'm so extra😭😭😭😭",Sun Apr 23 01:10:00 +0000 2017
manager,weareteamtrump,"Can you recommend anyone for this #job in #Toronto, ON? https://t.co/K0o0D10oC8 #Marketing #Hiring",Sun Apr 23 01:09:58 +0000 2017
manager,porridgeisgood,RT @smile_of_decade: As a retired social work manager it is my duty to inform you that after 7 Tory years. Social care is defunded to the p…,Sun Apr 23 01:09:50 +0000 2017
manager,ag00diez,My manager wants me to go work in sac this Thursday mmmm 🤔,Sun Apr 23 01:09:42 +0000 2017
manager,WHBMCareers,"If you're looking for work in #LosGatos, CA, check out this #job: https://t.co/FXN1m4tvjd #Retail #Hiring",Sun Apr 23 01:09:38 +0000 2017
manager,KickButtowski__,RT @tydoeee: Ledo's social media manager def need a raise,Sun Apr 23 01:09:36 +0000 2017
manager,koch_ajkoch9231,@tlschwerz side note: who do you think would be a better manager? Torii Hunter or Doug Mientkiewicz?,Sun Apr 23 01:09:29 +0000 2017
manager,kapergirl,"RT @CwoodMarketYeg: Only 15 more days until opening Sunday! Our market manager Wayne says he ""could open tomorrow"" that's how ready we are!…",Sun Apr 23 01:09:22 +0000 2017
manager,manager_pine,@ablossomwitch Are you hungry?,Sun Apr 23 01:09:20 +0000 2017
manager,HobbyLobbyJobs,This #job might be a great fit for you: #086 Midland Co-Manager - https://t.co/nH2kUMMsz5 #management #Manager… https://t.co/oy3oMsfAqo,Sun Apr 23 01:09:20 +0000 2017
