category,user,tweet,time
market,tokidokizenzen,"End of tangent. After the farmers market, we went to Momiji for lunch and I got a mini tekka maki and shared some sunomono w/ @PaganVixen.",Sun Apr 23 03:14:56 +0000 2017
market,Cream_Chay,"RT @CorruptedGabe: In celebration of making playoffs, I'll be giving away a 20XX Black Market Decal! Follow, Retweet and Like to enter! htt…",Sun Apr 23 03:14:55 +0000 2017
market,UrbanOreganics,Happy Earth Day! Check out how BayBee Boutique is doing their part (including using our reusable market tote)! https://t.co/5JbR2SiXGj,Sun Apr 23 03:14:52 +0000 2017
market,hab4evr,"RT @TheFourthPeriod: I'll give all the Pacioretty beef a bye, given market/fan base... Time to shift that BS beef to the real issues: lack…",Sun Apr 23 03:14:50 +0000 2017
market,mergerinvesting,Mattel: Worsening Performance Necessitates Merger With Hasbro - Seeking Alpha… https://t.co/ab6qA27D0X #market,Sun Apr 23 03:14:44 +0000 2017
market,jongineous,RT @smolfluffysoo: every sm stans dream place: sum market 👌🏻 https://t.co/6CNrVJn2Yn,Sun Apr 23 03:14:42 +0000 2017
market,pumphsauce,RT @TheSafestSpace: Here's another idea to boost inclusivity: don't market yourself as a queer-only gym 🐵 https://t.co/ZqYN3Kb5UC,Sun Apr 23 03:14:41 +0000 2017
market,n2kbk,RT @WirelessHold: Introducing Hytera AR685 to the American amateur radio market - professional quality #DMR #hamradio https://t.co/2jMSlppn…,Sun Apr 23 03:14:40 +0000 2017
market,RNorthfield,Excited about our newest listing in South Orange. Coming on the market next week. Love the… https://t.co/C4oGXLwTXg,Sun Apr 23 03:14:39 +0000 2017
market,GenXtremist,@BenHooperWrites Actually I was going to ask the going rate on a family of Christians these days...market must be a bit soft.,Sun Apr 23 03:14:39 +0000 2017
market,ADiMarco25,"RT @TheFourthPeriod: I'll give all the Pacioretty beef a bye, given market/fan base... Time to shift that BS beef to the real issues: lack…",Sun Apr 23 03:14:37 +0000 2017
market,smirqx_,I'm at Tesco Lotus Market Bosang https://t.co/PZXbqrosu6,Sun Apr 23 03:14:37 +0000 2017
market,Thearst,"@MikeTaylorShow @spurs Start by waiving Manu and putting LMA on the market, just not a good fit here",Sun Apr 23 03:14:37 +0000 2017
market,karinetrenne,Hyde Park &amp; Borough Market at London https://t.co/gwRWiHNTNk,Sun Apr 23 03:14:35 +0000 2017
market,OfficialShavon_,RT @TrentonPinson: Took her off the market. 💍 Got engaged to my best friend today! https://t.co/irBenG3xh0,Sun Apr 23 03:14:34 +0000 2017
market,MiwSONE,"RT @hyori_sunie: 170422 Jessica left flea market. A lot of (female) fans were waiting for her 😂
Cre: _kimeonoo https://t.co/xXO9BJcMyE",Sun Apr 23 03:14:33 +0000 2017
market,mlnangalama,"Emerging-market assets will keep beating their developed peers, say analysts https://t.co/MAo1Y2mWVq https://t.co/iy9IJN72kl",Sun Apr 23 03:14:31 +0000 2017
market,HowardNewUK,RT @TheSafestSpace: Here's another idea to boost inclusivity: don't market yourself as a queer-only gym 🐵 https://t.co/ZqYN3Kb5UC,Sun Apr 23 03:14:31 +0000 2017
market,oohlightseu,RT @smolfluffysoo: every sm stans dream place: sum market 👌🏻 https://t.co/6CNrVJn2Yn,Sun Apr 23 03:14:28 +0000 2017
market,Trades_are_hard,"RT @TheFourthPeriod: I'll give all the Pacioretty beef a bye, given market/fan base... Time to shift that BS beef to the real issues: lack…",Sun Apr 23 03:14:27 +0000 2017
market,SherryFLRealtor,RT @business: 10 ways to get a good return on your cash without going near the stock market https://t.co/OgkzuhFEdF https://t.co/IQPDV6aUUL,Sun Apr 23 03:14:25 +0000 2017
market,anbuteau,"RT @business: Emerging-market assets will keep beating their developed peers, say analysts https://t.co/lglI6lIcEI https://t.co/AIroN5Ws72",Sun Apr 23 03:14:20 +0000 2017
market,mccnlightave,"I'm selling my uterus on the black market, anyone interested?",Sun Apr 23 03:14:17 +0000 2017
market,saddolphinrl,"RT @CorruptedGabe: In celebration of making playoffs, I'll be giving away a 20XX Black Market Decal! Follow, Retweet and Like to enter! htt…",Sun Apr 23 03:14:14 +0000 2017
market,juanadeanfx,"If you put your money in the bank, you get 2-5% a year. But in Forex it's possible to make 100%-1000% a month easily #MT4Platform #Market",Sun Apr 23 03:14:13 +0000 2017
market,adrien_fx,"If you put your money in the bank, you get 2-5% a year. But in Forex it's possible to make 100%-1000% a month easily #MT4Platform #Market",Sun Apr 23 03:14:12 +0000 2017
market,jcr914,RT @peoplerawful: @JoyAnnReid One of many Obama-referencing signs at Le Moulin de Provence in Byward Market in Ottawa. https://t.co/mBZwCck…,Sun Apr 23 03:14:12 +0000 2017
market,agnes_gugi,RT @smolfluffysoo: every sm stans dream place: sum market 👌🏻 https://t.co/6CNrVJn2Yn,Sun Apr 23 03:14:11 +0000 2017
market,MatthewWolfff,RT @TheEconomist: Much uncertainty still remains in the French elections. And that points to a lot more market volatility https://t.co/XwFN…,Sun Apr 23 03:14:10 +0000 2017
market,karinetrenne,Hyde Park &amp; Borough Market at London https://t.co/vQmLvKIzy2,Sun Apr 23 03:14:10 +0000 2017
market,TheOneRealGumby,"RT @CorruptedGabe: In celebration of making playoffs, I'll be giving away a 20XX Black Market Decal! Follow, Retweet and Like to enter! htt…",Sun Apr 23 03:14:10 +0000 2017
market,nicktay,"This Harvard Grad's Startup Is Disrupting the $1 Trillion Dollar Healthcare Market
https://t.co/jo3jNkxcDP https://t.co/42TvSpnmiC",Sun Apr 23 03:14:08 +0000 2017
market,ramsonpiter,RT @BamLuxury: Living Large with  @CBS https://t.co/37ekDl5rxk,Sun Apr 23 03:14:04 +0000 2017
market,haalleeeyyy,But the real sad thing here is that David Henrie is off the market now https://t.co/aDQX7LnuP2,Sun Apr 23 03:14:04 +0000 2017
market,TheFourthPeriod,"I'll give all the Pacioretty beef a bye, given market/fan base... Time to shift that BS beef to the real issues: lack of scoring depth/top C",Sun Apr 23 03:14:03 +0000 2017
market,LjubicaKrpan,RT @MarketMilton: We are 25 days away from the #MiltonON Farmers' Market opening on Main St! Check out our new &amp; returning Vendors at https…,Sun Apr 23 03:14:02 +0000 2017
market,henrydwyer,"RT @Racing: He Dominated the market, and he dominated the race. The Dominator looks a promising hurdler!

Results: https://t.co/7XSSmLK6CH…",Sun Apr 23 03:13:50 +0000 2017
market,jmrozada,Samsung Galaxy S8 review: this simply irresistible phone is the best on the market https://t.co/DVWGL2mSjz via @WIRED,Sun Apr 23 03:13:44 +0000 2017
market,aeri_anne,RT @smolfluffysoo: every sm stans dream place: sum market 👌🏻 https://t.co/6CNrVJn2Yn,Sun Apr 23 03:13:44 +0000 2017
market,leylaamur,"RT @WasHatti: Turkey’s tourism industry unable to rally amid downturn: “the only loser in this market” 

@WasHatti 

https://t.co/dJ9hpNhSGr",Sun Apr 23 03:13:41 +0000 2017
market,DoesSpiderHaveP,RT @AvatarBazaar: Make Money Online Exploiting Internet Market Inefficiencies https://t.co/evJdA3q9aN,Sun Apr 23 03:13:41 +0000 2017
market,AWALT_FBGM,RT @TheSafestSpace: Here's another idea to boost inclusivity: don't market yourself as a queer-only gym 🐵 https://t.co/ZqYN3Kb5UC,Sun Apr 23 03:13:41 +0000 2017
market,Virtualworld9,"RT @hyori_sunie: 170422 Jessica left flea market. A lot of (female) fans were waiting for her 😂
Cre: _kimeonoo https://t.co/xXO9BJcMyE",Sun Apr 23 03:13:40 +0000 2017
market,ynot212,"RT @business: Emerging-market assets will keep beating their developed peers, say analysts https://t.co/lglI6lIcEI https://t.co/AIroN5Ws72",Sun Apr 23 03:13:40 +0000 2017
market,SunandMoon76,"RT @HillaryWarnedUs: ""The US is the 2nd biggest market for illegal ivory. China is going to be a key player, but we are too. Old ivory need…",Sun Apr 23 03:13:37 +0000 2017
market,flights_global,Huge Potential Market In Rural Areas Of Solar Water Heater https://t.co/M8IGgfqxoX,Sun Apr 23 03:13:36 +0000 2017
market,FlightsGlobal1,Huge Potential Market In Rural Areas Of Solar Water Heater https://t.co/PDw5xhxLoM,Sun Apr 23 03:13:36 +0000 2017
market,moto_cruiser,LED lights built into a real rebelyellbourbon barrel from @flyingtigermoto! @ Fair Market https://t.co/38ZC1K37TV,Sun Apr 23 03:13:33 +0000 2017
market,CoryBsoleil,RT @Ealvarezfight: WoW  BS !!! Gotta build that Scottish Market tho !!!,Sun Apr 23 03:13:30 +0000 2017
market,maddieaddieade,"Tbh at this point I just want someone who'll go to concerts with me, come to the farmers market and hold my hand also kiss my face ok",Sun Apr 23 03:13:29 +0000 2017
market,RobertONeill31,"If the market for PK Subban was an overpaid Canadian defenceman, Stan should have given the Habs Seabrook.",Sun Apr 23 03:13:29 +0000 2017
market,MehmoodKhan,Emerging world is favourite:https://t.co/5JUdxypPoe,Sun Apr 23 03:13:27 +0000 2017
market,XRIM,"#XRIM #MONEY business

Emerging-market assets will keep beating their developed peers, say analysts https://t.co/psIxq2l9BK …",Sun Apr 23 03:13:25 +0000 2017
market,FonsecaRasmus,Awesome people on Market Street #marchforsciencesf https://t.co/z8lDbacabd,Sun Apr 23 03:13:23 +0000 2017
market,westindiebby,"RT @ztsamudzi: ""Neoliberal"" has been used widely since the early 20th century and was created and popularized by economists to describe mar…",Sun Apr 23 03:13:23 +0000 2017
market,FlightsGlobal1,"#Huge #Potential #Market In #Rural #Areas Of #Solar #Water #Heater

https://t.co/PDw5xhxLoM
#CheapFlights #Sanya",Sun Apr 23 03:13:21 +0000 2017
market,Cybrarian64,"RT @giokinky: I'm at Gorton market tomorrow again and it's great to see @georgegalloway flyers about the place, not seen any of Khan's 😀 ht…",Sun Apr 23 03:13:20 +0000 2017
market,Nparand,Mid city Makers market!,Sun Apr 23 03:13:20 +0000 2017
market,Model_Omega,"RT @ztsamudzi: ""Neoliberal"" has been used widely since the early 20th century and was created and popularized by economists to describe mar…",Sun Apr 23 03:13:17 +0000 2017
market,MohanishWaghole,Next week ahed world financial market consolidat currency war start $ and France election.......,Sun Apr 23 03:13:16 +0000 2017
market,neentx,@mikeyesh @philsfanin804 Hi Mike! At Bat blacks you out of watching some places but the radio broadcast is there. I… https://t.co/1vaw1qSnYu,Sun Apr 23 03:13:15 +0000 2017
market,jorgefreay,"RT @business: Emerging-market assets will keep beating their developed peers, say analysts https://t.co/lglI6lIcEI https://t.co/AIroN5Ws72",Sun Apr 23 03:13:15 +0000 2017
market,atchutneelam,"RT @CubicleWarrior_: @DavidMigoya Hi David, have you been paying attention to the mortgage market lately? It's going to become an issue htt…",Sun Apr 23 03:13:13 +0000 2017
market,MdMegCloset,I just added this to my closet on Poshmark: White House Black Market Blouse. https://t.co/FDWYMwkzpw via @poshmarkapp #shopmycloset,Sun Apr 23 03:13:12 +0000 2017
market,stockwatch71,RT @mrcbishop: My pleasure ! Looking forward to expanding to the UK market. https://t.co/A9915ont7y,Sun Apr 23 03:13:12 +0000 2017
market,dua_ishan,"RT @CorruptedGabe: In celebration of making playoffs, I'll be giving away a 20XX Black Market Decal! Follow, Retweet and Like to enter! htt…",Sun Apr 23 03:13:12 +0000 2017
market,nickvandoorn,Victoria real-estate market for students in a nut shell: fuck you and go fuck yourself,Sun Apr 23 03:13:11 +0000 2017
