category,user,tweet,time
nba,peepeelongway,"Dude has clear frame glasses and nba socks on, prob not scott but still not not scott, grey area, i might ask him,",Sat Apr 22 23:10:01 +0000 2017
nba,Naj_bubaa,RT @NBA: John Wall is a full-time magician. #DCFamily https://t.co/5MlgQbR5IX,Sat Apr 22 23:10:01 +0000 2017
nba,_blackhiiippy_,"RT @sreekyshooter: bae: come over
Pop: can't I'm busy
bae: I'm a skilled international player likely to be available in the 2nd round of th…",Sat Apr 22 23:10:01 +0000 2017
nba,ClamBucketz,RT @NBA: John Wall is a full-time magician. #DCFamily https://t.co/5MlgQbR5IX,Sat Apr 22 23:10:01 +0000 2017
nba,B__Tyson,RT @NBA: DeMar DeRozan drops 15 of his 21 PTS in Q2 of Game 4. #WeTheNorth https://t.co/czSyIcHXUP,Sat Apr 22 23:10:00 +0000 2017
nba,DarienAvery,RT @HoopMixOnly: John Wall ain't playing around with these boys https://t.co/oquGSsoNoI,Sat Apr 22 23:09:59 +0000 2017
nba,Justin_Viana,RT @WorIdStarLaugh: John Wall doing the Hawks dirty with this move and dunk! 😳😷  https://t.co/a7rNy6hGRY,Sat Apr 22 23:09:59 +0000 2017
nba,MikeWimer2,"@fmaddenNBA Agreed, but in today's NBA need more than 4 combined points in 48 combined mins from PG Delly and Brogdon.",Sat Apr 22 23:09:59 +0000 2017
nba,smexymexy2,"RT @sreekyshooter: bae: come over
Pop: can't I'm busy
bae: I'm a skilled international player likely to be available in the 2nd round of th…",Sat Apr 22 23:09:59 +0000 2017
nba,adam_sheets1,.@Bucks are by far the most savage team in the NBA #FearTheDeer,Sat Apr 22 23:09:58 +0000 2017
nba,CoachTaeGibbs,2011 NBA Draft class one of the best ever?? 🤔,Sat Apr 22 23:09:58 +0000 2017
nba,alec_kwait,Next year's sole purpose should be try to get Kenny to the NBA https://t.co/rchM82ENyp,Sat Apr 22 23:09:58 +0000 2017
nba,ivanowpr,"RT @ringer: Dwight Howard is the embodiment of the American Dream, really https://t.co/cZWMA1KDms https://t.co/h9TasOdAMa",Sat Apr 22 23:09:57 +0000 2017
nba,justin_miller96,RT @NBABeLike: John Wall is too clean 😧 https://t.co/EC50wVJLlg,Sat Apr 22 23:09:57 +0000 2017
nba,MikheevTuvim,RT @BenRyanMetzger: #NBAPlayoffs History NEW SONG #DefendTheLand Turn It On CLEVELAND @Cavs SPACEJAMSLAM @Pacers @KingJames @NBA Dance Danc…,Sat Apr 22 23:09:57 +0000 2017
nba,Shiva2959,"RT @sreekyshooter: bae: come over
Pop: can't I'm busy
bae: I'm a skilled international player likely to be available in the 2nd round of th…",Sat Apr 22 23:09:57 +0000 2017
nba,LowLifeMalto,RT @NiggaCommentary: John Wall ain't playing games with these boys https://t.co/JISvNKcLIi,Sat Apr 22 23:09:56 +0000 2017
nba,matthsinger,"RT @sreekyshooter: bae: come over
Pop: can't I'm busy
bae: I'm a skilled international player likely to be available in the 2nd round of th…",Sat Apr 22 23:09:56 +0000 2017
nba,Linsanity__03,RT @NBA: John Wall is a full-time magician. #DCFamily https://t.co/5MlgQbR5IX,Sat Apr 22 23:09:56 +0000 2017
nba,JM_DUMARAN_2,"RT @NBA: After Q3 on @ESPNNBA: @okcthunder lead @HoustonRockets 93-83 in Game 3.

Westbrook: 23/10/11
Harden: 31/5/6 https://t.co/JVBiU8e8FV",Sat Apr 22 23:09:56 +0000 2017
nba,baguten,"RT @MensFitness: Yeah, @ChesterBe, the lead singer from Linkin Park, is actually pretty ripped. He loves the @NBA &amp; #NBAPlayoffs too: https…",Sat Apr 22 23:09:56 +0000 2017
nba,_Eduardito07,RT @NBA: John Wall is a full-time magician. #DCFamily https://t.co/5MlgQbR5IX,Sat Apr 22 23:09:55 +0000 2017
nba,coopdoe,RT @NiggaCommentary: John Wall ain't playing games with these boys https://t.co/JISvNKcLIi,Sat Apr 22 23:09:54 +0000 2017
nba,peyton_fryer,RT @NBA: John Wall is a full-time magician. #DCFamily https://t.co/5MlgQbR5IX,Sat Apr 22 23:09:54 +0000 2017
nba,ClamBucketz,Holy Wow...this nigga dropped my jaw! https://t.co/tPQrbzf43Y,Sat Apr 22 23:09:54 +0000 2017
nba,EazazKhan94,RT @NBA: John Wall is a full-time magician. #DCFamily https://t.co/5MlgQbR5IX,Sat Apr 22 23:09:54 +0000 2017
nba,Darian_P2,"RT @NBA: #NBAKicks for Kevin Durant on #NBAonABC 

🔥🔥 https://t.co/KfyUUUrWHT",Sat Apr 22 23:09:54 +0000 2017
nba,JeremiahI_,RT @WorIdStarComedy: John Wall doing the Hawks dirty with this move and dunk! 😳😷 https://t.co/ysYG49apIX,Sat Apr 22 23:09:54 +0000 2017
nba,runninone9,"RT @NBAonTNT: ""He was fair... I played well when he officiated."" 

@SHAQ, @TheJetonTNT and Chuck remember longtime @NBA referee, Jess Kerse…",Sat Apr 22 23:09:53 +0000 2017
nba,JM_DUMARAN_2,"RT @NBA: Lou Williams and Taj Gibson are ""Wireless"" for Game 3 of the #NBAPlayoffs https://t.co/UJ4pKyiIZo",Sat Apr 22 23:09:53 +0000 2017
nba,MakinHistory10,RT @HoopMixOnly: John Wall ain't playing around with these boys https://t.co/oquGSsoNoI,Sat Apr 22 23:09:53 +0000 2017
nba,borii813,RT @WorIdStarComedy: John Wall doing the Hawks dirty with this move and dunk! 😳😷 https://t.co/ysYG49apIX,Sat Apr 22 23:09:52 +0000 2017
nba,yaa_boy_joey,RT @NiggaCommentary: John Wall ain't playing games with these boys https://t.co/JISvNKcLIi,Sat Apr 22 23:09:52 +0000 2017
nba,MrJuggsAlot,RT @NBA: John Wall is a full-time magician. #DCFamily https://t.co/5MlgQbR5IX,Sat Apr 22 23:09:52 +0000 2017
nba,javion_hamlet,That's how you feeling? 🤕 https://t.co/d99KkccvQ2,Sat Apr 22 23:09:51 +0000 2017
nba,JayDiggy,RT @Rotoworld_BK: Blake Griffin (toe) to miss rest of playoffs  https://t.co/jyxOCZJgBC,Sat Apr 22 23:09:51 +0000 2017
nba,adrianng03,RT @WorIdStarLaugh: John Wall doing the Hawks dirty with this move and dunk! 😳😷  https://t.co/a7rNy6hGRY,Sat Apr 22 23:09:51 +0000 2017
nba,DrewDeshuk,RT @TeamLeBron_: Impressive. (via NBA Snapchat) https://t.co/YxXPGv06uD,Sat Apr 22 23:09:51 +0000 2017
nba,stackm10,"RT @BreezZy_EC: If the @warriors win the 2017 NBA championship I'll give everyone who Rts this 20$. Cash or PayPal 💸 

(Must be following)",Sat Apr 22 23:09:51 +0000 2017
nba,j4r__,"RT @NBAonTNT: ""He was fair... I played well when he officiated."" 

@SHAQ, @TheJetonTNT and Chuck remember longtime @NBA referee, Jess Kerse…",Sat Apr 22 23:09:50 +0000 2017
nba,Aqxov,RT @NBA: John Wall is a full-time magician. #DCFamily https://t.co/5MlgQbR5IX,Sat Apr 22 23:09:50 +0000 2017
nba,arowe_15,RT @NBA: John Wall is a full-time magician. #DCFamily https://t.co/5MlgQbR5IX,Sat Apr 22 23:09:49 +0000 2017
nba,ray4zs,"RT @sreekyshooter: bae: come over
Pop: can't I'm busy
bae: I'm a skilled international player likely to be available in the 2nd round of th…",Sat Apr 22 23:09:49 +0000 2017
nba,Ahchwath_Zion,#Milsap is really good! #TrueToAtlanta #NBAPlayoffs2017 #NBA #NBAPlayoffs,Sat Apr 22 23:09:48 +0000 2017
nba,ReggieDAES,RT @BattleRapSlave: When Carmelo calls 😂😂 all his NBA friends tryna avoid him so THEY don't get caught up too! 😂😂😂 #LaLa #Carmelo #NBAPlayo…,Sat Apr 22 23:09:48 +0000 2017
