category,user,tweet,time
nike,nataliastagram_,"RT @miikaazz: Hi, yes. Natalia rocks my Nike shirt like the fucking queen she is 👏🏻👑 https://t.co/8iTmIzcCqR",Sat Apr 22 22:39:59 +0000 2017
nike,BarandatVip,"Nike For Men
Size:40/41/42/43/44/45
Price:45JOD
For Order Please Call:0790150463",Sat Apr 22 22:39:53 +0000 2017
nike,MoSo8OO,"I can't understand people that think that boost is better than Nike running. Nike has zoom, air, Flyknit , presto etc... Come on now",Sat Apr 22 22:39:51 +0000 2017
nike,sauceteam23,RT @mmj_alwayslive: @sauceteam23 Trey Doomes has been an athletic spark plug for Nike Team Florida at session 1. Gives his team an energy p…,Sat Apr 22 22:39:48 +0000 2017
nike,brodeuce_,RT @OGFashion_: Nike Tuned 1 https://t.co/rRrAjMZSAE,Sat Apr 22 22:39:41 +0000 2017
nike,GreatBossMoves,https://t.co/ytW8I43iRh #shoes 2015 Air Jordan Retro Black White Metallic Gold 130690 Nike Men's Size 13,Sat Apr 22 22:39:38 +0000 2017
nike,GreatBossMoves,https://t.co/tvSIbCSd9a #shoes Nike Air Force 1 LA Lakers 2002 Men's Size 14 White Gold Sneakers 624040-173,Sat Apr 22 22:39:38 +0000 2017
nike,GreatBossMoves,https://t.co/LHD6fiQcbx #shoes Nike Air Zoom Flight The Glove Gary Payton  White Black Poison Green Sz 16,Sat Apr 22 22:39:37 +0000 2017
nike,GreatBossMoves,"https://t.co/vZeskxeFsC #shoes Nike Dunk High ""Shima Shima"" High Top Athletic Shoes Sneakers 2003 Size 15",Sat Apr 22 22:39:37 +0000 2017
nike,elliefowler__,Fav shoes? — I love my Nike janoski's but they're getting proper... https://t.co/To9dgDCynT,Sat Apr 22 22:39:36 +0000 2017
nike,GreatBossMoves,"https://t.co/4xPMtVRTmS #shoes Nike Air Pegasus 32 DOS (men's) ___ Size 11.5 __ Last 1, Zoom Angeles 789493 010",Sat Apr 22 22:39:36 +0000 2017
nike,GreatBossMoves,https://t.co/u2iOBli5EZ #shoes Nike Air Vapormax Flyknit Platinum Size 11.5 Vapor Max Air Max,Sat Apr 22 22:39:34 +0000 2017
nike,GreatBossMoves,https://t.co/8aXMUfwKD5 #shoes DS Nike Air Jordan 1 MID Black Grey size 8,Sat Apr 22 22:39:34 +0000 2017
nike,phoebe1416,I just added this to my closet on Poshmark: White Nike Huaraches. https://t.co/vixRZTOc6Z via @poshmarkapp #shopmycloset,Sat Apr 22 22:39:27 +0000 2017
nike,095Leonela,RT @opposingworlds: Nike 😏💥🏃🏻 https://t.co/e9LdokWhh1,Sat Apr 22 22:39:27 +0000 2017
nike,bigcat920,catch me in my black Nike long sleeve.,Sat Apr 22 22:39:27 +0000 2017
nike,ly_trannn,im really at sowo wearing nike shorts,Sat Apr 22 22:39:24 +0000 2017
nike,AndreCatnott,Where Do #Nike &amp; #Redbull Turn For Social Media Results? https://t.co/BXuwgA6joO #sales #instagrammarketing https://t.co/Mqn5vjLDEa,Sat Apr 22 22:39:23 +0000 2017
nike,StatKingz,"StatKingz top Scorers from #NikeEYBL Session 1 Day 1:

4. Marvin Bagley III Nike Phamily (AZ) 27pts",Sat Apr 22 22:39:19 +0000 2017
nike,Gaboys_18,RT @D1Circuit: 17U NIKE EYBL: Nike South Beach (@NikeSouthBeach) (83) at Bradley Beal Elite (@STLEaglesBBall) (88) - FINAL https://t.co/oai…,Sat Apr 22 22:39:16 +0000 2017
nike,OlaosunD,"Nike, you really want to do this? 🙄🙄🙄 https://t.co/zNrI7yudHc",Sat Apr 22 22:39:16 +0000 2017
nike,lalaBandzzz,Y'all all dress the same bout to just start wearing pumas Nike &amp; vans all summer 😭😭😭 🤘🏽🙂,Sat Apr 22 22:39:10 +0000 2017
nike,HotTrends8,#WorldCup #FIFA Nike 2010 World Cup Carlos Bocanegra Jersey https://t.co/WFUXJZH4fH #FootBall #Deals,Sat Apr 22 22:39:08 +0000 2017
nike,TrulovesAnatomy,RT @reIatabIe: Nike you're really out doing yourself 😍😍 https://t.co/qs3pf9k60K,Sat Apr 22 22:39:07 +0000 2017
nike,Shellteezy,Lowkey more excited about the nike x j crew sneakers I copped tho,Sat Apr 22 22:39:03 +0000 2017
nike,johnlchavezl,"RT @newadidas2017: Chuck Taylor All Star x Nike Flyknit All-White
April 27th, 2017
https://t.co/yX0o31PR6U https://t.co/wrub4WZ4DZ",Sat Apr 22 22:39:01 +0000 2017
nike,daniel63071,RT @yeezyboost_nmd: Nike Air More Uptempo 'Incognito' https://t.co/MoIZKFm5mz,Sat Apr 22 22:39:00 +0000 2017
nike,joshtuck13,RT @Giannis_An34: Excited to debut Nike's Come Out of Nowhere series and tell my story!  #nikebasketball https://t.co/QnX0qnG4OI,Sat Apr 22 22:38:59 +0000 2017
nike,BetterProxies,"Nike HyperAdapt 1.0 Black

- 

New York City

Miami 

Chicago

-

Sizes 6/6.5/7/8/9/10/12/13

#BetterProxies https://t.co/TZ3P2Vnoi0",Sat Apr 22 22:38:57 +0000 2017
nike,Ayabukwa_,your network provider is nike ? people live different https://t.co/ZYRLvwd3Nl,Sat Apr 22 22:38:49 +0000 2017
nike,Chappsracing,Great day @ the Nike Rowland Games today. The River was Rolling! Personal bests to open the season! #garbagecanneeded,Sat Apr 22 22:38:45 +0000 2017
nike,texito94,RT @opposingworlds: Nike 😏💥🏃🏻 https://t.co/e9LdokWhh1,Sat Apr 22 22:38:40 +0000 2017
nike,ticolindo44,Sorry @nikestore won't be able to pick up my hypeadapt. Stuck in Hawaii can't make it to Vegas. Appreciate the opportunity #greatness #nike,Sat Apr 22 22:38:40 +0000 2017
nike,CirocPapi_23,RT @kicksonfire: This New Colorway Of The Nike PG 1 Comes With An Olive Suede Upper - https://t.co/6lCjdOewLL https://t.co/wuI9gwjggC,Sat Apr 22 22:38:40 +0000 2017
nike,BlogForTheCause,"Nike Lebron XIII 13 Elite, ""Ready To Battle""  Black/Silver. (831923 001) Size 12 https://t.co/4zHtiOo0BE",Sat Apr 22 22:38:18 +0000 2017
nike,BlogForTheCause,"NWT Nike ""Air Max Plus Tuned 1"" 3M Lunar Train Fuse- Black- 483553-012 - SZ-12.5 https://t.co/Gk9t8tCv2Y",Sat Apr 22 22:38:16 +0000 2017
nike,BlogForTheCause,Nike SB Budweisers Shoes Size 11.5 High Pro https://t.co/fRzbhj7CdM,Sat Apr 22 22:38:16 +0000 2017
nike,darnell_la,"RT @HSBasketballBR: NIKE EYBL 2017:

Jake Forrester 😵😵 @overtime  @begreatjake @PSACardinals #EYBL https://t.co/hHMsJveFJz",Sat Apr 22 22:38:15 +0000 2017
nike,BlogForTheCause,Nike Lebron 8 P.S. Dunkman Metallic Silver Electric Green SZ 10 ( 441946-002 )  https://t.co/B6uRJNaFqR,Sat Apr 22 22:38:15 +0000 2017
nike,BlogForTheCause,Nike Kobe A.D. NXT HMD Men's Size 10.5 https://t.co/MlLjtEAH1Q,Sat Apr 22 22:38:15 +0000 2017
