category,user,tweet,time
product,pybaothi,#hashtag3 Fujifilm FinePix XP90 Shock &amp; Waterproof Wi-Fi Digital Camera (Blue ... https://t.co/TSqxDeTucE https://t.co/mMxQ1MFlzB,Sun Apr 23 04:15:04 +0000 2017
product,Voltimum_AUS,Review: @OsramCOM LIGHTIFY App | https://t.co/xLLX5DYxzN,Sun Apr 23 04:15:04 +0000 2017
product,fdgatecom,[ 26% OFF ] https://t.co/XmUvkPoPuh #Charms Gray Silicone Case For Apple Airpods Air Pods Protective Cover Pouch An… https://t.co/KP4iQCem0N,Sun Apr 23 04:15:04 +0000 2017
product,azemarketing,Southern Enterprises Merrimack Infrared Electric Media Fireplace https://t.co/PLazGwSluf,Sun Apr 23 04:15:04 +0000 2017
product,tacticalshopper,"Galco N3 IWB Holster for S&amp;W M&amp;P, Leather, Right Hand, Black https://t.co/SK57fjV7lu #galco #ccw #cc #2a",Sun Apr 23 04:15:02 +0000 2017
product,GrabCart,"#giftideas Sourcing Solutions 06-027 Ellsworth Tall Corner Etagere - White - RiverRidge Home
https://t.co/qj8rnqAr8e https://t.co/gtURiZd228",Sun Apr 23 04:15:02 +0000 2017
product,RepCarrie,See the must-have new shades in the #mark. By Avon Eye Contact Hook Up Eyeshadow Palette via @AvonInsider… https://t.co/Rsm7CYRCjp,Sun Apr 23 04:15:02 +0000 2017
product,tacticalshopper,Galco SR-PHX104 Right Hand Leather Holster https://t.co/SK57fjV7lu #galco #ccw #cc #2a,Sun Apr 23 04:15:02 +0000 2017
product,ClouDatAI,merapps : Lightning Fast PB-Scale 1ClickBigDataIngestor - https://t.co/VIFxlFsclF  Fundamentals of Data Warehouses : https://t.co/EfXJybtpra,Sun Apr 23 04:15:00 +0000 2017
product,BizPlanEx,Sensory Turtle Pillow https://t.co/kqbnMENoHu #schoolsuppliesandproducts2,Sun Apr 23 04:14:58 +0000 2017
product,PRbuffdotcom,Deluxe High Security Traveller Business-Size Portable Checks https://t.co/MuchvGrK4i #businesssupplies,Sun Apr 23 04:14:55 +0000 2017
product,winncommdotnet,2016 Laser 1095C ACA Health Coverage IRS Copy https://t.co/cPpj12J2T5,Sun Apr 23 04:14:50 +0000 2017
