category,user,tweet,time
reform,mikailfirtinaci,"RT @Lev_Filipowitsc: Milyukov or Kerensky? Not a real choice, both will continue war, fail to act on land reform! Real change is needed! #d…",Sat Apr 22 12:55:18 +0000 2017
reform,silence_kd,"RT @robreiner: 100 days: no wall,no Muslim ban,no health care,no tax reform,no infrastructure,one stolen Supreme Court seat,one stolen elec…",Sat Apr 22 12:55:14 +0000 2017
reform,Trishcuit,Exposing the games liberals are playing with tax reform – Renegade Republican @DanBongino &gt;&gt; https://t.co/nfAWnznTo7,Sat Apr 22 12:55:14 +0000 2017
reform,marksul44,@telnet127001 @kathryn_daye @662Maz @percent48 @rofden159 A democratic alliance would be good but FPTP largely prev… https://t.co/ZFteQX4no1,Sat Apr 22 12:55:11 +0000 2017
reform,MichPittFish,"RT @robreiner: 100 days: no wall,no Muslim ban,no health care,no tax reform,no infrastructure,one stolen Supreme Court seat,one stolen elec…",Sat Apr 22 12:55:10 +0000 2017
reform,NJmompop,"Sen. Paul, Scott Bullock: Civil forfeiture has ruined countless lives. It’s long overdue for reform |  https://t.co/IwhxkKFpMj",Sat Apr 22 12:55:09 +0000 2017
reform,lauralovespeace,"RT @robreiner: 100 days: no wall,no Muslim ban,no health care,no tax reform,no infrastructure,one stolen Supreme Court seat,one stolen elec…",Sat Apr 22 12:55:09 +0000 2017
reform,MaxxxxSteel,"RT @robreiner: 100 days: no wall,no Muslim ban,no health care,no tax reform,no infrastructure,one stolen Supreme Court seat,one stolen elec…",Sat Apr 22 12:55:08 +0000 2017
reform,jimchambers2,"Trump Sets US Tax Reform Announcement, Orders Tax Rule Review https://t.co/lNuw4uitQL via @Newsmax",Sat Apr 22 12:55:06 +0000 2017
reform,DevereWealth,Stock Market Today - Investor's Business Daily https://t.co/GFZPOGK0FG #Stock #Market https://t.co/uWa781WDhX,Sat Apr 22 12:55:05 +0000 2017
reform,xineskigrrl,"RT @robreiner: 100 days: no wall,no Muslim ban,no health care,no tax reform,no infrastructure,one stolen Supreme Court seat,one stolen elec…",Sat Apr 22 12:55:04 +0000 2017
reform,nomad33fw,https://t.co/5EKQrYqgaJ @realDonaldTrump @mike_pence  Real Tax Reform to #MAGA please read...,Sat Apr 22 12:55:04 +0000 2017
reform,ReutersMoney,"Will Social Security be there for you? Claims fuel worry, but need for reform is real https://t.co/bb9fYCpUfw via… https://t.co/cYpTXB4ZLO",Sat Apr 22 12:55:00 +0000 2017
reform,LaurenYoung,"Will Social Security be there for you? Claims fuel worry, but need for reform is real https://t.co/N9yViPs2Lb via… https://t.co/TfEWKkLoqw",Sat Apr 22 12:55:00 +0000 2017
reform,nml423,"RT @robreiner: 100 days: no wall,no Muslim ban,no health care,no tax reform,no infrastructure,one stolen Supreme Court seat,one stolen elec…",Sat Apr 22 12:54:55 +0000 2017
reform,snsuits,"MT @COSRally: First is was Obamacare, now it's tax reform. #COSProject #BringPowerHome https://t.co/PWN1g6OvaU",Sat Apr 22 12:54:55 +0000 2017
reform,JaneMarieGardn1,"RT @robreiner: 100 days: no wall,no Muslim ban,no health care,no tax reform,no infrastructure,one stolen Supreme Court seat,one stolen elec…",Sat Apr 22 12:54:54 +0000 2017
reform,Cboudewyns,"RT @robreiner: 100 days: no wall,no Muslim ban,no health care,no tax reform,no infrastructure,one stolen Supreme Court seat,one stolen elec…",Sat Apr 22 12:54:53 +0000 2017
reform,BattaliaL,@yankfan2010 @findjustice2016 @JJohnson2u @0x0000004C_ @BebeParker @GetPugs @irish_woman @Ayden72 @BSinWisc… https://t.co/ObbJkiALd2,Sat Apr 22 12:54:45 +0000 2017
reform,LyndaAMartin,"RT @GovHowardDean: America Needs Tax Reform, Not More Debt https://t.co/M0klMGcYYF via @budgethawks",Sat Apr 22 12:54:44 +0000 2017
reform,TassajaraRd,"RT @robreiner: 100 days: no wall,no Muslim ban,no health care,no tax reform,no infrastructure,one stolen Supreme Court seat,one stolen elec…",Sat Apr 22 12:54:39 +0000 2017
reform,steviecryan,@hhrca @BOSLabour @SimonHughes @coyleneil No he just voted for the bedroom tax and welfare reform causing hardship… https://t.co/1rSlRTyGXf,Sat Apr 22 12:54:39 +0000 2017
reform,yankfan2010,@findjustice2016 @BattaliaL @JJohnson2u @0x0000004C_ @BebeParker @GetPugs @irish_woman @Ayden72 @BSinWisc… https://t.co/cAAr956ox5,Sat Apr 22 12:54:33 +0000 2017
reform,SnarkyMcSnark,"RT @robreiner: 100 days: no wall,no Muslim ban,no health care,no tax reform,no infrastructure,one stolen Supreme Court seat,one stolen elec…",Sat Apr 22 12:54:31 +0000 2017
reform,caangel247,"RT @robreiner: 100 days: no wall,no Muslim ban,no health care,no tax reform,no infrastructure,one stolen Supreme Court seat,one stolen elec…",Sat Apr 22 12:54:28 +0000 2017
