category,user,tweet,time
rugby,daviesrn17,@SteveA19 @AbbieParsons3 @Bristol_L_rugby Shit life then,Sun Apr 23 22:09:03 +0000 2017
rugby,rugby_global,Well done @ZambiaRugby winning 69-3 over @mauritiusrugby today! #rugbyunited #rugbyglobal #RugbyAfrique https://t.co/HI1hyk0WxG,Sun Apr 23 22:08:57 +0000 2017
rugby,1MJGTweets,RT @northumbriana: The Prime Minister of France in 1879 was a Rugby School old boy and Cambridge rowing blue called William Waddington http…,Sun Apr 23 22:08:51 +0000 2017
rugby,NZSaracensRugby,"NORTH CANTERBURY RUGBY SUB UNION  DRAW  
 29TH  APRIL 2017 

Luisetti Seeds Division 1 - Section 1 
14:45 Waihora... https://t.co/JkCvggB80p",Sun Apr 23 22:08:36 +0000 2017
rugby,mjkienzle,New Zealand tops Canada in dying seconds at Kitakyushu 7s Cup final     https://t.co/mrwtASAuEZ,Sun Apr 23 22:08:35 +0000 2017
rugby,mjkienzle,"Toronto Wolfpack lose 1st competitive match, beaten by Super League's Salford     https://t.co/Hv7HWpmpAR",Sun Apr 23 22:08:34 +0000 2017
rugby,heavymetalaaron,RT @ACURUGBYCLUB: ACU rugby sevens team took home third place this weekend in the Huntsville tournament after beating SFA 19-12!!,Sun Apr 23 22:08:25 +0000 2017
rugby,deanomezz,"Very good @scottmerrion  https://t.co/S0QxLW524y 

Download app in https://t.co/TVAuNXek91",Sun Apr 23 22:08:13 +0000 2017
rugby,choox75,Geez Alan Jones @2GB873 is going to go to town on Rugby and coaches &amp; ' stars' here in Sydney and Australia.#ShitFight,Sun Apr 23 22:08:02 +0000 2017
rugby,WPL_mini_junior,RT @YorkshireThorns: 100% correct!!!! #rugby #beer #social #getonthebeersson #eggshapedjoy #therightshapedball https://t.co/1sN2OH2fFK,Sun Apr 23 22:07:43 +0000 2017
rugby,callan_micheal,"RT @espnscrum: Who'll be wearing the All Blacks jersey 🆚 the Lions?

@nickbewley's starting XV after this weekend's #SuperRugby
https://t.c…",Sun Apr 23 22:07:41 +0000 2017
rugby,callan_micheal,RT @irishrugbynews: Niall Scannell reveals that Rassie Erasmus 'clarified' that he will stay on at Munster #TeamOfUs https://t.co/y3s2EsDUIy,Sun Apr 23 22:07:33 +0000 2017
rugby,espnscrum,"Who'll be wearing the All Blacks jersey 🆚 the Lions?

@nickbewley's starting XV after this weekend's #SuperRugby
https://t.co/lku09cDojh",Sun Apr 23 22:07:27 +0000 2017
rugby,Rugby_LO,Game in the bag 💪🏽 #Rockets,Sun Apr 23 22:07:18 +0000 2017
rugby,ruckmeslowly,UK:  British &amp; Irish Lions Team of the Week https://t.co/5maD9MUNl6 https://t.co/9FwRRgXjQE,Sun Apr 23 22:07:12 +0000 2017
rugby,Comm_Box_Sports,An impressive forward display &amp; 26 straight points lifted the Kings to an upset win over the Tahs. READ:… https://t.co/ftI5Fz0in9,Sun Apr 23 22:07:03 +0000 2017
rugby,CheasyLtd,#cheasy Wales Rugby Travel Jacket 15/16 Black https://t.co/XbR0L1K668,Sun Apr 23 22:07:00 +0000 2017
rugby,CityHonorsWRFC,"RT @rugbyny: The University at Buffalo Rugby Alumni Association is now accepting applications for their ""First XV""... https://t.co/aoKLBXwi…",Sun Apr 23 22:06:59 +0000 2017
rugby,CityHonorsWRFC,"RT @rugbyny: LIU Post, Brookville NY is offering scholarships for athletes looking to play rugby in college.

Apply using our... https://t.…",Sun Apr 23 22:06:57 +0000 2017
rugby,FazStuart,RT @RobertRobmurphy: Wigan is a massive rugby town #wafc #wiganwarriors https://t.co/3vcvOn5CTg,Sun Apr 23 22:06:54 +0000 2017
rugby,Rugby_LO,RT @sincerely_nai: Okc and Houston have had exciting games,Sun Apr 23 22:06:52 +0000 2017
rugby,stronglozenges,RT @northumbriana: The Prime Minister of France in 1879 was a Rugby School old boy and Cambridge rowing blue called William Waddington http…,Sun Apr 23 22:06:46 +0000 2017
rugby,JFRPrincipal,RT @GueSptsJournal: D4/10 girls rugby: Defending OFSAA champion Ross Royals take aim at keeping district title first https://t.co/wyNn91ajE…,Sun Apr 23 22:06:40 +0000 2017
rugby,daichesbraes,"RT @edinburghsport: Sky's the limit for @PortyRFC after BT Bowl triumph.
https://t.co/E7ZSNiDxuU https://t.co/c9ZVP1rmX0",Sun Apr 23 22:06:36 +0000 2017
rugby,SRFC_Women,RT @KeighleeW: Such a proud captain today. Think my crying did the talking. #passion #pride #family #love 🏈 reason why I keep playing rugby…,Sun Apr 23 22:06:32 +0000 2017
rugby,djknowles72,RT @nzherald: The best and worst performers following another weekend of Super Rugby https://t.co/dRv8s73Gdo,Sun Apr 23 22:06:30 +0000 2017
rugby,PCEglutenfree,RT @CBCOlympics: New Zealand tops Canada in dying seconds at Kitakyushu 7s Cup final @RugbyCanada https://t.co/h1e3ZKdysz https://t.co/cBfg…,Sun Apr 23 22:06:26 +0000 2017
rugby,MineDaro19,"Ion give a fvck, marcelo should have given sergi roberto that rugby tackle. https://t.co/EQMazkDLyT",Sun Apr 23 22:06:26 +0000 2017
rugby,windies37,Once more the Joyous Trevor is tucked back in Clifton. Great day &amp; great company for a great rugby match @ludlow_rfc @CleoburyR,Sun Apr 23 22:06:24 +0000 2017
rugby,lucmtremblay,RT @TeamCanada: .@RugbyCanada's women end an incredible weekend at #kitakyushu7s 🏉 with a World Rugby series silver🥈: https://t.co/mUlSwXTN…,Sun Apr 23 22:06:14 +0000 2017
rugby,enjoytheday99,@packersinsider @TroyAikman @usafootball agreed. same for soccer (at least thru high school). those soft padded rugby style headgear.,Sun Apr 23 22:06:13 +0000 2017
rugby,Rugby_LO,Don't give this game up #rockets,Sun Apr 23 22:06:11 +0000 2017
rugby,Gonza_Camacho,RT @WorldBeachRugby: Mallorca paradise 3&amp;4 june 2017 Beach Rugby!! @E4Rugby @Gonza_Camacho @ExeterChiefs https://t.co/KPH12omRSF https://t.…,Sun Apr 23 22:06:10 +0000 2017
rugby,AdemAali7,Can't believe Marcelo hasn't rugby tackled him to the ground there.,Sun Apr 23 22:06:06 +0000 2017
rugby,burrellanet,RT @rhysstenner: 60 folks getting ready to bless Wales from the USA. #wales #USA #revival #newhopechoir #rugby https://t.co/4EVWcm1fqg,Sun Apr 23 22:06:05 +0000 2017
rugby,waratahjesus,@Reds_Rugby  v @NSWWaratahs 2017. Stargazing. https://t.co/8AEOS4ZLoM,Sun Apr 23 22:05:18 +0000 2017
rugby,51flyer,@PendletonNW @HoughtonVal Puts things in perspective rugby is just a game RIP,Sun Apr 23 22:04:58 +0000 2017
rugby,Rugby_LO,Air ball,Sun Apr 23 22:04:57 +0000 2017
rugby,Alana_Ashley,RT @daviesrn17: To the @Bristol_L_rugby players - be proud. 13 wins from 16 prem games across the season shows you were the best team in th…,Sun Apr 23 22:04:55 +0000 2017
rugby,Rugby_Boy11,RT @TakingFiveHQ: Playoff LeBron back https://t.co/pxTHu2Cg9O,Sun Apr 23 22:04:54 +0000 2017
rugby,Rugby_LO,Lucky break for OKC for the moment,Sun Apr 23 22:04:49 +0000 2017
rugby,Billy_Davis85,RT @northumbriana: The Prime Minister of France in 1879 was a Rugby School old boy and Cambridge rowing blue called William Waddington http…,Sun Apr 23 22:04:42 +0000 2017
rugby,muamuav,"RT @SamoaRugby: Samoa’s U20 #BabyManu team have a lot on their shoulders. Firstly, the team is getting ready for the Oceania... https://t.c…",Sun Apr 23 22:04:39 +0000 2017
rugby,leaguehubcom,"#rugbyleague on ebay ENGLAND RUGBY LEAGUE PLAYERS shorts MENS SIZE M

AU $29.95
End Date: Sunday May-21-2017 17:47…… https://t.co/fl9JvXRePH",Sun Apr 23 22:04:28 +0000 2017
rugby,minmedia_no,RT @guardiannews: Vunipola brothers keep good times rolling as Saracens aim for glory https://t.co/QKM8aK4lZj,Sun Apr 23 22:04:25 +0000 2017
rugby,MikeRossP,RT @northumbriana: The Prime Minister of France in 1879 was a Rugby School old boy and Cambridge rowing blue called William Waddington http…,Sun Apr 23 22:04:21 +0000 2017
rugby,SouthYorksRugby,RT @SandalWarriors: Our Warriors survived their first rugby festival and can't wait for the next one #InnerWarrior #TheseWomenCan @sandalru…,Sun Apr 23 22:04:21 +0000 2017
rugby,Hippo_Rugby,@AlexanderGardin Well the way Polls predicted all the other elections and got them so wrong. If they have LD as last they will probably win!,Sun Apr 23 22:04:18 +0000 2017
rugby,ruckmeslowly,New Zealand Herald Rugby: Black Ferns Sevens triumph in Japan New Zealand Herald An… https://t.co/sELYJCBlKg #rugby,Sun Apr 23 22:04:11 +0000 2017
rugby,sharksrugbyfans,HIT RETWEET for Sharks rugby and see our latest photos and news at https://t.co/XLwfDMU8yo via #superugby #ssrugby #SharksForLife #bhive,Sun Apr 23 22:04:11 +0000 2017
rugby,shopping4all101,Rugby Boot Test: Nike T90 Laser IV - https://t.co/bdODWhO1bv https://t.co/c3POGXiLGj,Sun Apr 23 22:03:55 +0000 2017
rugby,KeighleeW,Such a proud captain today. Think my crying did the talking. #passion #pride #family #love 🏈 reason why I keep play… https://t.co/nxLthZV8M9,Sun Apr 23 22:03:54 +0000 2017
rugby,cbcsports,"Toronto Wolfpack lose 1st competitive match, beaten by Super League's Salford https://t.co/nRAaGKa8BQ https://t.co/BFbsGkr09E",Sun Apr 23 22:03:53 +0000 2017
rugby,SteveA19,@AbbieParsons3 @Bristol_L_rugby No problem I've had the time of my life with you lot x,Sun Apr 23 22:03:51 +0000 2017
rugby,ABGqomo,Cricket and rugby https://t.co/Is06qawqW7,Sun Apr 23 22:03:50 +0000 2017
rugby,grkaustin,"He was practicing his rugby line out throws. They were really straight too, he'll be fine on the pitch. https://t.co/T4PqIesBC9",Sun Apr 23 22:03:48 +0000 2017
rugby,Rugby_LO,Few more seconds,Sun Apr 23 22:03:46 +0000 2017
rugby,HelenaTyce,Team talk with coach! #rugby #matlock #teamwork #wbrfc https://t.co/gGk8MzXlT2,Sun Apr 23 22:03:26 +0000 2017
rugby,ben_agar,@neilfairbrothe1 @gazhock12 All thugs come from Hull KR yet you'd drive over somebody for a game of rugby league?,Sun Apr 23 22:03:20 +0000 2017
rugby,dshankk,i spent yesterday at cronulla counting the brown people i mean together we could barely put together a rugby league team,Sun Apr 23 22:03:16 +0000 2017
rugby,Mzilikazi7,"Watching Rugby, boxing and soccer with her❤️",Sun Apr 23 22:03:10 +0000 2017
rugby,RashaTaus,RT @northumbriana: The Prime Minister of France in 1879 was a Rugby School old boy and Cambridge rowing blue called William Waddington http…,Sun Apr 23 22:03:08 +0000 2017
rugby,Rugby_Boy11,"RT @CallOfDuty_WW2_: •#CODWWII GIVEAWAY!!!•

RT &amp; FOLLOW TO ENTER!! https://t.co/r6tYVzMkgz",Sun Apr 23 22:02:59 +0000 2017
rugby,Rugby_LO,"""Momma there goes that man""",Sun Apr 23 22:02:56 +0000 2017
rugby,RuckinRugby,RT @TheRealRhodri: It wasn't @Bristol_L_Rugby's day. Not the end to the season anyone wanted - but that shouldn't take away from a great se…,Sun Apr 23 22:02:40 +0000 2017
rugby,RugbyNorthland,New Zealand Rugby and the Waitangi Treaty Grounds confirmed the British &amp; Irish Lions squad and support staff... https://t.co/eWmIzXYdOo,Sun Apr 23 22:02:30 +0000 2017
rugby,MarkDav06913623,RT @RugbySaracens: @Hathers46allout @weeksie1979 @JPearce_JP @stephenjones9 The culture at Saracens is very important &amp; has not come by acc…,Sun Apr 23 22:02:29 +0000 2017
rugby,callan_micheal,"RT @espnscrum: Will Clermont's David Strettle come back to haunt Saracens in the Champions Cup final? 🏆
https://t.co/7rpVNZoRhu",Sun Apr 23 22:02:24 +0000 2017
rugby,trescox5,RT @ACURUGBYCLUB: ACU rugby sevens team took home third place this weekend in the Huntsville tournament after beating SFA 19-12!!,Sun Apr 23 22:02:16 +0000 2017
rugby,SherrinThePain,RT @claire_mol: So excited to play today 😃😃😃 with @Bristol_L_rugby in the prem final 💪🏼 @avreed12 @izzynoelsmith #oldschoolcrew,Sun Apr 23 22:02:12 +0000 2017
rugby,SherrinThePain,RT @IrishRugby: @claire_mol @Bristol_L_rugby @avreed12 @izzynoelsmith Best of luck today Claire!!! #BRINGIT,Sun Apr 23 22:02:07 +0000 2017
rugby,Randomhero04,"RT @FormulaOneGeek: Red bull racing have finally answered who would win in a scrum, a F1 car or  Rugby players. https://t.co/S0IOvetDce",Sun Apr 23 22:02:03 +0000 2017
rugby,Rugby_LO,Good defense,Sun Apr 23 22:02:01 +0000 2017
rugby,McKinleyFR,RT @northumbriana: The Prime Minister of France in 1879 was a Rugby School old boy and Cambridge rowing blue called William Waddington http…,Sun Apr 23 22:01:55 +0000 2017
rugby,PCEglutenfree,RT @TeamCanada: .@RugbyCanada's women end an incredible weekend at #kitakyushu7s 🏉 with a World Rugby series silver🥈: https://t.co/mUlSwXTN…,Sun Apr 23 22:01:42 +0000 2017
rugby,RugbyNuus,British &amp; Irish Lions Team of the Week https://t.co/4ubpDr6MJl,Sun Apr 23 22:01:40 +0000 2017
rugby,RugbyNuus,British &amp; Irish Lions Team of the Week https://t.co/elq4rkkJIX https://t.co/X0L3TaMDvx,Sun Apr 23 22:01:38 +0000 2017
rugby,TheTortorian,RT @northumbriana: The Prime Minister of France in 1879 was a Rugby School old boy and Cambridge rowing blue called William Waddington http…,Sun Apr 23 22:01:35 +0000 2017
rugby,kimoliver12,@izzynoelsmith @Bristol_L_rugby @aylesfordladies Gutted for you mate.. it's been a fantastic season for you and the… https://t.co/dR3tzl5Fqj,Sun Apr 23 22:01:28 +0000 2017
rugby,MelbLiveNews,They got it wrong: Bulldogs coach says Brenko Lee should not have been sin binned https://t.co/7U8KSpDVG9 (News) #melbourne #victoria,Sun Apr 23 22:01:07 +0000 2017
rugby,callan_micheal,RT @SportsJOEdotie: Much more to come from this Munster team https://t.co/JFqgPoFHBY,Sun Apr 23 22:01:02 +0000 2017
rugby,ConHistGrp,RT @northumbriana: The Prime Minister of France in 1879 was a Rugby School old boy and Cambridge rowing blue called William Waddington http…,Sun Apr 23 22:00:56 +0000 2017
rugby,SkyCards4Europe,"SKY SPORTS European Rugby Challenge Cup
Semi Final, Sky Sports 3 HD... https://t.co/D6QrUgMrhU",Sun Apr 23 22:00:51 +0000 2017
rugby,littlemissytfc,RT @Tom_Varndell: Commiserations to the @Bristol_L_rugby on the defeat today. But congrats on such a brilliant season. Amazing. You've done…,Sun Apr 23 22:00:44 +0000 2017
rugby,Rugbystuff,Nyle Godsmark’s sucker punch gives Melrose sweet revenge - It was a case of two out of three ain’t bad for the ... https://t.co/4SR8REy2V6,Sun Apr 23 22:00:39 +0000 2017
rugby,Roarzz,"@Kristian7Ross @lestranger_87 @simonrug @mickobrien1 @ChampionsCup That's an identity thing though, nobody grows up… https://t.co/VmOurFDPqD",Sun Apr 23 22:00:38 +0000 2017
rugby,AbbieParsons3,"@SteveA19 @Bristol_L_rugby Thanks for always getting us in trouble for laughing so much, you the best 🤙🏼",Sun Apr 23 22:00:18 +0000 2017
rugby,callan_micheal,RT @IndoSport: Eamonn Sweeney: Lions hype springs eternal as always but lack of world-class talent spells trouble for Gatland https://t.co/…,Sun Apr 23 22:00:18 +0000 2017
rugby,dcollen,RT @TelegraphRugby: Mako Vunipola puts his best foot forward as Saracens reach Champions Cup final at Munster's expense @tomcary_tel https:…,Sun Apr 23 22:00:16 +0000 2017
rugby,PaigeSandstrom0,RT @PoundassMaegan: Sooo I was asked to be head coach in the fall.. #rugby 🤔🤔🤔,Sun Apr 23 22:00:14 +0000 2017
rugby,Cornf1akesCrib,Crusaders vs Stormers - Super Rugby 2017 - Rugby Challenge 3: https://t.co/ov2Pfci2MI via @YouTube,Sun Apr 23 22:00:13 +0000 2017
rugby,PatAbernathey,RT @EaglesOverseas: Saracens reach Champions Cup final as Chris Wyles seals win over Munster | Sport | The Guardian https://t.co/aq1b8c5DRm,Sun Apr 23 22:00:12 +0000 2017
rugby,IndoSport,Eamonn Sweeney: Lions hype springs eternal as always but lack of world-class talent spells trouble for Gatland… https://t.co/2uPurowOtK,Sun Apr 23 22:00:11 +0000 2017
rugby,SherrinThePain,"RT @marcustelliot: Best of luck to @joyce_jaz &amp; @Bristol_L_rugby today
👍🏉☕️",Sun Apr 23 22:00:07 +0000 2017
rugby,eatsleeprugby,Check out all of the action from day one of the World Rugby 7s Series from #Kitakyushu7s in Japan https://t.co/95VwIGaGjc,Sun Apr 23 22:00:02 +0000 2017
rugby,kimoliver12,Gutted for the @Bristol_L_rugby girls today. incredibly proud of @izzynoelsmith @avreed12 n @nolli15. Congrats @RachaelBurf12 @AmyRTurner2,Sun Apr 23 22:00:02 +0000 2017
rugby,AnneDewsnip,@engagecoaching1 @nathanpettitt @Harrogate_Rugby @TigersChallenge @SportAshville Well done!,Sun Apr 23 21:59:58 +0000 2017
rugby,Rugby_Boy11,"RT @NFL: Caught passes from FIVE different QBs in '16.

And he thinks he ""should have had 1,500 yards"": https://t.co/H0KyWCB03y (via @Chris…",Sun Apr 23 21:59:51 +0000 2017
rugby,bourbon_brawler,RT @danratner: Let's make rugby great again - c'mon! @ARUhq  https://t.co/KufMGtem5G,Sun Apr 23 21:59:44 +0000 2017
rugby,Rugby_LO,Harden for MVP #Rockets,Sun Apr 23 21:59:43 +0000 2017
rugby,northumbriana,The Prime Minister of France in 1879 was a Rugby School old boy and Cambridge rowing blue called William Waddington… https://t.co/Rmo3IodFbV,Sun Apr 23 21:59:36 +0000 2017
rugby,EGRFCSunshine7s,"RT @stacialong: Great day working for @Samurai7s @SamuraiBulldogs today @EGRFCSunshine7s - quality players, good 🌤🌤, lots of great rugby &amp;…",Sun Apr 23 21:59:27 +0000 2017
rugby,rabbitsj70,"RT @KP24: He's wearing a Blue Bulls from Pretoria rugby helmet. Someone must know him to name &amp; shame him?? 
PLEASE RT https://t.co/4n5kcAy…",Sun Apr 23 21:59:24 +0000 2017
rugby,callan_micheal,"RT @ballsdotie: One standout performer for Leinster, and he wasn't on the scoresheet https://t.co/ucvDGmHAc4",Sun Apr 23 21:59:22 +0000 2017
rugby,Rugby_LO,Keep scrapping #Rockets let's get this win!,Sun Apr 23 21:59:21 +0000 2017
rugby,IrishCommServ,RT @MalcolmMcNally: Over 2000 children took part in the @LondonIrishARFC International Mini Rugby Festival at Hazelwood today. Further cove…,Sun Apr 23 21:59:20 +0000 2017
rugby,Abi_Kate93,Spending 8 hours stood in a field watching rugby made me realise it is possible to get sunburn in April 😑,Sun Apr 23 21:59:04 +0000 2017
rugby,TimFagg1,"RT @EnglandRugby: Ladies 📢 Not already playing rugby? 
Discover your #InnerWarrior at one of our upcoming Warrior Camps: https://t.co/Pa6u1…",Sun Apr 23 21:58:55 +0000 2017
