category,user,tweet,time
song,JakeMaudlin1996,Bought this for 1 song.... #AskMeHowIKnow Hey @garthbrooks if I bring this with me to #GARTHinKC any chance I can g… https://t.co/U0VXrtBu7I,Sat Apr 22 07:14:57 +0000 2017
song,live4jesus2012,so on the ride home i lstend 2 the 2 song tape was introduced to rap rock by them,Sat Apr 22 07:14:57 +0000 2017
song,Sreekarreddy2M,RT @ramjowrites: Finished one song for JaiLavaKusa...novel concept...andharikee nachindhi..thx to @tarak9999 garu @ThisIsDSP garu n dear @d…,Sat Apr 22 07:14:57 +0000 2017
song,Oliviakate96,"This song is my favorite off the entire album! @thegreatkhalid is so fucking talented,his voice is so pure. https://t.co/X8DKMYfksQ",Sat Apr 22 07:14:57 +0000 2017
song,sumitjnmc,"RT @JioMusicHD: For all our Malayalam music lovers,
#Baahubali2 music out now on #JioMusic - https://t.co/v8DgGQhQ07 https://t.co/I6F7gAh7Vk",Sat Apr 22 07:14:57 +0000 2017
song,Goombella123,"zane sent me this song a while ago and its been stuck in my head its awesome
https://t.co/tIWTbkrqJI",Sat Apr 22 07:14:55 +0000 2017
song,needledesign,RT @trueviralnews: Listen to David Hasselhoff's Guardians of the Galaxy 2 Theme Song #news https://t.co/DmoB7YGyTK https://t.co/ZuFVZIIj3a,Sat Apr 22 07:14:55 +0000 2017
song,Ndicte,"RT @Tkakimsut: @RealKiefer I watched a video of you performing Gordon's hit song,you killed https://t.co/gsH2JiKuJj, it was awesome. Anythi…",Sat Apr 22 07:14:54 +0000 2017
song,gayacruz_,"RT @EmmaWatson: So cool, @iamjonsi has created a song for @WeAreTheCircle ⭕️🎶

https://t.co/NrsOdeVikj",Sat Apr 22 07:14:54 +0000 2017
song,milkandcookhes,"Best song everrr
#Team1D
#TeamNiall",Sat Apr 22 07:14:54 +0000 2017
song,collin_west,"8 guitar song- Afrikan Roots
I dnt knw hw to, bt if i am to dis song m going down🕺🏼🕺🏼🕺🏼",Sat Apr 22 07:14:53 +0000 2017
song,Karl_Haze,RT @Tyson_Fury: My new goals are to unify the heavyweight division again &amp; to get @rihanna to do my ring walk song live. The Gypsyking is b…,Sat Apr 22 07:14:53 +0000 2017
song,KINGDRAUHLDRUGS,"RT @TraceCyrus: Watch my brand new lyric video for my song ""Lights Out""! Please give it a thumbs up and subscribe to my YouTube! ❤️ https:/…",Sat Apr 22 07:14:53 +0000 2017
song,EkuaAnkoma,"Song for the day 
@ELrepGH - don't let me burn!",Sat Apr 22 07:14:52 +0000 2017
song,Regan_Crow,RT @hazel__tz: I love this song https://t.co/GF7v9jEx7H,Sat Apr 22 07:14:52 +0000 2017
song,manna_badman,It's  a song they taught me at Sunday sch way back.. 😄😊 https://t.co/ObFo1aGojF,Sat Apr 22 07:14:52 +0000 2017
song,LostInMuzic,"@seramicofficial My favourite Prince song is 'Scandalous' played it on repeat when I was a teenager, and it was on tape cassette! 💜🎶",Sat Apr 22 07:14:51 +0000 2017
song,humblinghoran,RT @slypml: Phil + Song lyrics thread.,Sat Apr 22 07:14:51 +0000 2017
song,darkxwinter,RT @EsteeLalonde: I don't see me not listening to the new Paramore song any time soon tbh.,Sat Apr 22 07:14:51 +0000 2017
song,hanis231,RT @jinjjarevil: lets talk about 2nd yr highschool producer/writer yoongi who composed a song called 518-062' by 낙션. time when he was known…,Sat Apr 22 07:14:51 +0000 2017
song,Suhowsome522,[Poll] The most favorite Kpop song in First quarter 2017 (Round 5) https://t.co/AZ6k1oExt4,Sat Apr 22 07:14:50 +0000 2017
song,Joemar1301,RT @ohteenquotes: Behind every girls favorite song is an untold story.,Sat Apr 22 07:14:50 +0000 2017
song,ClaShiff,RT @TheVampsJames: NEW SONG #MiddleOfTheNight IS OUT THURSDAY AT MIDNIGHT. https://t.co/APgZn121V6,Sat Apr 22 07:14:50 +0000 2017
song,xx1NICOLE8xx,"RT @abieranicole18: Behind every girls' favorite song is an untold story.
#PusongLigawTwoDaysToGo",Sat Apr 22 07:14:49 +0000 2017
song,acthelove,"RT @KrissBertFamily: Ano ang song na gusto mong i-cover ni mom @imkrisshav and dad @hashtag_wilbert  together? Tweet using our TL.

KRISSBE…",Sat Apr 22 07:14:49 +0000 2017
song,kled,Prince -&gt; Deliverance  https://t.co/Enlww1k0bh,Sat Apr 22 07:14:49 +0000 2017
song,SRcmos_,"""Hell"" by Disturbed is the best action sequence song ever. It could literally be used for like any form of action sequence. I'm obsessed.",Sat Apr 22 07:14:49 +0000 2017
song,jelly_koi,"RT @dorky_dork09: snsd being as mess as f*ck
*song started to play*
snsd: https://t.co/kLJZuSUzkz",Sat Apr 22 07:14:48 +0000 2017
song,babyc4ke,"RT @ot9pics: ー ""It's surprising how one little song can bring back so many memories."" 💕 https://t.co/hg2emJ6LC2",Sat Apr 22 07:14:48 +0000 2017
song,yusufazani,"You don't just listen to this song and sit down appropriately.
You just don't

https://t.co/fOHk7fAfjO",Sat Apr 22 07:14:48 +0000 2017
song,CHANMP4,OK BYE IM GONNA CHOKE MYSELF AND DIE WITH NO FLEX ZONE AS THE LAST SONG IM LISTENING BEFORE DEATH,Sat Apr 22 07:14:47 +0000 2017
song,scn900,"RT @the40z: to all the xxxtentacion fans that think he started the ""look at me"" flow... sorry lil uzi actually did &amp; yes this song came out…",Sat Apr 22 07:14:47 +0000 2017
song,escsuus,RT @EliGrant_Vegas: @escsuus I think this song deserved to win,Sat Apr 22 07:14:46 +0000 2017
