category,user,tweet,time
tennis,nrthcountrygrl,"RT @troublefault: @Minerva2BC @athena1949 @Vamosgirl1 Was this on Tennis Channel Live? (Couldn't watch live, so gotta catch it on replay &amp;…",Sat Apr 22 21:39:19 +0000 2017
tennis,docsander30,Bucs men n women tennis advance to SoCon finals with impressive wins in semis. Both will face Furman @ Furman tomorrow Need to be ETSUtough.,Sat Apr 22 21:39:19 +0000 2017
tennis,UNCWAthletics,The UNCW men's tennis team joins the party with a 4-2 victory over CofC in the semifinals. The Seahawks and Tribe... https://t.co/UntJblpeeX,Sat Apr 22 21:39:18 +0000 2017
tennis,inezwil,RT @TelegraphSport: Johanna Konta badly shaken after being called '----ing bitch' by Ilie Nastase https://t.co/UuBTxnWuew,Sat Apr 22 21:39:11 +0000 2017
tennis,kevin_kyzar,RT @jcjc_athletics: Lady Bobcats clinch berth in national tournament.... https://t.co/h4e9aAht05,Sat Apr 22 21:39:08 +0000 2017
tennis,aycaniri,Lets go down to the tennis court and talk it up like yeah,Sat Apr 22 21:39:08 +0000 2017
tennis,LehighTennis,"Lehigh Women Wrap Up Regular Season with Sweep of La Salle.
Read More - https://t.co/G2rCLLeYpt https://t.co/PzoN6jr2aB",Sat Apr 22 21:39:07 +0000 2017
tennis,RafaelNadal_BR,RT @MCROLEXMASTERS: Watch how @RafaelNadal &amp; @albertramos88 reached the 2017 @MCROLEXMASTERS final. Highlights: https://t.co/aUwqPZfuPM #AT…,Sat Apr 22 21:38:57 +0000 2017
tennis,WijnaldumFC,"RT @dannydyerbot: I'm Danny Dyer, and I'm about to meet Britain's sleaziest tennis players",Sat Apr 22 21:38:55 +0000 2017
tennis,DuncanCMartin,"RT @BenRothenberg: Ilie Nastase's abhorrent behavior this week is reminder not to foggily nostalgize ""personalities"" of tennis past. Take i…",Sat Apr 22 21:38:53 +0000 2017
tennis,m_schlesselman,"RT @ColtonSHartman: So proud of the Freeport tennis team! Keep eating, and putting in the work boys 😈🍽 #pretzelpride",Sat Apr 22 21:38:37 +0000 2017
tennis,gc_tennis,RT @MidSouthSports: Mid-South announces Men's Tennis honors; Porcic repeats at MSC Player of the Year - https://t.co/oyFEfepL6e https://t.c…,Sat Apr 22 21:38:36 +0000 2017
