category,user,tweet,time
trump,evgeniykapy1,"RT @2020fight: Daily reminder that it costs $.5 million a day to have Melania &amp; Barron Trump stay in New York.
Current total post-inaugurat…",Fri Apr 21 07:20:41 +0000 2017
trump,MastaOfMp3s,"RT @KamalaHarris: “I’m being poisoned and I can’t do anything about it.” —Luis Medellin, on the use of pesticides in his town.
https://t.co…",Fri Apr 21 07:20:41 +0000 2017
trump,PlqidBadr,RT @chrisbrad22: Wow! It's clear where trump &amp; supporters got his stupid Voter Fraud allegs. Russia put it in his brain. Same w/Clinton Fou…,Fri Apr 21 07:20:40 +0000 2017
trump,PsychicStoner,"RT @spooney35: Our president 💩 #tRump, the li in Chief has no major legislative victory in 90 days Not even #Spicer could spin this FACT. @…",Fri Apr 21 07:20:40 +0000 2017
trump,manaskunt,RT @truthout: Kleptocracy? How Ivanka Trump and Jared Kushner Personally Profit From Their Roles in the White House https://t.co/nn0GP8FZbI,Fri Apr 21 07:20:40 +0000 2017
trump,StefanieThayerN,"RT @Mchllcat: @LouiseMensch @Ash10222 AlphaBank, Trump, Kushner, DeVos all tied together in a cyber-web of collusion that can't be refuted.…",Fri Apr 21 07:20:40 +0000 2017
trump,BSADexter,RT @FoxNews: President #Trump on #Paris shooting: 'It just never ends' https://t.co/s9VavdvbxL https://t.co/LWvJr35gzD,Fri Apr 21 07:20:39 +0000 2017
trump,Val_76,"RT @ananavarro: Oooh. Now, I get why despite trampling democracy, jailing opposition, protests over election fraud -Trump congratulated Erd…",Fri Apr 21 07:20:39 +0000 2017
trump,RJACKSO65837977,RT @Lee_in_Iowa: Smack down Putin and Tillerson. The whole REASON Putin foisted Trump off on us was to get this oil deal. Let's make sure h…,Fri Apr 21 07:20:39 +0000 2017
trump,d338e65d4f31403,"RT @nytimesworld: Why China is likely to keep pumping out more and more steel, inflaming trade tensions between Beijing and Washington http…",Fri Apr 21 07:20:38 +0000 2017
trump,me_sheer_,"RT @swargcoming: @wikileaks @Snowden Having this Pompeo as Director of CIA under Trump Admin is very unsettling. Why him, Comey are still t…",Fri Apr 21 07:20:38 +0000 2017
trump,loontuury,"RT @CillizzaCNN: Kid Rock is VERY interested in what Trump is saying

https://t.co/voyVKmD5Ji https://t.co/nzzbyploQG",Fri Apr 21 07:20:38 +0000 2017
trump,headunder_water,RT @LeeCamp: Ruling elite are now praising Trump heavily for all his recent bombing/ war. They're much more comfortable w/ death&amp; destructi…,Fri Apr 21 07:20:38 +0000 2017
trump,VA4DJT,"RT @ThomasWictor: In this case, the REAL enemy wanted Antifa AND Trump supporters to die.

REAL terrorists. https://t.co/vy11L0HBKL",Fri Apr 21 07:20:38 +0000 2017
trump,PoopMonkee,"RT @DavidYankovich: So, Trump wants to shut down the federal gov to pay for the wall he promised his supporters Mexico would pay for? 

Shu…",Fri Apr 21 07:20:38 +0000 2017
trump,MumaDanyell,RT @signordal: Trump 'does not read books': report https://t.co/u2NB0sCbcm https://t.co/Xh8Lf37hF1,Fri Apr 21 07:20:37 +0000 2017
trump,stormstitch,B-b-b-b-b-but I thought Mexico was paying for it! https://t.co/znC7ujogYa,Fri Apr 21 07:20:37 +0000 2017
trump,ePopleScoutJosb,"RT @Will_Bunch: Trump family dealings with Beijing are like a RICO enterprise, mixing policy with profit. Where's the investigation? https:…",Fri Apr 21 07:20:37 +0000 2017
trump,LennaLeprena,RT @noplaceforsheep: It is not possible to be too anti Trump https://t.co/tUloofQW47,Fri Apr 21 07:20:37 +0000 2017
trump,Simma_dunn_naw,RT @realAngeloGomez: @RealDonald Trump was right about voter fraud!!! NV Sec of State confirms noncitizens voted in NV. Please investigate…,Fri Apr 21 07:20:37 +0000 2017
trump,Whiteboy_Slim,CIA liaison is first casualty of conflict between intelligence agency and Trump https://t.co/KfhnQSbHXc,Fri Apr 21 07:20:37 +0000 2017
trump,jHSo86eLJ1O2IAx,"RT @The_Trump_Train: No one will fight for women equality and equal pay like Trump. It isn't just an idea, it's reality at Trump companies!…",Fri Apr 21 07:20:36 +0000 2017
trump,krisbienforreal,RT @postpolitics: Fact Checker:  What Trump got wrong on Twitter this week (#8) https://t.co/Fog04q21uX,Fri Apr 21 07:20:36 +0000 2017
trump,jojovishal76,"RT @numankhalid00: ⚡️ “Trump has spent 7 out of his 13 weekends as President at Mar-a-Lago”

https://t.co/pZqYwFtnNj",Fri Apr 21 07:20:36 +0000 2017
trump,mapocoloco,Trevor Noah Has Proof That Donald Trump Is Always High - The Huffington Post https://t.co/nLddieGPJh,Fri Apr 21 07:20:36 +0000 2017
trump,ironorehopper,"Top story: Sarah Palin Dines With Trump at White House - The New York Times https://t.co/rvhTXwBYAQ, see more https://t.co/7pvqhCYEIp",Fri Apr 21 07:20:36 +0000 2017
