category,user,tweet,time
watch,justindaffronte,"RT @StefanMolyneux: France has over 15,000 people (including approximately 2,000 children) on an ""Islamic Radical Watch List"" and over 4,00…",Fri Apr 21 04:14:16 +0000 2017
watch,JEDI0RGANA,"im gonna do my best to stop live tweeting &amp; watch this piece of artwork, but gO VOTE ON THIS I GENUINELY WANT TO KN… https://t.co/Dl1UhoyCCr",Fri Apr 21 04:14:16 +0000 2017
watch,sakumahaaing1,"@Domiinic8 Watch The Fate of the Furious Full Movie HD 1080p
▶ https://t.co/55ktnS4NHR
________This Movies Availabl… https://t.co/LLW5Y8VM9x",Fri Apr 21 04:14:16 +0000 2017
watch,TheCaskett,RT @TotallyCastle: @NFillionOnline @NathanFillion That photo had nothing to do w/his GOTG2 cameo. It was he and Jeff goofing around on anot…,Fri Apr 21 04:14:16 +0000 2017
watch,JimGarrisonII,Back To School: Sam Kinison &amp; The Epic Vietnam Tirade W/ Rodney Dangerfield https://t.co/aDU9A9FAYO via @YouTube,Fri Apr 21 04:14:16 +0000 2017
watch,Lyoonhan,I liked a @YouTube video https://t.co/uqBKBXIMVj OPERATION - ALISIN ANG BILBIL! (PUSH KO NA TO) 💜 Purpleheiress,Fri Apr 21 04:14:16 +0000 2017
watch,GeoValdez13,"This scene &amp; a similar conversation that I had with MY dad, really did change my life. More people today need this https://t.co/lJuKEu3xtm",Fri Apr 21 04:14:16 +0000 2017
watch,KingLightning18,I liked a @YouTube video https://t.co/52mycb8Wv9 ARE THESE CHILDREN SERIOUS!!?? - These Kids Must Be Stopped Reaction!,Fri Apr 21 04:14:16 +0000 2017
watch,Sweetdreamsoa,"I added a video to a @YouTube playlist https://t.co/bdbtA3MPwG ［PV］Just Awake (English ver)/Fear, and Loathing in Las Vegas",Fri Apr 21 04:14:16 +0000 2017
watch,johnstons08,@WNThitsthelinks if u only ever watch one broad city episode it should be this ep,Fri Apr 21 04:14:16 +0000 2017
watch,FreezeCurl,"RT @_Damnshefine3x: Watch my soul mate be white and I'm over here on this ""black love"" shit https://t.co/6ueRPyr2Aq",Fri Apr 21 04:14:16 +0000 2017
watch,SandraAdler6,RT @dlacalle_IA: Be sure to watch my video interview with @DerinCag on @Richtopia ... https://t.co/dsZfcvGdne https://t.co/2ajTxhoTLM,Fri Apr 21 04:14:16 +0000 2017
watch,MichiganQue,I liked a @YouTube video https://t.co/zazzRORKkK ATM Krown - Fresh Prince (Official Video) Shot By @Kfree313,Fri Apr 21 04:14:16 +0000 2017
watch,Chasing_LAFame,RT @HeSuchACharmer: Finna be my usual lame self and watch cartoons,Fri Apr 21 04:14:16 +0000 2017
watch,mmonique04,Just woke up from a nap should sauce that pizza in the oven and watch the hobbit lol ffs,Fri Apr 21 04:14:16 +0000 2017
watch,KicchafansKKSFA,"RT @keerthijm: @KicchaSudeep  waiting to watch  Hebbuli in Bristol, UK.... ticket booked.. https://t.co/eR15Nr58hK",Fri Apr 21 04:14:16 +0000 2017
watch,CECILIAMAYVAN,"🌞🤗☝🎵 'Whenever GOD shines HIS light' 💥 @vanmorrison #FAITH #HOPE #LOVE #GodsLove #HEALING 
https://t.co/Vwk3n8pznd",Fri Apr 21 04:14:16 +0000 2017
watch,thegeet,"Wow this is so cool .. like and share you guys .... 
https://t.co/URPnPlOkcz",Fri Apr 21 04:14:16 +0000 2017
watch,woojiihoo,I liked a @YouTube video https://t.co/D2rd6PhqnK How to speak better Korean,Fri Apr 21 04:14:16 +0000 2017
watch,kusari_de,"@mister_CMS No I can't watch it over here in Germany. Still I'm so excited for the upcoming season.
Awesome charact… https://t.co/rbzENdDvuP",Fri Apr 21 04:14:16 +0000 2017
watch,shwurd1004,I liked a @YouTube video https://t.co/BL1bVXaf61 Future - Mask Off Parody Youtube AD'S Off (DISS TRACK!) Yung Child Support,Fri Apr 21 04:14:16 +0000 2017
watch,xandaodalapa,"RT @RealFKNNews: WTF - US Now B-O-M-B-I-N-G Somalia, Guess Why? https://t.co/GFvpgqubL5",Fri Apr 21 04:14:16 +0000 2017
watch,MrEAnders,This new @charlieputh single is a certified bop. https://t.co/WtNZn9PHIP,Fri Apr 21 04:14:16 +0000 2017
watch,sudhirreddy_920,"RT @ManviRdy: watch live in sakshi
https://t.co/8VDG0kDIvC",Fri Apr 21 04:14:16 +0000 2017
watch,ShirleyfansFc,"RT @NaveenReddyK6: @ShirleySetia Once watch it shirley mam, not only me many of your fans situation is same like me .@ShirleySetia https://…",Fri Apr 21 04:14:15 +0000 2017
watch,WindwardMall,Come watch 20 contestants try and win a Kia Soul starting today at 6pm!  They will stay in nearly constant... https://t.co/kBYa5GDNZ9,Fri Apr 21 04:14:15 +0000 2017
watch,reellifejane,"Video: Watch Aretha Franklin, Barry Manilow at Tribeca FF concert https://t.co/h5LuYZFkQV https://t.co/bONQWNWM13",Fri Apr 21 04:14:15 +0000 2017
watch,M_Morgan,"RT @neiltyson: OFFERING:  A four-minute video on ""Science in America” — https://t.co/2wEsrlJssj",Fri Apr 21 04:14:15 +0000 2017
watch,Iraiserrs,I liked a @YouTube video https://t.co/S80QoUrQOd Lana Del Rey - Lust For Life (Official Audio) ft. The Weeknd,Fri Apr 21 04:14:15 +0000 2017
watch,arisonrodrigo1,RT @paramorebrasil: #QueroNoTVZ Paramore - Hard Times https://t.co/dPAhFItw7f,Fri Apr 21 04:14:15 +0000 2017
watch,ImStaciCarr,"Click here to watch it: https://t.co/uNeyYUWK4T
Bikini Blonde Pussy at Pool...
👻Add me on snapchat: imangelina95 👻 https://t.co/7Utk9GfunC",Fri Apr 21 04:14:15 +0000 2017
watch,SindhiaJunejo,Savage Garden - Truly Madly Deeply https://t.co/CfE9pGj3DG via @YouTube,Fri Apr 21 04:14:15 +0000 2017
watch,AEDaMcPreacha,AE Da Mc Preacha Limitless (Official Music Video): https://t.co/KnqOVZrpUw via @YouTube,Fri Apr 21 04:14:15 +0000 2017
watch,cy63rcr4ck3r,I liked a @YouTube video https://t.co/Iau0Y8RlYm The Trump Administration's Reefer Madness: The Daily Show,Fri Apr 21 04:14:15 +0000 2017
watch,onceadaybeats1,"RT @spirothegod: https://t.co/p0oVpz6Wwb
Another #tbt as usual! Lost files from tg mixtapes! Stay tuned #djSpiro #harlemsfinest #SpiroTheGo…",Fri Apr 21 04:14:15 +0000 2017
