category,user,tweet,time
work,NNYSWD,RT @BTS_twt: teamwork makes the dream work. https://t.co/KZTngn8RFB,Thu Apr 20 23:40:52 +0000 2017
work,treffler_canada,RT @LWLhope: Never assume your work is done. For we are to continue living out our days as Christians until the Lord takes us home. #revela…,Thu Apr 20 23:40:52 +0000 2017
work,Drache_K,RT @LinosVersion: Best way to revise your own work is to pretend that somebody else wrote it &amp; then to rip the living shit out of it ~ DON…,Thu Apr 20 23:40:52 +0000 2017
work,bigchrisbenz,"RT @PolicyGap: @bigchrisbenz Many thanks for your work on #princeroycefive. Best writing, recording, live bass, and mixing I've heard in a…",Thu Apr 20 23:40:52 +0000 2017
work,Shotzzify,RT @JKServicez: @Shotzzify I also offer this service guys feel free to dm me for a deal we can work something out if there are any problems…,Thu Apr 20 23:40:52 +0000 2017
work,mctinc,"Tour Actor/Directors are hard at work every week not only putting on shows, but also conducting workshops! Thanks,… https://t.co/LmKl8RPyzg",Thu Apr 20 23:40:52 +0000 2017
work,mad_cyclist,RT @seanlondonandon: Twitters is great at letting you find out who is a total cockwomble &amp; nasty piece of work really quickly. This guys wa…,Thu Apr 20 23:40:52 +0000 2017
work,LOTHComic,RT @Hamm_Tips: Sometimes whether you receive praise or insults depends not on your work but on whether it's Monday or Friday.,Thu Apr 20 23:40:52 +0000 2017
work,x_Eboogie,"Had to work, had to grind for it",Thu Apr 20 23:40:52 +0000 2017
work,eggmenendez,RT @KedzIsKing: Sooooo My Manager Pulled Me Into His Office &amp; Read Me This Tweet. I Can't Come Back To Work Until I Get Mentally Evaluated.…,Thu Apr 20 23:40:51 +0000 2017
work,Dr_BLyons,"RT @Matt_Latvis: Morgan and Kyle came down to show me how they used the math strategy ""quick pictures"" to solve 2-digit subtraction problem…",Thu Apr 20 23:40:51 +0000 2017
work,itscameryn,RT @KedzIsKing: Sooooo My Manager Pulled Me Into His Office &amp; Read Me This Tweet. I Can't Come Back To Work Until I Get Mentally Evaluated.…,Thu Apr 20 23:40:51 +0000 2017
work,chloebaenet,"Luke is gonna be on the morning show in a few minutes 

I need to leave for work in a few minutes 

... the word hates me",Thu Apr 20 23:40:51 +0000 2017
work,shyla_malia15,Literally almost wanted to cry today thinking me @h_borden and @brittany_thomp1 are almost done with the social work program,Thu Apr 20 23:40:51 +0000 2017
work,kariholley,RT @ABC: 9-year-old Cubs fan breaks down in tears when his father rewards him with tickets for hard work on family's farm. https://t.co/Rzr…,Thu Apr 20 23:40:51 +0000 2017
work,RevJJackson,We must not be intimidated or sidetracked by terrorism.We must work even harder for peace&amp;justice around the world. https://t.co/WCaAsd5LkG,Thu Apr 20 23:40:51 +0000 2017
work,MiracleOMG4,RT @MrOttokaji: Thank you for all your hard work these two years♡ #2YearsWithOhMyGirl https://t.co/4bcfEEVqTo,Thu Apr 20 23:40:51 +0000 2017
work,marieealyssax3,"RT @kellie_youmans: Got promoted!! Feeling so blessed today, all this hard work is truly paying off🙏🏻",Thu Apr 20 23:40:51 +0000 2017
work,PhilipWadler,RT @danny_corker: Under the torys my mum who's had Parkinson's since 2004 was made to look for work and car taken off her. Do the right thi…,Thu Apr 20 23:40:51 +0000 2017
work,Maelyss1985,@kvpeckwriter @pinkk9lover Fake news. Ya work for cnn?,Thu Apr 20 23:40:50 +0000 2017
work,LaugenMarianne,With all the Stanley cup matches showing all day and night its a miracle i find time for both sleep and work  😂,Thu Apr 20 23:40:50 +0000 2017
